% PrintStreamData 107
# -------------- begin streamline ----------------
#   id          X          Y          M      Theta
   107          0        0.1    1.71927   0.320704
   123  0.0474507   0.115762    1.71927   0.320704
   124  0.0949525   0.131368    1.73208   0.314159
   125   0.142509   0.146807    1.73309   0.313645
   126   0.190436   0.160997    1.83505   0.262065
   127   0.238754   0.173857     1.8428   0.258182
   128   0.287378   0.185441    1.94105   0.209583
   129   0.336325    0.19565     1.9573   0.201656
   130   0.385508    0.20458    2.04904   0.157564
   131   0.434905   0.212323    2.05782   0.153402
   132   0.484474   0.218756    2.16229   0.104742
   133     0.5342   0.223983    2.16234   0.104719
   134   0.584024   0.227998    2.27034  0.0561029
   135   0.633951   0.230709    2.27882  0.0523594
   136   0.683882   0.233325    2.27882  0.0523594
   137   0.733848   0.234634    2.40014          0
   138   0.783848   0.234634    2.40014          0
# -------------- end of streamline ---------------
% 
