# contour-t4-m4.data
# tab-delimited file with data points defining the Mach 4 nozzle contour.
#
# The first pair define a straight line while the rest are 
# the interpolation points of a spline.
#
# This file has been built from Rainer Kirchhartz' m4contour.csv file.
# PeterJ, 14-March-2011
# 
# x(m)	r(m)
0	0.0125
0.09843	0.03343
0.1	0.03376
0.105	0.0348
0.11	0.03582
0.115	0.03682
0.12	0.0378
0.125	0.03875
0.13	0.03968
0.135	0.04059
0.14	0.04149
0.15	0.04321
0.15748	0.04445
0.16	0.04486
0.17	0.04643
0.18	0.04793
0.19	0.04936
0.2	0.05072
0.21	0.05199
0.21654	0.05279
0.22	0.05319
0.23	0.05432
0.24	0.05537
0.25	0.05635
0.26	0.05726
0.27	0.05811
0.28	0.0589
0.29	0.05964
0.3	0.06031
0.31	0.06094
0.32	0.06153
0.33	0.06207
0.33465	0.0623
0.34	0.06257
0.35	0.06303
0.36	0.06346
0.37	0.06386
0.38	0.06422
0.39	0.06454
0.3937	0.06466
0.4	0.06484
0.41	0.0651
0.42	0.06533
0.43	0.06553
0.44	0.0657
0.45	0.06584
0.45276	0.06588
0.46	0.06595
0.47	0.06603
0.48	0.06609
0.49	0.06611
0.5	0.06611
0.51181	0.06611
