theta qrad
-8.899999988038757692e+01 7.989585000000000159e-01
-8.699999923598028317e+01 9.124750999999999834e-01
-8.500000324285545616e+01 9.836402999999999119e-01
-8.300000174920197082e+01 1.059234000000000009e+00
-8.099999949529488674e+01 1.189761999999999986e+00
-7.900000374684938720e+01 1.351024999999999920e+00
-7.700000615021822625e+01 1.402530999999999972e+00
-7.500000150519156250e+01 1.467311999999999950e+00
-7.299999967940556189e+01 1.581143999999999883e+00
-7.100000362781534591e+01 1.770019000000000009e+00
-6.900000615110235458e+01 1.833465999999999818e+00
-6.699999614139260018e+01 1.926968000000000014e+00
-6.500000981787449916e+01 2.074338000000000015e+00
-6.300000203875708848e+01 2.147621999999999698e+00
-6.100000489062554010e+01 2.317690999999999946e+00
-5.900000887990388065e+01 2.399491999999999958e+00
-5.699999118155587041e+01 2.485706999999999667e+00
-5.500001012677979162e+01 2.599021000000000026e+00
-5.300000931206651700e+01 2.728606999999999783e+00
-5.099999749479474076e+01 2.870645999999999809e+00
-4.899999931015488386e+01 3.003953999999999791e+00
-4.699999885852133019e+01 3.155362999999999918e+00
-4.500000000000000000e+01 3.232361999999999735e+00
-4.300000114147866981e+01 3.348856000000000055e+00
-4.100000068984511614e+01 3.512432999999999694e+00
-3.900000250520526635e+01 3.538578999999999919e+00
-3.699999068793349011e+01 3.670661999999999647e+00
-3.499998987322021549e+01 3.803334999999999688e+00
-3.300000881844412959e+01 3.886144999999999960e+00
-3.099999112009610869e+01 4.085536999999999530e+00
-2.899999510937447411e+01 4.157129999999999548e+00
-2.699999796124292217e+01 4.201481999999999495e+00
-2.499999018212549373e+01 4.427842000000000056e+00
-2.300000385860740693e+01 4.560858999999999774e+00
-2.099999384889764542e+01 4.610975999999999964e+00
-1.899999637218465764e+01 4.657109999999999417e+00
-1.700000032059444521e+01 4.886506999999999934e+00
-1.499999849480845171e+01 4.864713000000000065e+00
-1.299999384978177197e+01 4.942953999999999404e+00
-1.099999625315061813e+01 4.936554999999999360e+00
-9.000000504705111481e+00 5.002714999999999357e+00
-6.999998250798024735e+00 5.153588000000000058e+00
-4.999996757144550941e+00 5.124418999999999613e+00
-3.000000764019722599e+00 5.140436999999999479e+00
-1.000000119612440175e+00 5.088313999999999560e+00
1.000000119612440175e+00 5.088313999999999560e+00
3.000000764019722599e+00 5.140436999999999479e+00
4.999996757144550941e+00 5.124418999999999613e+00
6.999998250798024735e+00 5.153588000000000058e+00
9.000000504705111481e+00 5.002714999999999357e+00
1.099999625315061813e+01 4.936554999999999360e+00
1.299999384978177197e+01 4.942953999999999404e+00
1.499999849480845171e+01 4.864713000000000065e+00
1.700000032059444521e+01 4.886506999999999934e+00
1.899999637218465764e+01 4.657109999999999417e+00
2.099999384889764542e+01 4.610975999999999964e+00
2.300000385860740693e+01 4.560858999999999774e+00
2.499999018212549373e+01 4.427842000000000056e+00
2.699999796124292217e+01 4.201481999999999495e+00
2.899999510937447411e+01 4.157129999999999548e+00
3.099999112009610869e+01 4.085536999999999530e+00
3.300000881844412959e+01 3.886144999999999960e+00
3.499998987322021549e+01 3.803334999999999688e+00
3.699999068793349011e+01 3.670661999999999647e+00
3.900000250520526635e+01 3.538578999999999919e+00
4.100000068984511614e+01 3.512432999999999694e+00
4.300000114147866981e+01 3.348856000000000055e+00
4.500000000000000000e+01 3.232361999999999735e+00
4.699999885852133019e+01 3.155362999999999918e+00
4.899999931015488386e+01 3.003953999999999791e+00
5.099999749479474076e+01 2.870645999999999809e+00
5.300000931206651700e+01 2.728606999999999783e+00
5.500001012677979162e+01 2.599021000000000026e+00
5.699999118155587041e+01 2.485706999999999667e+00
5.900000887990388065e+01 2.399491999999999958e+00
6.100000489062554010e+01 2.317690999999999946e+00
6.300000203875708848e+01 2.147621999999999698e+00
6.500000981787449916e+01 2.074338000000000015e+00
6.699999614139260018e+01 1.926968000000000014e+00
6.900000615110235458e+01 1.833465999999999818e+00
7.100000362781534591e+01 1.770019000000000009e+00
7.299999967940556189e+01 1.581143999999999883e+00
7.500000150519156250e+01 1.467311999999999950e+00
7.700000615021822625e+01 1.402530999999999972e+00
7.900000374684938720e+01 1.351024999999999920e+00
8.099999949529488674e+01 1.189761999999999986e+00
8.300000174920197082e+01 1.059234000000000009e+00
8.500000324285545616e+01 9.836402999999999119e-01
8.699999923598028317e+01 9.124750999999999834e-01
8.899999988038757692e+01 7.989585000000000159e-01
