theta qrad
-8.899999988038757692e+01 6.866887999999999881e-01
-8.699999923598028317e+01 7.646090999999999305e-01
-8.500000324285545616e+01 8.544524000000000008e-01
-8.300000174920197082e+01 9.383442999999999090e-01
-8.099999949529488674e+01 1.016969000000000012e+00
-7.900000374684938720e+01 1.113080999999999987e+00
-7.700000615021822625e+01 1.199131999999999865e+00
-7.500000150519156250e+01 1.280963999999999992e+00
-7.299999967940556189e+01 1.366974999999999829e+00
-7.100000362781534591e+01 1.459824999999999928e+00
-6.900000615110235458e+01 1.546413000000000038e+00
-6.699999614139260018e+01 1.641734000000000027e+00
-6.500000981787449916e+01 1.733609999999999873e+00
-6.300000203875708848e+01 1.817624999999999824e+00
-6.100000489062554010e+01 1.904291999999999874e+00
-5.900000887990388065e+01 2.009304999999999897e+00
-5.699999118155587041e+01 2.083213999999999899e+00
-5.500001012677979162e+01 2.199108999999999980e+00
-5.300000931206651700e+01 2.287992000000000026e+00
-5.099999749479474076e+01 2.389790000000000081e+00
-4.899999931015488386e+01 2.479813999999999741e+00
-4.699999885852133019e+01 2.576461999999999808e+00
-4.500000000000000000e+01 2.669210999999999778e+00
-4.300000114147866981e+01 2.767172999999999661e+00
-4.100000068984511614e+01 2.859849999999999781e+00
-3.900000250520526635e+01 2.955316999999999972e+00
-3.699999068793349011e+01 3.042056999999999789e+00
-3.499998987322021549e+01 3.139456000000000024e+00
-3.300000881844412959e+01 3.225635000000000030e+00
-3.099999112009610869e+01 3.315256999999999898e+00
-2.899999510937447411e+01 3.408436000000000021e+00
-2.699999796124292217e+01 3.483265999999999973e+00
-2.499999018212549373e+01 3.562516000000000016e+00
-2.300000385860740693e+01 3.643754999999999633e+00
-2.099999384889764542e+01 3.722227999999999870e+00
-1.899999637218465764e+01 3.790294999999999970e+00
-1.700000032059444521e+01 3.847536999999999985e+00
-1.499999849480845171e+01 3.895560999999999829e+00
-1.299999384978177197e+01 3.969327999999999967e+00
-1.099999625315061813e+01 4.006267999999999496e+00
-9.000000504705111481e+00 4.027809999999999668e+00
-6.999998250798024735e+00 4.068901999999999575e+00
-4.999996757144550941e+00 4.091202000000000005e+00
-3.000000764019722599e+00 4.149810999999999694e+00
-1.000000119612440175e+00 4.159351000000000020e+00
1.000000119612440175e+00 4.159351000000000020e+00
3.000000764019722599e+00 4.149810999999999694e+00
4.999996757144550941e+00 4.091202000000000005e+00
6.999998250798024735e+00 4.068901999999999575e+00
9.000000504705111481e+00 4.027809999999999668e+00
1.099999625315061813e+01 4.006267999999999496e+00
1.299999384978177197e+01 3.969327999999999967e+00
1.499999849480845171e+01 3.895560999999999829e+00
1.700000032059444521e+01 3.847536999999999985e+00
1.899999637218465764e+01 3.790294999999999970e+00
2.099999384889764542e+01 3.722227999999999870e+00
2.300000385860740693e+01 3.643754999999999633e+00
2.499999018212549373e+01 3.562516000000000016e+00
2.699999796124292217e+01 3.483265999999999973e+00
2.899999510937447411e+01 3.408436000000000021e+00
3.099999112009610869e+01 3.315256999999999898e+00
3.300000881844412959e+01 3.225635000000000030e+00
3.499998987322021549e+01 3.139456000000000024e+00
3.699999068793349011e+01 3.042056999999999789e+00
3.900000250520526635e+01 2.955316999999999972e+00
4.100000068984511614e+01 2.859849999999999781e+00
4.300000114147866981e+01 2.767172999999999661e+00
4.500000000000000000e+01 2.669210999999999778e+00
4.699999885852133019e+01 2.576461999999999808e+00
4.899999931015488386e+01 2.479813999999999741e+00
5.099999749479474076e+01 2.389790000000000081e+00
5.300000931206651700e+01 2.287992000000000026e+00
5.500001012677979162e+01 2.199108999999999980e+00
5.699999118155587041e+01 2.083213999999999899e+00
5.900000887990388065e+01 2.009304999999999897e+00
6.100000489062554010e+01 1.904291999999999874e+00
6.300000203875708848e+01 1.817624999999999824e+00
6.500000981787449916e+01 1.733609999999999873e+00
6.699999614139260018e+01 1.641734000000000027e+00
6.900000615110235458e+01 1.546413000000000038e+00
7.100000362781534591e+01 1.459824999999999928e+00
7.299999967940556189e+01 1.366974999999999829e+00
7.500000150519156250e+01 1.280963999999999992e+00
7.700000615021822625e+01 1.199131999999999865e+00
7.900000374684938720e+01 1.113080999999999987e+00
8.099999949529488674e+01 1.016969000000000012e+00
8.300000174920197082e+01 9.383442999999999090e-01
8.500000324285545616e+01 8.544524000000000008e-01
8.699999923598028317e+01 7.646090999999999305e-01
8.899999988038757692e+01 6.866887999999999881e-01
