# s/Rn  Cp(CFD)  Cp(Newton)  x(m)  y(m)
0.0183584 1.80894 1.80833 -1.005340e-02 1.756455e-04
0.053491 1.80395 1.80377 -1.004114e-02 5.267585e-04
0.0886307 1.7954 1.79477 -1.001664e-02 8.773001e-04
0.123777 1.78179 1.78137 -9.979935e-03 1.226843e-03
0.15893 1.76407 1.76363 -9.931063e-03 1.574962e-03
0.19409 1.74174 1.74165 -9.870091e-03 1.921231e-03
0.229256 1.71525 1.71552 -9.797094e-03 2.265230e-03
0.264428 1.68465 1.68538 -9.712165e-03 2.606539e-03
0.299605 1.65032 1.65137 -9.615407e-03 2.944742e-03
0.334787 1.61254 1.61365 -9.506943e-03 3.279427e-03
0.369974 1.57167 1.57243 -9.386904e-03 3.610187e-03
0.405165 1.52803 1.52789 -9.255441e-03 3.936617e-03
0.440359 1.48195 1.48025 -9.112714e-03 4.258320e-03
0.475556 1.43371 1.42977 -8.958899e-03 4.574904e-03
0.510756 1.38357 1.37667 -8.794185e-03 4.885983e-03
0.545957 1.33182 1.32124 -8.618775e-03 5.191179e-03
0.581159 1.27871 1.26374 -8.432884e-03 5.490120e-03
0.616362 1.22452 1.20446 -8.236739e-03 5.782440e-03
0.651565 1.16953 1.14369 -8.030582e-03 6.067785e-03
0.686767 1.114 1.08173 -7.814664e-03 6.345807e-03
0.721967 1.05892 1.01891 -7.589250e-03 6.616167e-03
0.757165 1.00377 0.955515 -7.354615e-03 6.878537e-03
0.792361 0.949158 0.891877 -7.111047e-03 7.132596e-03
0.827553 0.894799 0.828306 -6.858842e-03 7.378036e-03
0.862741 0.842749 0.76512 -6.598309e-03 7.614557e-03
0.897924 0.79009 0.702632 -6.329765e-03 7.841873e-03
0.933103 0.738103 0.641151 -6.053539e-03 8.059705e-03
0.968275 0.68726 0.580983 -5.769966e-03 8.267789e-03
1.00344 0.637937 0.522426 -5.479394e-03 8.465872e-03
1.0386 0.590416 0.465767 -5.182175e-03 8.653712e-03
1.07376 0.544671 0.411288 -4.878672e-03 8.831080e-03
1.1089 0.501708 0.359256 -4.569255e-03 8.997760e-03
1.14404 0.461358 0.309928 -4.254301e-03 9.153548e-03
1.17917 0.423326 0.263545 -3.934192e-03 9.298255e-03
1.21429 0.386781 0.220335 -3.609320e-03 9.431702e-03
1.2494 0.351979 0.180508 -3.280078e-03 9.553728e-03
1.28451 0.319178 0.144258 -2.946869e-03 9.664183e-03
1.3196 0.288263 0.111762 -2.610097e-03 9.762930e-03
1.35469 0.259503 0.0831762 -2.270172e-03 9.849849e-03
1.38976 0.232723 0.0586389 -1.927509e-03 9.924831e-03
1.44897 0.208545 0.0545463 -1.345408e-03 1.003309e-02
1.53204 0.208049 0.0545463 -5.278969e-04 1.018042e-02
1.61511 0.213402 0.0545463 2.896166e-04 1.032775e-02
1.69818 0.218462 0.0545463 1.107132e-03 1.047508e-02
1.78125 0.221524 0.0545463 1.924650e-03 1.062242e-02
1.86432 0.221401 0.0545463 2.742171e-03 1.076975e-02
1.94738 0.220517 0.0545463 3.559693e-03 1.091708e-02
2.03045 0.217834 0.0545463 4.377216e-03 1.106442e-02
2.11352 0.214171 0.0545463 5.194742e-03 1.121175e-02
2.19659 0.211182 0.0545463 6.012269e-03 1.135908e-02
2.27966 0.208813 0.0545463 6.829797e-03 1.150642e-02
2.36273 0.208932 0.0545463 7.647327e-03 1.165375e-02
2.4458 0.210115 0.0545463 8.464858e-03 1.180109e-02
2.52887 0.212048 0.0545463 9.282390e-03 1.194842e-02
2.61194 0.213603 0.0545463 1.009992e-02 1.209576e-02
2.69501 0.214773 0.0545463 1.091746e-02 1.224309e-02
2.77808 0.214845 0.0545463 1.173499e-02 1.239043e-02
2.86116 0.214379 0.0545463 1.255253e-02 1.253776e-02
2.94423 0.212964 0.0545463 1.337007e-02 1.268510e-02
3.0273 0.210385 0.0545463 1.418761e-02 1.283243e-02
3.11037 0.207721 0.0545463 1.500514e-02 1.297977e-02
3.19344 0.205328 0.0545463 1.582268e-02 1.312710e-02
