# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 4.814 3e+07 3000 0
0.17772 4.814 3e+07 3000 0
0.179893 4.7871 2.974e+07 2990.72 16.7327
0.182139 4.762 2.9481e+07 2980.25 33.5855
0.184406 4.7368 2.9221e+07 2969.73 50.5567
0.186685 4.7115 2.8962e+07 2959.15 67.6485
0.188986 4.6861 2.8702e+07 2948.51 84.8627
0.1913 4.6607 2.8442e+07 2937.81 102.202
0.193627 4.6351 2.8183e+07 2927.06 119.667
0.195976 4.6094 2.7923e+07 2916.24 137.26
0.198338 4.5837 2.7664e+07 2905.37 154.985
0.200724 4.5578 2.7404e+07 2894.43 172.842
0.203123 4.5319 2.7144e+07 2883.43 190.835
0.205546 4.5058 2.6885e+07 2872.37 208.964
0.207983 4.4796 2.6625e+07 2861.24 227.234
0.210445 4.4534 2.6366e+07 2850.05 245.647
0.21292 4.427 2.6106e+07 2838.79 264.204
0.215421 4.4006 2.5846e+07 2827.47 282.909
0.217936 4.374 2.5587e+07 2816.07 301.764
0.220467 4.3473 2.5327e+07 2804.61 320.772
0.223024 4.3205 2.5068e+07 2793.07 339.936
0.225606 4.2936 2.4808e+07 2781.47 359.258
0.228204 4.2666 2.4548e+07 2769.79 378.742
0.230829 4.2395 2.4289e+07 2758.04 398.39
0.233471 4.2122 2.4029e+07 2746.21 418.206
0.236139 4.1849 2.377e+07 2734.3 438.193
0.238835 4.1574 2.351e+07 2722.32 458.355
0.241549 4.1298 2.325e+07 2710.25 478.694
0.244292 4.102 2.2991e+07 2698.11 499.215
0.247052 4.0742 2.2731e+07 2685.88 519.922
0.249842 4.0462 2.2472e+07 2673.57 540.817
0.252661 4.0181 2.2212e+07 2661.17 561.906
0.255499 3.9899 2.1952e+07 2648.68 583.191
0.258368 3.9615 2.1693e+07 2636.11 604.677
0.261257 3.933 2.1433e+07 2623.45 626.369
0.264187 3.9043 2.1174e+07 2610.69 648.27
0.267139 3.8755 2.0914e+07 2597.84 670.387
0.270122 3.8466 2.0654e+07 2584.89 692.722
0.273128 3.8175 2.0395e+07 2571.85 715.282
0.276177 3.7883 2.0135e+07 2558.7 738.071
0.27925 3.7589 1.9876e+07 2545.46 761.096
0.282356 3.7294 1.9616e+07 2532.1 784.36
0.285497 3.6997 1.9356e+07 2518.65 807.87
0.288663 3.6698 1.9097e+07 2505.08 831.632
0.291875 3.6398 1.8837e+07 2491.4 855.653
0.295114 3.6096 1.8578e+07 2477.61 879.938
0.298389 3.5793 1.8318e+07 2463.7 904.494
0.301713 3.5488 1.8058e+07 2449.68 929.327
0.305065 3.5181 1.7799e+07 2435.53 954.446
0.308456 3.4872 1.7539e+07 2421.26 979.857
0.311887 3.4561 1.728e+07 2406.86 1005.57
0.315369 3.4249 1.702e+07 2392.33 1031.59
0.318883 3.3934 1.676e+07 2377.67 1057.93
0.322439 3.3618 1.6501e+07 2362.87 1084.59
0.326049 3.33 1.6241e+07 2347.93 1111.59
0.329703 3.2979 1.5982e+07 2332.84 1138.93
0.333403 3.2657 1.5722e+07 2317.61 1166.63
0.33715 3.2332 1.5462e+07 2302.23 1194.7
0.340944 3.2005 1.5203e+07 2286.69 1223.14
0.344796 3.1676 1.4943e+07 2270.99 1251.96
0.348699 3.1345 1.4684e+07 2255.12 1281.19
0.352663 3.1011 1.4424e+07 2239.09 1310.83
0.35668 3.0675 1.4164e+07 2222.88 1340.9
0.36075 3.0337 1.3905e+07 2206.5 1371.4
0.364887 2.9996 1.3645e+07 2189.93 1402.37
0.36909 2.9652 1.3386e+07 2173.16 1433.8
0.373351 2.9305 1.3126e+07 2156.21 1465.71
0.377684 2.8956 1.2866e+07 2139.05 1498.14
0.382078 2.8604 1.2607e+07 2121.68 1531.08
0.386557 2.8249 1.2347e+07 2104.09 1564.57
0.391102 2.7892 1.2088e+07 2086.28 1598.62
0.395735 2.7531 1.1828e+07 2068.24 1633.25
0.400439 2.7166 1.1568e+07 2049.97 1668.49
0.405236 2.6799 1.1309e+07 2031.44 1704.36
0.410118 2.6428 1.1049e+07 2012.66 1740.88
0.415089 2.6054 1.079e+07 1993.61 1778.09
0.420162 2.5676 1.053e+07 1974.28 1816.02
0.425329 2.5294 1.027e+07 1954.67 1854.69
0.430605 2.4909 1.0011e+07 1934.75 1894.15
0.435981 2.4519 9.7512e+06 1914.52 1934.41
0.441484 2.4125 9.4916e+06 1893.97 1975.54
0.447106 2.3727 9.232e+06 1873.08 2017.56
0.452853 2.3325 8.9724e+06 1851.83 2060.53
0.458728 2.2917 8.7128e+06 1830.21 2104.48
0.464748 2.2505 8.4532e+06 1808.2 2149.48
0.470909 2.2088 8.1936e+06 1785.78 2195.59
0.477235 2.1665 7.934e+06 1762.93 2242.85
0.483726 2.1237 7.6744e+06 1739.62 2291.36
0.490387 2.0803 7.4148e+06 1715.84 2341.17
0.497237 2.0363 7.1552e+06 1691.56 2392.37
0.504285 1.9916 6.8956e+06 1666.73 2445.05
0.511551 1.9463 6.636e+06 1641.35 2499.31
0.519036 1.9003 6.3764e+06 1615.35 2555.26
0.526773 1.8535 6.1168e+06 1588.72 2613.03
0.534775 1.8059 5.8572e+06 1561.4 2672.75
0.543058 1.7574 5.5976e+06 1533.34 2734.58
0.551639 1.708 5.338e+06 1504.49 2798.69
0.560568 1.6577 5.0784e+06 1474.78 2865.28
0.569859 1.6063 4.8188e+06 1444.15 2934.59
0.579547 1.5538 4.5592e+06 1412.51 3006.87
0.589682 1.5001 4.2996e+06 1379.78 3082.42
0.6003 1.4451 4.04e+06 1345.83 3161.6
0.603571 1.4451 4.04e+06 1345.83 3194.31
0.819431 1.4451 4.04e+06 1345.83 3194.31
0.819417 3.0656 4.04e+06 4307.54 3194.17
0.860369 3.0656 4.04e+06 4307.54 3194.17
0.860369 0.34837 30000 300 0
1 0.34837 30000 300 0
