# 53010801      COLES               PROFILE TABULATION      23 POINTS, DELTA AT POINT  23
# extracted from agard223
#  I        Y         PT2/P        P/PD     T0/T0D     M/MD      U/UD      T/TD   RHO/RHOD*U/UD
#
   1   0.0000e+00   1.0000e+00     NM      0.92381   0.00000   0.00000   3.45457   0.00000
   2   5.8166e-04   2.2740e+00     NM      0.94444   0.31151   0.52032   2.79003   0.18649
   3   6.8580e-04   2.5805e+00     NM      0.94749   0.33983   0.55753   2.69158   0.20714
   4   7.5946e-04   2.8238e+00     NM      0.94973   0.36039   0.58328   2.61949   0.22267
   5   8.5344e-04   3.1055e+00     NM      0.95215   0.38259   0.60993   2.54145   0.23999
   6   9.6520e-04   3.3835e+00     NM      0.95439   0.40316   0.63354   2.46937   0.25656
   7   1.1024e-03   3.6676e+00     NM      0.95654   0.42305   0.65542   2.40016   0.27307
   8   1.2598e-03   3.9405e+00     NM      0.95849   0.44125   0.67462   2.33748   0.28861
   9   1.4529e-03   4.2091e+00     NM      0.96030   0.45841   0.69204   2.27903   0.30366
  10   1.6840e-03   4.5007e+00     NM      0.96217   0.47631   0.70951   2.21892   0.31976
  11   1.9710e-03   4.8084e+00     NM      0.96403   0.49446   0.72653   2.15895   0.33652
  12   2.3063e-03   5.1263e+00     NM      0.96584   0.51251   0.74277   2.10038   0.35363
  13   2.7127e-03   5.5104e+00     NM      0.96791   0.53348   0.76081   2.03380   0.37408
  14   3.2004e-03   6.0040e+00     NM      0.97038   0.55925   0.78181   1.95429   0.40005
  15   3.7897e-03   6.6333e+00     NM      0.97326   0.59044   0.80559   1.86160   0.43274
  16   4.4856e-03   7.4194e+00     NM      0.97648   0.62718   0.83148   1.75759   0.47308
  17   5.3391e-03   8.4825e+00     NM      0.98031   0.67366   0.86118   1.63421   0.52697
  18   6.3678e-03   9.9867e+00     NM      0.98489   0.73436   0.89539   1.48667   0.60228
  19   7.5641e-03   1.1797e+01     NM      0.98941   0.80131   0.92794   1.34103   0.69196
  20   9.0576e-03   1.4160e+01     NM      0.99413   0.88101   0.96071   1.18911   0.80792
  21   1.0813e-02   1.6929e+01     NM      0.99846   0.96609   0.98982   1.04972   0.94293
  22   1.2974e-02   1.7986e+01     NM      0.99985   0.99664   0.99902   1.00479   0.99426
  23   1.5560e-02   1.8105e+01     NM      1.00000   1.00000   1.00000   1.00000   1.00000
