# Eilmer3 simulation of Mohammadian's cubic ramp (factor=2)
# The following data have been picked off the gradient-of-density plot
# at locations on top of the high gradient line that
# Mohammadian described as a good indication of the edge 
# of the boundary layer.
# To get the boundary-layer thickness we need to subtract the wall position
# y(inch) = x(inch)^3/150
#
# Picked using g3data by PJ, 15-Aug-2013
# x(mm)        delta-star+y_wall(mm) 
4.80769230769  0.8
8.17307692308  1.12
11.858974359  1.44
14.5833333333  1.6
17.1474358974  1.76
21.7948717949  2.08
24.8397435897  2.24
28.5256410256  2.56
32.3717948718  2.72
36.0576923077  2.88
39.9038461538  3.2
41.9871794872  3.36
44.0705128205  3.36
47.5961538462  3.68
50  4
51.7628205128  4
54.6474358974  4.32
57.2115384615  4.48
59.6153846154  4.8
62.5  4.96
64.7435897436  5.12
67.1474358974  5.28
70.5128205128  5.76
73.2371794872  6.08
76.7628205128  6.56
80.608974359  7.04
84.2948717949  7.68
87.9807692308  8.48
90.3846153846  8.96
92.1474358974  9.28
94.8717948718  9.92
97.7564102564  10.72
101.282051282  11.68
103.365384615  12.32
105.128205128  12.8
# extras, digitized when I wanted to extend the range
100.96  11.6129032258
103.36  12.4193548387
106.08  13.2258064516
108.16  13.8709677419
109.92  14.5161290323
111.68  15.1612903226
113.12  15.6451612903
114.08  16.1290322581
115.04  16.4516129032
116  16.935483871
117.92  17.7419354839
