# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.000112 0.000112 1222.922279 0.522984 0.125452 0.518621 435.672548 0.172682 1603608.684619 0.297649
0.000338 0.000338 371.892692 0.159040 0.072309 0.448308 329.677846 0.127353 303178.983749 0.056274
0.000566 0.000566 314.281238 0.134403 0.055880 0.338513 268.262075 0.101089 437447.982002 0.081196
0.000796 0.000796 250.682741 0.107205 0.047113 0.330197 236.008221 0.087296 246009.218563 0.045662
0.001029 0.001029 200.801912 0.085873 0.041447 0.285837 218.359228 0.079748 245660.254832 0.045598
0.001264 0.001264 185.031159 0.079129 0.037398 0.279078 203.634837 0.073451 195875.172908 0.036357
0.001501 0.001501 157.564996 0.067383 0.034316 0.256455 194.073639 0.069362 181428.474606 0.033675
0.001741 0.001741 148.224170 0.063388 0.031867 0.249779 185.380927 0.065645 160636.912884 0.029816
0.001983 0.001983 132.361202 0.056604 0.029859 0.236050 178.563503 0.062729 148414.185396 0.027547
0.002227 0.002227 125.241758 0.053560 0.028174 0.229970 172.463272 0.060121 136508.913911 0.025338
0.002474 0.002474 115.130214 0.049236 0.026732 0.220687 167.253228 0.057892 127358.346673 0.023639
0.002723 0.002723 109.388824 0.046780 0.025480 0.215350 162.549308 0.055881 119221.220174 0.022129
0.002975 0.002975 102.378454 0.043782 0.024378 0.208567 158.364453 0.054091 112320.469897 0.020848
0.003229 0.003229 97.664505 0.041766 0.023399 0.203947 154.548268 0.052459 106249.416609 0.019721
0.003485 0.003485 92.483927 0.039551 0.022522 0.198726 151.077863 0.050975 100889.242990 0.018726
0.003744 0.003744 88.567885 0.037876 0.021729 0.194741 147.880248 0.049608 96129.350940 0.017843
0.004006 0.004006 84.547246 0.036157 0.021008 0.190561 144.928426 0.048345 91839.591806 0.017047
0.004270 0.004270 81.255646 0.034749 0.020348 0.187117 142.184046 0.047172 87981.966324 0.016331
0.004537 0.004537 78.017363 0.033364 0.019741 0.183673 139.624897 0.046077 84461.809040 0.015677
0.004806 0.004806 75.220927 0.032168 0.019180 0.180683 137.221672 0.045049 81257.478364 0.015082
0.005077 0.005077 72.535641 0.031020 0.018660 0.177777 134.959296 0.044082 78303.554299 0.014534
0.005352 0.005352 70.131206 0.029992 0.018175 0.175161 132.817902 0.043166 75589.396663 0.014030
0.005629 0.005629 67.853233 0.029017 0.017723 0.172661 130.785838 0.042297 73063.369147 0.013561
0.005908 0.005908 65.760708 0.028123 0.017298 0.170351 128.852700 0.041470 70729.872586 0.013128
0.006190 0.006190 63.792779 0.027281 0.016899 0.168172 127.010861 0.040683 68535.033139 0.012721
0.006475 0.006475 61.957294 0.026496 0.016524 0.166126 125.251962 0.039931 66512.061385 0.012345
0.006763 0.006763 60.228347 0.025757 0.016169 0.164203 123.569407 0.039211 64571.046675 0.011985
0.007053 0.007053 58.615647 0.025067 0.015832 0.162394 121.960477 0.038523 62818.493725 0.011660
0.007346 0.007346 57.059143 0.024401 0.015513 0.160662 120.412564 0.037861 61056.006569 0.011333
0.007641 0.007641 55.670412 0.023807 0.015210 0.159105 118.938516 0.037231 59572.806358 0.011057
0.007940 0.007940 54.184622 0.023172 0.014922 0.157440 117.493586 0.036613 57878.938749 0.010743
0.008241 0.008241 53.103780 0.022710 0.014647 0.156264 116.160267 0.036043 56754.157533 0.010534
0.008545 0.008545 51.561030 0.022050 0.014384 0.154389 114.590849 0.035371 54898.466579 0.010190
0.008852 0.008852 50.779253 0.021716 0.014132 0.153475 113.219669 0.034785 54180.087549 0.010056
0.009161 0.009161 49.279247 0.021074 0.013892 0.151870 112.132684 0.034320 52493.235733 0.009743
0.009474 0.009474 48.416473 0.020705 0.013661 0.150972 110.987119 0.033830 51614.915241 0.009580
0.009789 0.009789 47.304851 0.020230 0.013439 0.149781 109.870254 0.033353 50323.627723 0.009341
0.010107 0.010107 46.391894 0.019840 0.013226 0.148797 108.764127 0.032880 49380.809572 0.009166
0.010428 0.010428 45.447741 0.019436 0.013021 0.147790 107.679573 0.032416 48286.336095 0.008963
0.010752 0.010752 44.568745 0.019060 0.012823 0.146832 106.608924 0.031958 47355.866816 0.008790
0.011078 0.011078 43.719263 0.018697 0.012633 0.145920 105.552897 0.031506 46380.265260 0.008609
0.011408 0.011408 42.893120 0.018343 0.012449 0.145011 104.509381 0.031060 45489.167427 0.008443
0.011741 0.011741 42.106791 0.018007 0.012271 0.144156 103.479470 0.030620 44595.703986 0.008278
