# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 31.3681 6e+06 1000 0
0.451972 31.3681 6e+06 1000 0
0.452376 31.1303 5.9452e+06 998.573 3.63754
0.452784 30.8921 5.8904e+06 997.134 7.30597
0.453195 30.6536 5.8356e+06 995.683 11.0059
0.45361 30.4146 5.78079e+06 994.22 14.7377
0.454028 30.1751 5.72599e+06 992.746 18.5022
0.45445 29.9353 5.67119e+06 991.259 22.2999
0.454876 29.695 5.61639e+06 989.759 26.1313
0.455305 29.4543 5.56159e+06 988.247 29.9972
0.455738 29.2132 5.50679e+06 986.722 33.8982
0.456175 28.9716 5.45199e+06 985.183 37.835
0.456617 28.7296 5.39719e+06 983.631 41.8081
0.457062 28.4872 5.34238e+06 982.065 45.8185
0.457511 28.2443 5.28758e+06 980.486 49.8667
0.457964 28.0009 5.23278e+06 978.891 53.9535
0.458422 27.7571 5.17798e+06 977.283 58.0798
0.458884 27.5128 5.12318e+06 975.659 62.2462
0.459351 27.268 5.06838e+06 974.02 66.4537
0.459822 27.0228 5.01358e+06 972.366 70.7031
0.460298 26.7771 4.95877e+06 970.696 74.9952
0.460778 26.5309 4.90397e+06 969.01 79.331
0.461264 26.2842 4.84917e+06 967.307 83.7114
0.461754 26.037 4.79437e+06 965.587 88.1374
0.46225 25.7893 4.73957e+06 963.85 92.6099
0.46275 25.541 4.68477e+06 962.096 97.13
0.463256 25.2923 4.62997e+06 960.324 101.699
0.463768 25.043 4.57517e+06 958.533 106.317
0.464285 24.7933 4.52036e+06 956.724 110.987
0.464807 24.5429 4.46556e+06 954.895 115.708
0.465336 24.2921 4.41076e+06 953.047 120.483
0.46587 24.0406 4.35596e+06 951.178 125.312
0.466411 23.7887 4.30116e+06 949.289 130.198
0.466957 23.5361 4.24636e+06 947.379 135.14
0.467511 23.283 4.19156e+06 945.448 140.141
0.46807 23.0293 4.13675e+06 943.494 145.203
0.468637 22.775 4.08195e+06 941.517 150.326
0.46921 22.5201 4.02715e+06 939.518 155.512
0.469791 22.2646 3.97235e+06 937.494 160.763
0.470378 22.0085 3.91755e+06 935.446 166.081
0.470974 21.7518 3.86275e+06 933.373 171.467
0.471576 21.4944 3.80795e+06 931.274 176.924
0.472187 21.2364 3.75315e+06 929.148 182.452
0.472806 20.9777 3.69834e+06 926.995 188.055
0.473433 20.7184 3.64354e+06 924.814 193.734
0.474069 20.4584 3.58874e+06 922.605 199.492
0.474714 20.1977 3.53394e+06 920.366 205.33
0.475367 19.9364 3.47914e+06 918.096 211.252
0.47603 19.6743 3.42434e+06 915.795 217.259
0.476703 19.4115 3.36954e+06 913.461 223.355
0.477386 19.1479 3.31473e+06 911.095 229.541
0.478079 18.8836 3.25993e+06 908.693 235.822
0.478782 18.6186 3.20513e+06 906.257 242.2
0.479497 18.3528 3.15033e+06 903.783 248.677
0.480222 18.0861 3.09553e+06 901.272 255.259
0.48096 17.8187 3.04073e+06 898.722 261.947
0.481709 17.5505 2.98593e+06 896.131 268.746
0.482471 17.2814 2.93113e+06 893.499 275.659
0.483247 17.0115 2.87632e+06 890.823 282.692
0.484035 16.7407 2.82152e+06 888.102 289.847
0.484838 16.469 2.76672e+06 885.334 297.129
0.485654 16.1965 2.71192e+06 882.519 304.544
0.486486 15.9229 2.65712e+06 879.653 312.097
0.487334 15.6485 2.60232e+06 876.735 319.793
0.488198 15.373 2.54752e+06 873.763 327.637
0.489079 15.0966 2.49271e+06 870.734 335.636
0.489977 14.8192 2.43791e+06 867.647 343.796
0.490894 14.5407 2.38311e+06 864.498 352.124
0.49183 14.2611 2.32831e+06 861.286 360.628
0.492787 13.9805 2.27351e+06 858.006 369.316
0.493764 13.6987 2.21871e+06 854.657 378.195
0.494763 13.4158 2.16391e+06 851.235 387.276
0.495785 13.1317 2.1091e+06 847.736 396.567
0.496832 12.8463 2.0543e+06 844.156 406.079
0.497904 12.5597 1.9995e+06 840.492 415.824
0.499003 12.2718 1.9447e+06 836.739 425.814
0.50013 11.9826 1.8899e+06 832.892 436.061
0.501287 11.6919 1.8351e+06 828.947 446.581
0.502476 11.3999 1.7803e+06 824.897 457.388
0.503698 11.1063 1.7255e+06 820.736 468.499
0.504955 10.8113 1.67069e+06 816.458 479.934
0.50625 10.5146 1.61589e+06 812.055 491.711
0.507585 10.2163 1.56109e+06 807.52 503.854
0.508963 9.91627 1.50629e+06 802.843 516.387
0.510387 9.61446 1.45149e+06 798.014 529.337
0.51186 9.31079 1.39669e+06 793.023 542.733
0.513385 9.00517 1.34189e+06 787.857 556.611
0.514968 8.69751 1.28708e+06 782.503 571.005
0.516612 8.38771 1.23228e+06 776.946 585.96
0.518323 8.07567 1.17748e+06 771.167 601.522
0.520106 7.76126 1.12268e+06 765.148 617.745
0.52197 7.44435 1.06788e+06 758.865 634.69
0.52392 7.1248 1.01308e+06 752.293 652.429
0.525967 6.80242 958277 745.402 671.043
0.528122 6.47705 903476 738.156 690.627
0.530395 6.14846 848674 730.513 711.293
0.532803 5.81642 793873 722.425 733.173
0.535362 5.48063 739071 713.831 756.429
0.538095 5.14079 684270 704.659 781.253
0.541029 4.7965 629469 694.818 807.883
0.544195 4.4473 574667 684.194 836.619
0.547638 4.09264 519866 672.641 867.841
0.549125 4.09264 519866 672.641 882.719
0.588272 4.09264 519866 672.641 882.719
0.588273 3.37297 520063 815.676 882.725
0.604732 3.37297 520063 815.676 882.725
0.604732 0.530087 30000 300 0
1 0.530087 30000 300 0
