   N   CF    ST
   1   0.016942  -0.000000
   6   0.005709   0.002150
  11   0.003057   0.001653
  16   0.002398   0.001383
  21   0.002064   0.001222
  26   0.001845   0.001109
  31   0.001686   0.001024
  36   0.001564   0.000956
  41   0.001465   0.000901
  46   0.001384   0.000854
  51   0.001315   0.000814
  56   0.001255   0.000779
  61   0.001203   0.000749
  66   0.001158   0.000722
  71   0.001117   0.000698
  76   0.001080   0.000676
  81   0.001046   0.000656
  86   0.001016   0.000637
  91   0.000988   0.000620
  96   0.000962   0.000605
 101   0.000939   0.000590
 106   0.000917   0.000577
 111   0.000896   0.000564
 116   0.000877   0.000553
 121   0.000859   0.000542
 126   0.000842   0.000531
 131   0.000826   0.000521
 136   0.000811   0.000512
 141   0.000796   0.000503
 146   0.000783   0.000495
 151   0.000770   0.000487
 156   0.000757   0.000479
 161   0.000746   0.000472
 166   0.000735   0.000465
 171   0.000724   0.000458
 176   0.000714   0.000452
 181   0.000704   0.000446
 186   0.000694   0.000440
 191   0.000685   0.000435
 196   0.000677   0.000429
 201   0.000668   0.000424
