# eta f fd fdd g gd y p T rho u
0.000000 0.000000 0.000000 0.445474 1.000000 1.063218 0.000000 1013.000000 300.000000 0.011761 0.000000
0.010020 0.000022 0.004469 0.446560 1.010621 1.056729 0.000005 1013.000000 303.186312 0.011638 6.212067
0.020040 0.000090 0.008949 0.447640 1.021177 1.050159 0.000010 1013.000000 306.352997 0.011517 12.439222
0.030060 0.000202 0.013440 0.448714 1.031666 1.043508 0.000015 1013.000000 309.499812 0.011400 18.681376
0.040080 0.000359 0.017941 0.449781 1.042088 1.036777 0.000019 1013.000000 312.626514 0.011286 24.938436
0.050100 0.000561 0.022453 0.450840 1.052443 1.029963 0.000024 1013.000000 315.732856 0.011175 31.210302
0.060120 0.000809 0.026976 0.451892 1.062729 1.023067 0.000029 1013.000000 318.818594 0.011067 37.496871
0.070140 0.001102 0.031509 0.452935 1.072945 1.016089 0.000035 1013.000000 321.883480 0.010962 43.798031
0.080160 0.001440 0.036053 0.453970 1.083091 1.009029 0.000040 1013.000000 324.927265 0.010859 50.113668
0.090180 0.001825 0.040607 0.454997 1.093166 1.001886 0.000045 1013.000000 327.949703 0.010759 56.443659
0.100200 0.002254 0.045171 0.456013 1.103168 0.994660 0.000050 1013.000000 330.950543 0.010661 62.787878
0.110220 0.002730 0.049745 0.457021 1.113098 0.987351 0.000055 1013.000000 333.929538 0.010566 69.146193
0.120240 0.003251 0.054330 0.458018 1.122955 0.979959 0.000061 1013.000000 336.886436 0.010474 75.518467
0.130261 0.003819 0.058924 0.459004 1.132737 0.972484 0.000066 1013.000000 339.820990 0.010383 81.904556
0.140281 0.004432 0.063528 0.459980 1.142443 0.964926 0.000072 1013.000000 342.732950 0.010295 88.304313
0.150301 0.005092 0.068142 0.460945 1.152074 0.957286 0.000077 1013.000000 345.622067 0.010209 94.717585
0.160321 0.005798 0.072766 0.461898 1.161627 0.949563 0.000082 1013.000000 348.488092 0.010125 101.144212
0.170341 0.006550 0.077399 0.462839 1.171103 0.941757 0.000088 1013.000000 351.330778 0.010043 107.584031
0.180361 0.007349 0.082041 0.463768 1.180500 0.933870 0.000094 1013.000000 354.149877 0.009963 114.036873
0.190381 0.008194 0.086692 0.464684 1.189817 0.925900 0.000099 1013.000000 356.945143 0.009885 120.502563
0.200401 0.009086 0.091353 0.465587 1.199054 0.917849 0.000105 1013.000000 359.716330 0.009809 126.980922
0.210421 0.010025 0.096023 0.466477 1.208211 0.909717 0.000111 1013.000000 362.463193 0.009734 133.471765
0.220441 0.011010 0.100701 0.467353 1.217285 0.901504 0.000116 1013.000000 365.185489 0.009662 139.974902
0.230461 0.012043 0.105389 0.468214 1.226277 0.893211 0.000122 1013.000000 367.882977 0.009591 146.490138
0.240481 0.013122 0.110084 0.469061 1.235185 0.884838 0.000128 1013.000000 370.555414 0.009522 153.017273
0.250501 0.014249 0.114789 0.469893 1.244009 0.876385 0.000134 1013.000000 373.202563 0.009454 159.556100
0.260521 0.015423 0.119501 0.470710 1.252747 0.867854 0.000140 1013.000000 375.824185 0.009388 166.106410
0.270541 0.016644 0.124222 0.471511 1.261400 0.859245 0.000146 1013.000000 378.420045 0.009324 172.667987
0.280561 0.017912 0.128950 0.472296 1.269966 0.850559 0.000152 1013.000000 380.989911 0.009261 179.240609
0.290581 0.019228 0.133686 0.473065 1.278445 0.841796 0.000158 1013.000000 383.533549 0.009200 185.824051
0.300601 0.020591 0.138430 0.473816 1.286836 0.832957 0.000164 1013.000000 386.050730 0.009140 192.418081
0.310621 0.022002 0.143182 0.474551 1.295137 0.824042 0.000170 1013.000000 388.541229 0.009081 199.022464
0.320641 0.023461 0.147940 0.475268 1.303349 0.815054 0.000177 1013.000000 391.004819 0.009024 205.636957
0.330661 0.024967 0.152706 0.475967 1.311471 0.805992 0.000183 1013.000000 393.441279 0.008968 212.261314
0.340681 0.026521 0.157479 0.476648 1.319501 0.796858 0.000189 1013.000000 395.850390 0.008913 218.895284
0.350701 0.028123 0.162258 0.477311 1.327440 0.787652 0.000195 1013.000000 398.231935 0.008860 225.538609
0.360721 0.029773 0.167044 0.477954 1.335286 0.778375 0.000202 1013.000000 400.585700 0.008808 232.191030
0.370741 0.031471 0.171836 0.478578 1.343038 0.769029 0.000208 1013.000000 402.911476 0.008757 238.852278
0.380762 0.033216 0.176635 0.479183 1.350697 0.759615 0.000214 1013.000000 405.209055 0.008708 245.522082
0.390782 0.035010 0.181439 0.479767 1.358261 0.750133 0.000221 1013.000000 407.478233 0.008659 252.200165
0.400802 0.036852 0.186249 0.480331 1.365729 0.740586 0.000227 1013.000000 409.718809 0.008612 258.886246
0.410822 0.038743 0.191065 0.480875 1.373102 0.730973 0.000234 1013.000000 411.930587 0.008565 265.580039
0.420842 0.040681 0.195886 0.481397 1.380378 0.721297 0.000240 1013.000000 414.113373 0.008520 272.281251
