#x(m)	y(m)	z(m)	du(m/s)	dy(m)	rho(kg/m^3)	mu(N.s/m^2)	tau_w(N/m^2)	y_plus 
-1.236219e-02	1.248488e-02	0.000000	825.186671	1.511920e-05	8.551598e+00	6.613145e-05	3609.371	40.166140 
-1.208277e-02	1.248488e-02	0.000000	821.326331	1.511920e-05	8.584154e+00	6.593668e-05	3581.905	40.207534 
-1.179580e-02	1.248488e-02	0.000000	816.721717	1.511920e-05	8.624161e+00	6.572640e-05	3550.465	40.252227 
-1.150149e-02	1.248488e-02	0.000000	811.924635	1.511920e-05	8.666249e+00	6.550636e-05	3517.794	40.299170 
-1.120003e-02	1.248488e-02	0.000000	807.059052	1.511920e-05	8.709368e+00	6.527881e-05	3484.567	40.348206 
-1.089169e-02	1.248488e-02	0.000000	802.123544	1.511920e-05	8.753600e+00	6.504916e-05	3451.074	40.397780 
-1.057674e-02	1.248488e-02	0.000000	797.134554	1.511920e-05	8.798815e+00	6.481772e-05	3417.407	40.447845 
-1.025552e-02	1.248488e-02	0.000000	792.102582	1.511920e-05	8.844934e+00	6.458484e-05	3383.633	40.498328 
-9.928374e-03	1.248488e-02	0.000000	787.037146	1.511920e-05	8.891887e+00	6.435087e-05	3349.816	40.549149 
-9.595690e-03	1.248488e-02	0.000000	781.947028	1.511920e-05	8.939608e+00	6.411620e-05	3316.014	40.600220 
-9.257888e-03	1.248488e-02	0.000000	776.840998	1.511920e-05	8.988028e+00	6.388122e-05	3282.287	40.651451 
-8.915417e-03	1.248488e-02	0.000000	771.728016	1.511920e-05	9.037074e+00	6.364632e-05	3248.694	40.702752 
-8.568757e-03	1.248488e-02	0.000000	766.616596	1.511920e-05	9.086671e+00	6.341190e-05	3215.291	40.754024 
-8.218409e-03	1.248488e-02	0.000000	761.515830	1.511920e-05	9.136740e+00	6.317835e-05	3182.134	40.805182 
-7.864901e-03	1.248488e-02	0.000000	756.433248	1.511920e-05	9.187199e+00	6.294606e-05	3149.274	40.856106 
-7.508778e-03	1.248488e-02	0.000000	751.378687	1.511920e-05	9.237980e+00	6.271543e-05	3116.769	40.906761 
-7.150604e-03	1.248488e-02	0.000000	746.351158	1.511920e-05	9.289019e+00	6.248683e-05	3084.629	40.956859 
-6.790955e-03	1.248488e-02	0.000000	741.376871	1.511920e-05	9.339972e+00	6.225048e-05	3052.481	41.009580 
-6.430417e-03	1.248488e-02	0.000000	736.456284	1.511920e-05	9.390938e+00	6.201687e-05	3020.843	41.061745 
-6.069583e-03	1.248488e-02	0.000000	731.591768	1.511920e-05	9.441903e+00	6.178644e-05	2989.739	41.113264 
-5.709045e-03	1.248488e-02	0.000000	726.792734	1.511920e-05	9.492756e+00	6.155948e-05	2959.217	41.164074 
-5.349396e-03	1.248488e-02	0.000000	722.065853	1.511920e-05	9.543409e+00	6.133628e-05	2929.311	41.214102 
-4.991222e-03	1.248488e-02	0.000000	717.417672	1.511920e-05	9.593773e+00	6.111711e-05	2900.054	41.263277 
-4.635099e-03	1.248488e-02	0.000000	712.854092	1.511920e-05	9.643762e+00	6.090223e-05	2871.475	41.311536 
-4.281591e-03	1.248488e-02	0.000000	708.380289	1.511920e-05	9.693292e+00	6.069186e-05	2843.598	41.358810 
-3.931243e-03	1.248488e-02	0.000000	704.000774	1.511920e-05	9.742293e+00	6.048620e-05	2816.441	41.405057 
-3.584583e-03	1.248488e-02	0.000000	699.719431	1.511920e-05	9.790684e+00	6.028546e-05	2790.023	41.450195 
-3.242112e-03	1.248488e-02	0.000000	695.540268	1.511920e-05	9.838412e+00	6.008973e-05	2764.355	41.494247 
-2.904310e-03	1.248488e-02	0.000000	691.465436	1.511920e-05	9.885377e+00	5.989926e-05	2739.449	41.537035 
-2.571626e-03	1.248488e-02	0.000000	687.500367	1.511920e-05	9.931589e+00	5.971393e-05	2715.312	41.578843 
