# x(m) du(m/s) dy(m) tau_w(N/m^2) c_f y_plus 
0.220420 31.999240 1.020000e-05 55.542838 0.001235 0.861936 
0.225429 31.857500 1.020000e-05 55.296718 0.001229 0.860040 
0.230499 31.769030 1.020000e-05 55.149323 0.001226 0.858748 
0.235629 31.644710 1.020000e-05 54.936768 0.001221 0.856949 
0.240817 31.529330 1.020000e-05 54.740635 0.001217 0.855176 
0.246063 31.388570 1.020000e-05 54.499728 0.001212 0.853027 
0.251364 31.251930 1.020000e-05 54.266311 0.001207 0.850901 
0.256721 31.090930 1.020000e-05 53.990772 0.001200 0.848497 
0.262130 30.941050 1.020000e-05 53.734017 0.001195 0.846351 
0.267591 30.781560 1.010000e-05 53.990856 0.001200 0.840066 
0.273103 30.646660 1.010000e-05 53.759612 0.001195 0.838258 
0.278663 30.484030 1.010000e-05 53.478013 0.001189 0.836010 
0.284270 30.328230 1.010000e-05 53.209438 0.001183 0.833698 
0.289921 30.141730 1.000000e-05 53.413858 0.001188 0.826770 
0.295616 29.948820 1.000000e-05 53.076647 0.001180 0.823808 
0.301352 29.739440 1.000000e-05 52.708399 0.001172 0.820680 
0.307127 29.531420 9.900000e-06 52.873174 0.001176 0.813518 
0.312940 29.322310 9.900000e-06 52.503462 0.001167 0.810482 
0.318787 29.099330 9.800000e-06 52.640213 0.001170 0.803203 
0.324668 28.879050 9.800000e-06 52.246828 0.001162 0.800106 
0.330579 28.647710 9.700000e-06 52.367216 0.001164 0.792850 
0.336518 28.423400 9.700000e-06 51.963279 0.001155 0.789771 
0.342484 28.184670 9.600000e-06 52.067919 0.001158 0.782400 
0.348473 27.942180 9.500000e-06 52.169315 0.001160 0.774877 
0.354484 27.681830 9.500000e-06 51.686901 0.001149 0.771103 
0.360513 27.409620 9.400000e-06 51.729009 0.001150 0.762981 
0.366559 27.117590 9.300000e-06 51.730973 0.001150 0.754615 
0.372619 26.825770 9.200000e-06 51.738163 0.001150 0.746184 
0.378690 26.494230 9.100000e-06 51.663370 0.001149 0.737382 
0.384771 26.242750 9.100000e-06 51.178150 0.001138 0.733717 
0.390857 25.803870 9.000000e-06 50.905588 0.001132 0.723213 
0.396948 25.537200 8.900000e-06 50.911134 0.001132 0.715855 
