# x(m) du(m/s) dy(m) tau_w(N/m^2) c_f y_plus 
0.000287 601.430700 8.900000e-06 628.107395 0.013965 8.032202 
0.000869 206.233500 8.800000e-06 421.134432 0.009363 2.392773 
0.001468 90.171150 8.800000e-06 170.752086 0.003796 1.599570 
0.002083 70.847520 8.800000e-06 139.320682 0.003098 1.315929 
0.002716 59.637960 8.800000e-06 117.153351 0.002605 1.188063 
0.003366 48.919180 8.800000e-06 96.996339 0.002157 1.047314 
0.004034 44.715070 8.800000e-06 88.696101 0.001972 0.996732 
0.004721 40.883490 8.800000e-06 81.423280 0.001810 0.942931 
0.005427 37.394210 8.800000e-06 74.439761 0.001655 0.895806 
0.006152 34.932260 8.800000e-06 69.620828 0.001548 0.863190 
0.006897 33.783840 8.700000e-06 68.166819 0.001516 0.840764 
0.007663 32.280370 8.700000e-06 65.132548 0.001448 0.817869 
0.008449 31.608230 8.700000e-06 63.784827 0.001418 0.807299 
0.009258 31.519300 8.700000e-06 63.633445 0.001415 0.804023 
0.010088 31.559280 8.700000e-06 63.750761 0.001417 0.801964 
0.010941 31.925450 8.700000e-06 64.495684 0.001434 0.805386 
0.011817 32.839510 8.700000e-06 66.381710 0.001476 0.815205 
0.012718 33.784830 8.700000e-06 68.347410 0.001520 0.825499 
0.013642 34.791790 8.700000e-06 70.427301 0.001566 0.837599 
0.014592 35.714420 8.700000e-06 72.342062 0.001608 0.848899 
0.015567 36.617650 8.700000e-06 74.211139 0.001650 0.859866 
0.016568 37.279920 8.700000e-06 75.572440 0.001680 0.867925 
0.017597 37.761030 8.700000e-06 76.567910 0.001702 0.873634 
0.018652 38.067560 8.700000e-06 77.184735 0.001716 0.877703 
0.019736 38.345020 8.700000e-06 77.747084 0.001729 0.881385 
0.020849 38.591970 8.700000e-06 78.246772 0.001740 0.884636 
0.021992 38.697480 8.700000e-06 78.451535 0.001744 0.885981 
0.023164 38.730630 8.700000e-06 78.503203 0.001745 0.886712 
0.024368 38.745970 8.700000e-06 78.525299 0.001746 0.887097 
0.025603 38.738200 8.700000e-06 78.491519 0.001745 0.887319 
0.026870 38.707710 8.700000e-06 78.427471 0.001744 0.886969 
0.028171 38.594640 8.700000e-06 78.179876 0.001738 0.885941 
0.029505 38.528640 8.800000e-06 77.156798 0.001715 0.890313 
0.030874 38.377770 8.800000e-06 76.843155 0.001709 0.888690 
0.032279 38.253640 8.800000e-06 76.590395 0.001703 0.887238 
0.033719 38.096190 8.800000e-06 76.267923 0.001696 0.885384 
0.035197 37.936730 8.800000e-06 75.944419 0.001689 0.883484 
0.036712 37.769990 8.800000e-06 75.607108 0.001681 0.881452 
0.038266 37.599590 8.800000e-06 75.263142 0.001673 0.879435 
0.039858 37.443760 8.800000e-06 74.953132 0.001666 0.877444 
0.041492 37.260470 8.900000e-06 73.745922 0.001640 0.880136 
0.043166 37.085720 8.900000e-06 73.402057 0.001632 0.877894 
0.044881 36.906650 8.900000e-06 73.047715 0.001624 0.875590 
0.046640 36.729630 8.900000e-06 72.700153 0.001616 0.873324 
0.048442 36.575340 8.900000e-06 72.397557 0.001610 0.871199 
0.050288 36.409060 8.900000e-06 72.072675 0.001602 0.868773 
0.052179 36.241950 9.000000e-06 70.944664 0.001577 0.871062 
0.054116 36.042230 9.000000e-06 70.562877 0.001569 0.867893 
0.056100 35.784500 9.000000e-06 70.053924 0.001558 0.864418 
0.058132 35.611440 9.000000e-06 69.723955 0.001550 0.862279 
0.060212 35.457530 9.000000e-06 69.431517 0.001544 0.860574 
0.062342 35.338980 9.100000e-06 68.445468 0.001522 0.864143 
0.064522 35.252620 9.100000e-06 68.287308 0.001518 0.863269 
