# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 2.270683e-03 7.202441e-07 1.537610e-01 5.063760e+02 1.699910e-01 0.000000e+00 7.056758e+03 2.534806e+02 1.090207e-05 1.425326e-02 2.302907e-03 2.599756e+00 0.000000e+00 1.262425e+03 8.431153e+04 1.000000e+00 1.147366e+05 1.598763e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202252e-07 1.539493e-01 5.068231e+02 1.717212e-01 0.000000e+00 7.056808e+03 2.533263e+02 1.089000e-05 1.423508e-02 2.304028e-03 2.601022e+00 0.000000e+00 1.262467e+03 8.437653e+04 1.000000e+00 1.145970e+05 1.596818e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202441e-07 1.537610e-01 5.063760e+02 1.699910e-01 0.000000e+00 7.056758e+03 2.534806e+02 1.090207e-05 1.425326e-02 2.302907e-03 2.599756e+00 0.000000e+00 1.262425e+03 8.431153e+04 1.000000e+00 1.147366e+05 1.598763e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202252e-07 1.539493e-01 5.068231e+02 1.717212e-01 0.000000e+00 7.056808e+03 2.533263e+02 1.089000e-05 1.423508e-02 2.304028e-03 2.601022e+00 0.000000e+00 1.262467e+03 8.437653e+04 1.000000e+00 1.145970e+05 1.596818e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202441e-07 1.537610e-01 5.063760e+02 1.699910e-01 0.000000e+00 7.056758e+03 2.534806e+02 1.090207e-05 1.425326e-02 2.302907e-03 2.599756e+00 0.000000e+00 1.262425e+03 8.431153e+04 1.000000e+00 1.147366e+05 1.598763e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202252e-07 1.539493e-01 5.068231e+02 1.717212e-01 0.000000e+00 7.056808e+03 2.533263e+02 1.089000e-05 1.423508e-02 2.304028e-03 2.601022e+00 0.000000e+00 1.262467e+03 8.437653e+04 1.000000e+00 1.145970e+05 1.596818e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202441e-07 1.537610e-01 5.063760e+02 1.699910e-01 0.000000e+00 7.056758e+03 2.534806e+02 1.090207e-05 1.425326e-02 2.302907e-03 2.599756e+00 0.000000e+00 1.262425e+03 8.431153e+04 1.000000e+00 1.147366e+05 1.598763e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202252e-07 1.539493e-01 5.068231e+02 1.717212e-01 0.000000e+00 7.056808e+03 2.533263e+02 1.089000e-05 1.423508e-02 2.304028e-03 2.601022e+00 0.000000e+00 1.262467e+03 8.437653e+04 1.000000e+00 1.145970e+05 1.596818e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202441e-07 1.537610e-01 5.063760e+02 1.699910e-01 0.000000e+00 7.056758e+03 2.534806e+02 1.090207e-05 1.425326e-02 2.302907e-03 2.599756e+00 0.000000e+00 1.262425e+03 8.431153e+04 1.000000e+00 1.147366e+05 1.598763e+02
0.000000e+00 0.000000e+00 2.270683e-03 7.202252e-07 1.539493e-01 5.068231e+02 1.717212e-01 0.000000e+00 7.056808e+03 2.533263e+02 1.089000e-05 1.423508e-02 2.304028e-03 2.601022e+00 0.000000e+00 1.262467e+03 8.437653e+04 1.000000e+00 1.145970e+05 1.596818e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.907051e-07 1.563386e-01 5.121222e+02 1.943856e-01 0.000000e+00 7.057348e+03 2.513929e+02 1.073890e-05 1.400780e-02 2.542618e-03 2.870366e+00 0.000000e+00 1.236466e+03 7.605016e+04 1.000000e+00 1.128545e+05 1.572537e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.906844e-07 1.565382e-01 5.125741e+02 1.960475e-01 0.000000e+00 7.057404e+03 2.512337e+02 1.072646e-05 1.398913e-02 2.543568e-03 2.871439e+00 0.000000e+00 1.236364e+03 7.611246e+04 1.000000e+00 1.127116e+05 1.570545e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.907051e-07 1.563386e-01 5.121222e+02 1.943856e-01 0.000000e+00 7.057348e+03 2.513929e+02 1.073890e-05 1.400780e-02 2.542618e-03 2.870366e+00 0.000000e+00 1.236466e+03 7.605016e+04 1.000000e+00 1.128545e+05 1.572537e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.906844e-07 1.565382e-01 5.125741e+02 1.960475e-01 0.000000e+00 7.057404e+03 2.512337e+02 1.072646e-05 1.398913e-02 2.543568e-03 2.871439e+00 0.000000e+00 1.236364e+03 7.611246e+04 1.000000e+00 1.127116e+05 1.570545e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.907051e-07 1.563386e-01 5.121222e+02 1.943856e-01 0.000000e+00 7.057348e+03 2.513929e+02 1.073890e-05 1.400780e-02 2.542618e-03 2.870366e+00 0.000000e+00 1.236466e+03 7.605016e+04 1.000000e+00 1.128545e+05 1.572537e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.906844e-07 1.565382e-01 5.125741e+02 1.960475e-01 0.000000e+00 7.057404e+03 2.512337e+02 1.072646e-05 1.398913e-02 2.543568e-03 2.871439e+00 0.000000e+00 1.236364e+03 7.611246e+04 1.000000e+00 1.127116e+05 1.570545e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.907051e-07 1.563386e-01 5.121222e+02 1.943856e-01 0.000000e+00 7.057348e+03 2.513929e+02 1.073890e-05 1.400780e-02 2.542618e-03 2.870366e+00 0.000000e+00 1.236466e+03 7.605016e+04 1.000000e+00 1.128545e+05 1.572537e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.906844e-07 1.565382e-01 5.125741e+02 1.960475e-01 0.000000e+00 7.057404e+03 2.512337e+02 1.072646e-05 1.398913e-02 2.543568e-03 2.871439e+00 0.000000e+00 1.236364e+03 7.611246e+04 1.000000e+00 1.127116e+05 1.570545e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.907051e-07 1.563386e-01 5.121222e+02 1.943856e-01 0.000000e+00 7.057348e+03 2.513929e+02 1.073890e-05 1.400780e-02 2.542618e-03 2.870366e+00 0.000000e+00 1.236466e+03 7.605016e+04 1.000000e+00 1.128545e+05 1.572537e+02
0.000000e+00 0.000000e+00 2.514389e-03 7.906844e-07 1.565382e-01 5.125741e+02 1.960475e-01 0.000000e+00 7.057404e+03 2.512337e+02 1.072646e-05 1.398913e-02 2.543568e-03 2.871439e+00 0.000000e+00 1.236364e+03 7.611246e+04 1.000000e+00 1.127116e+05 1.570545e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681421e-07 1.589944e-01 5.177821e+02 2.221352e-01 0.000000e+00 7.057688e+03 2.492907e+02 1.057498e-05 1.376194e-02 2.800803e-03 3.161832e+00 0.000000e+00 1.213157e+03 6.889041e+04 1.000000e+00 1.109750e+05 1.546348e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681193e-07 1.592059e-01 5.182390e+02 2.238088e-01 0.000000e+00 7.057756e+03 2.491263e+02 1.056218e-05 1.374275e-02 2.801416e-03 3.162524e+00 0.000000e+00 1.212876e+03 6.895093e+04 1.000000e+00 1.108287e+05 1.544308e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681421e-07 1.589944e-01 5.177821e+02 2.221352e-01 0.000000e+00 7.057688e+03 2.492907e+02 1.057498e-05 1.376194e-02 2.800803e-03 3.161832e+00 0.000000e+00 1.213157e+03 6.889041e+04 1.000000e+00 1.109750e+05 1.546348e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681193e-07 1.592059e-01 5.182390e+02 2.238088e-01 0.000000e+00 7.057756e+03 2.491263e+02 1.056218e-05 1.374275e-02 2.801416e-03 3.162524e+00 0.000000e+00 1.212876e+03 6.895093e+04 1.000000e+00 1.108287e+05 1.544308e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681421e-07 1.589944e-01 5.177821e+02 2.221352e-01 0.000000e+00 7.057688e+03 2.492907e+02 1.057498e-05 1.376194e-02 2.800803e-03 3.161832e+00 0.000000e+00 1.213157e+03 6.889041e+04 1.000000e+00 1.109750e+05 1.546348e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681193e-07 1.592059e-01 5.182390e+02 2.238088e-01 0.000000e+00 7.057756e+03 2.491263e+02 1.056218e-05 1.374275e-02 2.801416e-03 3.162524e+00 0.000000e+00 1.212876e+03 6.895093e+04 1.000000e+00 1.108287e+05 1.544308e+02
0.000000e+00 0.000000e+00 2.782680e-03 8.681421e-07 1.589944e-01 5.177821e+02 2.221352e-01 0.000000e+00 7.057688e+03 2.492907e+02 1.057498e-05 1.376194e-02 2.800803e-03 3.161832e+00 0.000000e+00 1.213157e+03 6.889041e+04 1.000000e+00 1.109750e+05 1.546348e+02
