# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 1.602722e-02 4.518502e-06 3.516811e-01 6.709831e+02 2.261799e+00 0.000000e+00 7.186984e+03 1.691506e+02 4.816583e-06 5.651951e-03 1.417862e-04 1.600627e-01 0.000000e+00 3.176960e+00 6.422685e+03 1.000000e+00 5.109357e+04 7.119478e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518383e-06 3.521547e-01 6.710777e+02 2.269074e+00 0.000000e+00 7.187044e+03 1.690366e+02 4.809374e-06 5.642551e-03 1.203198e-04 1.358292e-01 0.000000e+00 2.659630e+00 6.383185e+03 1.000000e+00 5.102459e+04 7.109866e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518502e-06 3.516811e-01 6.709831e+02 2.261799e+00 0.000000e+00 7.186984e+03 1.691506e+02 4.816583e-06 5.651951e-03 1.417862e-04 1.600627e-01 0.000000e+00 3.176960e+00 6.422685e+03 1.000000e+00 5.109357e+04 7.119478e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518383e-06 3.521547e-01 6.710777e+02 2.269074e+00 0.000000e+00 7.187044e+03 1.690366e+02 4.809374e-06 5.642551e-03 1.203198e-04 1.358292e-01 0.000000e+00 2.659630e+00 6.383185e+03 1.000000e+00 5.102459e+04 7.109866e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518502e-06 3.516811e-01 6.709831e+02 2.261799e+00 0.000000e+00 7.186984e+03 1.691506e+02 4.816583e-06 5.651951e-03 1.417862e-04 1.600627e-01 0.000000e+00 3.176960e+00 6.422685e+03 1.000000e+00 5.109357e+04 7.119478e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518383e-06 3.521547e-01 6.710777e+02 2.269074e+00 0.000000e+00 7.187044e+03 1.690366e+02 4.809374e-06 5.642551e-03 1.203198e-04 1.358292e-01 0.000000e+00 2.659630e+00 6.383185e+03 1.000000e+00 5.102459e+04 7.109866e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518502e-06 3.516811e-01 6.709831e+02 2.261799e+00 0.000000e+00 7.186984e+03 1.691506e+02 4.816583e-06 5.651951e-03 1.417862e-04 1.600627e-01 0.000000e+00 3.176960e+00 6.422685e+03 1.000000e+00 5.109357e+04 7.119478e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518383e-06 3.521547e-01 6.710777e+02 2.269074e+00 0.000000e+00 7.187044e+03 1.690366e+02 4.809374e-06 5.642551e-03 1.203198e-04 1.358292e-01 0.000000e+00 2.659630e+00 6.383185e+03 1.000000e+00 5.102459e+04 7.109866e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518502e-06 3.516811e-01 6.709831e+02 2.261799e+00 0.000000e+00 7.186984e+03 1.691506e+02 4.816583e-06 5.651951e-03 1.417862e-04 1.600627e-01 0.000000e+00 3.176960e+00 6.422685e+03 1.000000e+00 5.109357e+04 7.119478e+01
0.000000e+00 0.000000e+00 1.602722e-02 4.518383e-06 3.521547e-01 6.710777e+02 2.269074e+00 0.000000e+00 7.187044e+03 1.690366e+02 4.809374e-06 5.642551e-03 1.203198e-04 1.358292e-01 0.000000e+00 2.659630e+00 6.383185e+03 1.000000e+00 5.102459e+04 7.109866e+01
