# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 6.260780e-06 6.006993e-08 9.313658e-02 2.410249e+01 -4.088617e-03 0.000000e+00 7.185869e+03 3.286577e+02 1.694944e-05 2.375726e-02 2.292887e-09 2.588444e-06 0.000000e+00 2.360669e+00 3.289591e+08 1.000000e+00 1.928854e+05 2.687704e+02 
0.000000e+00 0.000000e+00 1.942503e-05 6.393628e-08 9.368184e-02 7.475850e+01 -1.090298e-02 0.000000e+00 7.183302e+03 3.276431e+02 1.686655e-05 2.362253e-02 1.183101e-07 1.335604e-04 0.000000e+00 4.231188e+01 5.775200e+07 1.000000e+00 1.916973e+05 2.671147e+02 
0.000000e+00 0.000000e+00 3.394056e-05 6.819915e-08 9.499137e-02 1.293269e+02 -1.520476e-02 0.000000e+00 7.172003e+03 3.251224e+02 1.666065e-05 2.328830e-02 1.281099e-06 1.446235e-03 0.000000e+00 2.245822e+02 1.926290e+07 1.000000e+00 1.887597e+05 2.630214e+02 
0.000000e+00 0.000000e+00 4.994593e-05 7.289907e-08 9.695303e-02 1.816694e+02 -1.017359e-02 0.000000e+00 7.145790e+03 3.212290e+02 1.634287e-05 2.277371e-02 6.238144e-06 7.042251e-03 0.000000e+00 6.228301e+02 1.007058e+07 1.000000e+00 1.842667e+05 2.567608e+02 
0.000000e+00 0.000000e+00 6.759388e-05 7.808074e-08 9.926171e-02 2.239575e+02 -4.497923e-03 0.000000e+00 7.116751e+03 3.168298e+02 1.598415e-05 2.219478e-02 1.647056e-05 1.859364e-02 0.000000e+00 1.045566e+03 6.538092e+06 1.000000e+00 1.792560e+05 2.497788e+02 
0.000000e+00 0.000000e+00 8.705275e-05 8.379347e-08 1.016401e-01 2.572747e+02 -2.248483e-03 0.000000e+00 7.094613e+03 3.126062e+02 1.564014e-05 2.164138e-02 3.071667e-05 3.467610e-02 0.000000e+00 1.349132e+03 4.477820e+06 1.000000e+00 1.745051e+05 2.431588e+02 
0.000000e+00 0.000000e+00 1.085081e-04 9.009140e-08 1.039259e-01 2.825322e+02 2.911097e-04 0.000000e+00 7.080565e+03 3.088480e+02 1.533445e-05 2.115147e-02 4.871504e-05 5.499450e-02 0.000000e+00 1.521937e+03 3.289503e+06 1.000000e+00 1.703366e+05 2.373503e+02 
0.000000e+00 0.000000e+00 1.321644e-04 9.703444e-08 1.061425e-01 3.036505e+02 2.508664e-03 0.000000e+00 7.070796e+03 3.053907e+02 1.505356e-05 2.070261e-02 6.993666e-05 7.895162e-02 0.000000e+00 1.628459e+03 2.477957e+06 1.000000e+00 1.665425e+05 2.320636e+02 
0.000000e+00 0.000000e+00 1.582472e-04 1.046883e-07 1.082500e-01 3.211281e+02 4.434585e-03 0.000000e+00 7.064324e+03 3.022671e+02 1.480012e-05 2.029890e-02 9.460323e-05 1.067977e-01 0.000000e+00 1.686387e+03 1.941238e+06 1.000000e+00 1.631541e+05 2.273420e+02 
0.000000e+00 0.000000e+00 1.870047e-04 1.131256e-07 1.102943e-01 3.364406e+02 6.275353e-03 0.000000e+00 7.059650e+03 2.993527e+02 1.456393e-05 1.992367e-02 1.227288e-04 1.385487e-01 0.000000e+00 1.718756e+03 1.550450e+06 1.000000e+00 1.600225e+05 2.229785e+02 
