# dist-to-jet(mm) x/D() c_p 
-0.075711 -15.905632 0.000774 
-0.070631 -14.838489 0.000879 
-0.065607 -13.783071 0.001029 
-0.060675 -12.746817 0.001091 
-0.055866 -11.736622 0.001248 
-0.051211 -10.758670 0.001990 
-0.046735 -9.818296 0.014072 
-0.042459 -8.919908 0.045590 
-0.038399 -8.066933 0.078344 
-0.034566 -7.261836 0.093246 
-0.030969 -6.506145 0.103639 
-0.027610 -5.800521 0.097836 
-0.024490 -5.144857 0.086073 
-0.021603 -4.538372 0.078260 
-0.018943 -3.979725 0.104777 
-0.016504 -3.467130 0.231516 
-0.014273 -2.998460 0.329155 
-0.012240 -2.571338 0.259373 
-0.010392 -2.183233 0.138794 
-0.008718 -1.831527 0.160791 
-0.007205 -1.513584 0.173812 
-0.005840 -1.226796 0.151151 
-0.004611 -0.968624 0.078805 
-0.003506 -0.736630 0.023426 
-0.002516 -0.528494 0.268938 


0.002635 0.553513 0.191757 
0.003843 0.807300 -0.000318 
0.005119 1.075395 -0.049235 
0.006466 1.358500 -0.068125 
0.007889 1.657342 -0.077041 
0.009390 1.972674 -0.081641 
0.010973 2.305261 -0.082493 
0.012642 2.655891 -0.080944 
0.014401 3.025370 -0.079239 
0.016253 3.414517 -0.078149 
0.018203 3.824166 -0.077177 
0.020255 4.255162 -0.075937 
0.022412 4.708361 -0.074475 
0.024679 5.184601 -0.072289 
0.027059 5.684727 -0.069275 
0.029558 6.209622 -0.064975 
0.032178 6.760105 -0.060124 
0.034924 7.336975 -0.054961 
0.037799 7.941071 -0.050186 
0.040808 8.573130 -0.047083 
0.043953 9.233908 -0.045044 
0.047239 9.924097 -0.043372 
0.050667 10.644328 -0.042368 
0.054241 11.395189 -0.043074 
0.057963 12.177185 -0.030229 
0.061836 12.990777 0.009792 
0.065861 13.836303 0.042285 
0.070039 14.714013 0.049363 
0.074371 15.624076 0.043005 
0.078857 16.566534 0.036164 
0.083497 17.541303 0.026531 
0.088289 18.548172 0.013858 
0.093233 19.586807 -0.003026 
0.098326 20.656702 -0.019632 
0.103564 21.757227 -0.033475 
0.108945 22.887605 -0.043872 
0.114463 24.046870 -0.050436 
0.120114 25.233929 -0.047260 
0.125890 26.447500 -0.036282 
0.131786 27.686155 -0.023926 
0.137794 28.948340 -0.014529 
0.143906 30.232332 -0.008367 
0.150113 31.536239 -0.005364 
0.156405 32.858088 -0.004987 
0.162772 34.195735 -0.006304 
0.169203 35.546933 -0.008387 
0.175689 36.909370 -0.010426 
0.182216 38.280651 -0.011179 
0.188773 39.658277 -0.011414 
0.195349 41.039727 -0.009764 
