# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 9.892867e-07 3.522650e-09 1.241162e-01 8.583036e+00 -1.452294e-04 0.000000e+00 1.056530e+04 3.452159e+02 1.830430e-05 2.597367e-02 7.040822e-13 7.948397e-10 0.000000e+00 3.223791e-02 7.409837e+09 1.000000e+00 2.128107e+05 2.965346e+02
