# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 9.892867e-07 3.515660e-09 1.241728e-01 8.594682e+00 -1.452018e-04 0.000000e+00 1.056978e+04 3.452102e+02 1.830384e-05 2.597292e-02 7.079084e-13 7.991591e-10 0.000000e+00 3.238251e-02 7.406219e+09 1.000000e+00 2.128038e+05 2.965249e+02
0.000000e+00 0.000000e+00 3.043087e-06 3.767285e-09 1.242416e-01 2.644098e+01 -4.097778e-04 0.000000e+00 1.056972e+04 3.451137e+02 1.829593e-05 2.595990e-02 6.273399e-11 7.082052e-08 0.000000e+00 6.804104e-01 1.538932e+09 1.000000e+00 2.126847e+05 2.963590e+02
0.000000e+00 0.000000e+00 5.253053e-06 4.038024e-09 1.244431e-01 4.565960e+01 -8.447090e-04 0.000000e+00 1.056941e+04 3.448293e+02 1.827264e-05 2.592160e-02 1.075564e-09 1.214205e-06 0.000000e+00 4.324606e+00 5.467510e+08 1.000000e+00 2.123344e+05 2.958709e+02
0.000000e+00 0.000000e+00 7.631040e-06 4.329322e-09 1.247797e-01 6.637031e+01 -1.178446e-03 0.000000e+00 1.056845e+04 3.443482e+02 1.823323e-05 2.585679e-02 8.330016e-09 9.403770e-06 0.000000e+00 1.598740e+01 2.566460e+08 1.000000e+00 2.117424e+05 2.950459e+02
0.000000e+00 0.000000e+00 1.018980e-05 4.642736e-09 1.252779e-01 8.868873e+01 -1.556181e-03 0.000000e+00 1.056610e+04 3.436247e+02 1.817399e-05 2.575939e-02 4.111973e-08 4.642013e-05 0.000000e+00 4.403773e+01 1.421107e+08 1.000000e+00 2.108536e+05 2.938075e+02
0.000000e+00 0.000000e+00 1.294305e-05 4.979941e-09 1.259717e-01 1.127044e+02 -1.816356e-03 0.000000e+00 1.056131e+04 3.425998e+02 1.809006e-05 2.562150e-02 1.515481e-07 1.710829e-04 0.000000e+00 1.008862e+02 8.801021e+07 1.000000e+00 2.095977e+05 2.920576e+02
0.000000e+00 0.000000e+00 1.590554e-05 5.342734e-09 1.268923e-01 1.383865e+02 -1.933336e-03 0.000000e+00 1.055265e+04 3.412153e+02 1.797669e-05 2.543544e-02 4.507289e-07 5.088286e-04 0.000000e+00 2.025629e+02 5.934977e+07 1.000000e+00 2.079075e+05 2.897024e+02
0.000000e+00 0.000000e+00 1.909314e-05 5.733051e-09 1.280763e-01 1.654927e+02 -1.520319e-03 0.000000e+00 1.053863e+04 3.394098e+02 1.782888e-05 2.519306e-02 1.126270e-06 1.271448e-03 0.000000e+00 3.650259e+02 4.287131e+07 1.000000e+00 2.057135e+05 2.866452e+02
0.000000e+00 0.000000e+00 2.252292e-05 6.152973e-09 1.295341e-01 1.934184e+02 -7.004873e-04 0.000000e+00 1.051835e+04 3.371708e+02 1.764565e-05 2.489301e-02 2.421741e-06 2.733908e-03 0.000000e+00 5.955224e+02 3.269242e+07 1.000000e+00 2.030091e+05 2.828769e+02
0.000000e+00 0.000000e+00 2.621322e-05 6.604734e-09 1.312847e-01 2.213094e+02 1.088500e-04 0.000000e+00 1.049244e+04 3.345042e+02 1.742748e-05 2.453639e-02 4.573338e-06 5.162849e-03 0.000000e+00 8.831097e+02 2.590028e+07 1.000000e+00 1.998115e+05 2.784212e+02
0.000000e+00 0.000000e+00 3.018378e-05 7.090736e-09 1.332912e-01 2.481883e+02 5.452145e-04 0.000000e+00 1.046326e+04 3.315164e+02 1.718313e-05 2.413778e-02 7.747058e-06 8.745666e-03 0.000000e+00 1.197411e+03 2.098271e+07 1.000000e+00 1.962587e+05 2.734707e+02
0.000000e+00 0.000000e+00 3.445583e-05 7.613563e-09 1.355019e-01 2.734426e+02 1.352115e-03 0.000000e+00 1.043420e+04 3.283458e+02 1.692397e-05 2.371595e-02 1.204223e-05 1.359448e-02 0.000000e+00 1.498903e+03 1.714894e+07 1.000000e+00 1.925233e+05 2.682657e+02
0.000000e+00 0.000000e+00 3.905219e-05 8.175989e-09 1.379236e-01 2.963473e+02 3.851433e-03 0.000000e+00 1.040907e+04 3.250591e+02 1.665550e-05 2.328000e-02 1.740614e-05 1.964982e-02 0.000000e+00 1.749772e+03 1.405329e+07 1.000000e+00 1.886886e+05 2.629223e+02
0.000000e+00 0.000000e+00 4.399739e-05 8.780996e-09 1.404133e-01 3.161894e+02 4.434224e-03 0.000000e+00 1.038848e+04 3.218457e+02 1.639320e-05 2.285514e-02 2.350836e-05 2.653864e-02 0.000000e+00 1.936189e+03 1.168401e+07 1.000000e+00 1.849765e+05 2.577498e+02
0.000000e+00 0.000000e+00 4.931780e-05 9.431787e-09 1.429387e-01 3.338862e+02 5.486403e-03 0.000000e+00 1.037053e+04 3.187147e+02 1.613781e-05 2.244252e-02 3.045346e-05 3.437897e-02 0.000000e+00 2.090419e+03 9.901940e+06 1.000000e+00 1.813951e+05 2.527595e+02
0.000000e+00 0.000000e+00 5.504179e-05 1.013181e-08 1.455368e-01 3.502120e+02 6.892771e-03 0.000000e+00 1.035463e+04 3.156150e+02 1.588518e-05 2.203537e-02 3.849958e-05 4.346225e-02 0.000000e+00 2.217285e+03 8.449763e+06 1.000000e+00 1.778839e+05 2.478669e+02
0.000000e+00 0.000000e+00 6.119985e-05 1.088474e-08 1.481881e-01 3.652717e+02 8.714728e-03 0.000000e+00 1.034087e+04 3.125708e+02 1.563729e-05 2.163691e-02 4.766204e-05 5.380576e-02 0.000000e+00 2.316948e+03 7.254736e+06 1.000000e+00 1.744689e+05 2.431083e+02
0.000000e+00 0.000000e+00 6.782473e-05 1.169457e-08 1.508784e-01 3.792172e+02 1.076945e-02 0.000000e+00 1.032918e+04 3.095960e+02 1.539528e-05 2.124887e-02 5.797190e-05 6.544459e-02 0.000000e+00 2.391979e+03 6.263462e+06 1.000000e+00 1.711635e+05 2.385026e+02
0.000000e+00 0.000000e+00 7.495166e-05 1.256556e-08 1.536037e-01 3.921900e+02 1.311360e-02 0.000000e+00 1.031935e+04 3.066906e+02 1.515915e-05 2.087124e-02 6.947618e-05 7.843178e-02 0.000000e+00 2.445648e+03 5.435172e+06 1.000000e+00 1.679659e+05 2.340469e+02
0.000000e+00 0.000000e+00 8.261847e-05 1.350228e-08 1.563614e-01 4.043136e+02 1.531075e-02 0.000000e+00 1.031113e+04 3.038523e+02 1.492872e-05 2.050365e-02 8.223366e-05 9.283372e-02 0.000000e+00 2.481138e+03 4.738141e+06 1.000000e+00 1.648710e+05 2.297344e+02
