# x(m)    rho     f_N2     f_O2
-0.00002000  1.23326287  0.99999602  0.00000398  
-0.00001900  1.23326415  0.99998880  0.00001120  
-0.00001800  1.23326748  0.99996999  0.00003001  
-0.00001700  1.23327572  0.99992341  0.00007659  
-0.00001600  1.23329515  0.99981369  0.00018631  
-0.00001500  1.23333864  0.99956798  0.00043202  
-0.00001400  1.23343127  0.99904480  0.00095520  
-0.00001300  1.23361883  0.99798567  0.00201433  
-0.00001200  1.23397994  0.99594742  0.00405258  
-0.00001100  1.23464102  0.99221907  0.00778093  
-0.00001000  1.23579179  0.98573851  0.01426149  
-0.00000900  1.23769653  0.97503845  0.02496155  
-0.00000800  1.24069430  0.95826474  0.04173526  
-0.00000700  1.24518046  0.93331376  0.06668624  
-0.00000600  1.25156408  0.89811794  0.10188206  
-0.00000500  1.26020129  0.85106461  0.14893539  
-0.00000400  1.27131339  0.79146916  0.20853084  
-0.00000300  1.28490696  0.71996704  0.28003296  
-0.00000200  1.30071895  0.63867627  0.36132373  
-0.00000100  1.31820757  0.55103718  0.44896282  
0.00000000  1.33660003  0.46134301  0.53865699  
0.00000100  1.35499248  0.37408384  0.62591616  
0.00000200  1.37248110  0.29328188  0.70671812  
0.00000300  1.38829309  0.22197871  0.77802129  
0.00000400  1.40188666  0.16196518  0.83803482  
0.00000500  1.41299876  0.11376475  0.88623525  
0.00000600  1.42163597  0.07681996  0.92318004  
0.00000700  1.42801959  0.04980191  0.95019809  
0.00000800  1.43250575  0.03095873  0.96904127  
0.00000900  1.43550352  0.01843288  0.98156712  
0.00001000  1.43740826  0.01050127  0.98949873  
0.00001100  1.43855903  0.00571947  0.99428053  
0.00001200  1.43922012  0.00297594  0.99702406  
0.00001300  1.43958123  0.00147838  0.99852162  
0.00001400  1.43976878  0.00070086  0.99929914  
0.00001500  1.43986141  0.00031694  0.99968306  
0.00001600  1.43990491  0.00013667  0.99986333  
0.00001700  1.43992433  0.00005619  0.99994381  
0.00001800  1.43993257  0.00002201  0.99997799  
0.00001900  1.43993590  0.00000822  0.99999178  
