# T(SEC)      TMP(K)       H2         H          O          O2         OH        H2O        HO2        CH2        CH2(S)     CH3       CH4        CO         CO2        HCO        CH2O      CH3O       C2H4       C2H5       C2H6       N2         AR
0.000000E+00  0.200000E+04  0.000000E+00  0.000000E+00  0.000000E+00  0.190114E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.950570E-01  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.714829E+00  0.000000E+00
0.200000E-06  0.199991E+04  0.257953E-05  0.368302E-05  0.803673E-06  0.190110E+00  0.115303E-05  0.444328E-06  0.121167E-05  0.736926E-10  0.283209E-10  0.120436E-04  0.950443E-01  0.957088E-10  0.226645E-15  0.266819E-10  0.214749E-07  0.807625E-08  0.723691E-11  0.312418E-10  0.217103E-10  0.714824E+00  0.000000E+00
0.400000E-06  0.199983E+04  0.719270E-05  0.442378E-05  0.154113E-05  0.190105E+00  0.275750E-05  0.245177E-05  0.244826E-05  0.510728E-09  0.144239E-09  0.286530E-04  0.950268E-01  0.122527E-08  0.889147E-14  0.255588E-09  0.117344E-06  0.219130E-07  0.134057E-09  0.289135E-09  0.237173E-09  0.714818E+00  0.000000E+00
0.600000E-06  0.199975E+04  0.122260E-04  0.459146E-05  0.190095E-05  0.190100E+00  0.384413E-05  0.583860E-05  0.371737E-05  0.134247E-08  0.328247E-09  0.475873E-04  0.950070E-01  0.506249E-08  0.617877E-13  0.783851E-09  0.311373E-06  0.382911E-07  0.726956E-09  0.102554E-08  0.975163E-09  0.714813E+00  0.000000E+00
0.800000E-06  0.199966E+04  0.173670E-04  0.464986E-05  0.208164E-05  0.190095E+00  0.446709E-05  0.100755E-04  0.502304E-05  0.240730E-08  0.543549E-09  0.676539E-04  0.949858E-01  0.129811E-07  0.218268E-12  0.154363E-08  0.615309E-06  0.560574E-07  0.234889E-08  0.242357E-08  0.263583E-08  0.714807E+00  0.000000E+00
0.100000E-05  0.199958E+04  0.225572E-04  0.468914E-05  0.219778E-05  0.190089E+00  0.482830E-05  0.147983E-04  0.636699E-05  0.358899E-08  0.772079E-09  0.882825E-04  0.949640E-01  0.258201E-07  0.550036E-12  0.245679E-08  0.103546E-05  0.746536E-07  0.570021E-08  0.458587E-08  0.563741E-08  0.714802E+00  0.000000E+00
0.120000E-05  0.199950E+04  0.277873E-04  0.472665E-05  0.229360E-05  0.190083E+00  0.506650E-05  0.198193E-04  0.774969E-05  0.484959E-08  0.101022E-08  0.109222E-03  0.949417E-01  0.441451E-07  0.114194E-11  0.349242E-08  0.157577E-05  0.938359E-07  0.115532E-07  0.756348E-08  0.103950E-07  0.714797E+00  0.000000E+00
0.140000E-05  0.199942E+04  0.330576E-04  0.476568E-05  0.238397E-05  0.190077E+00  0.525344E-05  0.250550E-04  0.917109E-05  0.619016E-08  0.125965E-08  0.130369E-03  0.949191E-01  0.684757E-07  0.209701E-11  0.465161E-08  0.223927E-05  0.113510E-06  0.207162E-07  0.113831E-07  0.173156E-07  0.714791E+00  0.000000E+00
0.160000E-05  0.199934E+04  0.383701E-04  0.480689E-05  0.247353E-05  0.190071E+00  0.542179E-05  0.304726E-04  0.106309E-04  0.762204E-08  0.152286E-08  0.151683E-03  0.948962E-01  0.993804E-07  0.354120E-11  0.594676E-08  0.302864E-05  0.133646E-06  0.340182E-07  0.160626E-07  0.267984E-07  0.714786E+00  0.000000E+00
0.180000E-05  0.199926E+04  0.437273E-04  0.485044E-05  0.256366E-05  0.190065E+00  0.558545E-05  0.360617E-04  0.121286E-04  0.915605E-08  0.180186E-08  0.173148E-03  0.948729E-01  0.137494E-06  0.562735E-11  0.739175E-08  0.394648E-05  0.154242E-06  0.523045E-07  0.216178E-07  0.392363E-07  0.714780E+00  0.000000E+00
0.200000E-05  0.199918E+04  0.491314E-04  0.489641E-05  0.265479E-05  0.190058E+00  0.575011E-05  0.418209E-04  0.136639E-04  0.108005E-07  0.209811E-08  0.194762E-03  0.948493E-01  0.183514E-06  0.853901E-11  0.899935E-08  0.499537E-05  0.175309E-06  0.764360E-07  0.280651E-07  0.550172E-07  0.714774E+00  0.000000E+00
0.220000E-05  0.199910E+04  0.545852E-04  0.494486E-05  0.274705E-05  0.190051E+00  0.591809E-05  0.477529E-04  0.152362E-04  0.125617E-07  0.241272E-08  0.216523E-03  0.948254E-01  0.238188E-06  0.124945E-10  0.107812E-07  0.617798E-05  0.196859E-06  0.107290E-06  0.354217E-07  0.745244E-07  0.714769E+00  0.000000E+00
0.240000E-05  0.199902E+04  0.600913E-04  0.499586E-05  0.284049E-05  0.190044E+00  0.609034E-05  0.538619E-04  0.168452E-04  0.144450E-07  0.274666E-08  0.238432E-03  0.948012E-01  0.302315E-06  0.177509E-10  0.127486E-07  0.749700E-05  0.218908E-06  0.145761E-06  0.437055E-07  0.981380E-07  0.714763E+00  0.000000E+00
0.260000E-05  0.199894E+04  0.656523E-04  0.504949E-05  0.293515E-05  0.190037E+00  0.626732E-05  0.601529E-04  0.184902E-04  0.164551E-07  0.310080E-08  0.260492E-03  0.947767E-01  0.376738E-06  0.246093E-10  0.149125E-07  0.895522E-05  0.241471E-06  0.192762E-06  0.529356E-07  0.126235E-06  0.714757E+00  0.000000E+00
