 T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        HO2        H2O2       CH2        CH2(S)     CH3        CH4        CO         CO2        HCO        CH2O       CH3O       C2H2       C2H3       C2H4       C2H5       C2H6       N2         AR        
 0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.71483E+00 0.00000E+00
 0.20000E-06 0.19999E+04 0.25795E-05 0.36830E-05 0.80368E-06 0.19011E+00 0.11563E-05 0.44524E-06 0.12037E-05 0.59485E-08 0.73828E-10 0.28388E-10 0.12053E-04 0.95044E-01 0.95857E-10 0.22688E-15 0.26718E-10 0.21485E-07 0.80812E-08 0.48129E-15 0.88775E-16 0.72435E-11 0.31280E-10 0.21736E-10 0.71482E+00 0.00000E+00
 0.40000E-06 0.19998E+04 0.71927E-05 0.44237E-05 0.15412E-05 0.19011E+00 0.27747E-05 0.24621E-05 0.24162E-05 0.18490E-07 0.51327E-09 0.14510E-09 0.28695E-04 0.95027E-01 0.12299E-08 0.89169E-14 0.25660E-09 0.11745E-06 0.21939E-07 0.18116E-13 0.37261E-14 0.13430E-09 0.28984E-09 0.23772E-09 0.71482E+00 0.00000E+00
 0.60000E-06 0.19997E+04 0.12226E-04 0.45913E-05 0.19011E-05 0.19010E+00 0.38839E-05 0.58772E-05 0.36451E-05 0.33660E-07 0.13544E-08 0.33165E-09 0.47698E-04 0.95007E-01 0.50949E-08 0.62096E-13 0.78949E-09 0.31179E-06 0.38361E-07 0.15141E-12 0.29732E-13 0.72898E-09 0.10295E-08 0.97862E-09 0.71481E+00 0.00000E+00
 0.80000E-06 0.19997E+04 0.17367E-04 0.46497E-05 0.20821E-05 0.19009E+00 0.45348E-05 0.10168E-04 0.48945E-05 0.50021E-07 0.24395E-08 0.55189E-09 0.67874E-04 0.94986E-01 0.13101E-07 0.21983E-12 0.15605E-08 0.61643E-06 0.56195E-07 0.67200E-12 0.12076E-12 0.23581E-08 0.24369E-08 0.26488E-08 0.71481E+00 0.00000E+00
 0.10000E-05 0.19996E+04 0.22556E-04 0.46888E-05 0.21986E-05 0.19009E+00 0.49270E-05 0.14975E-04 0.61657E-05 0.67062E-07 0.36546E-08 0.78810E-09 0.88659E-04 0.94964E-01 0.26138E-07 0.55512E-12 0.24935E-08 0.10378E-05 0.74883E-07 0.20981E-11 0.34153E-12 0.57295E-08 0.46195E-08 0.56735E-08 0.71480E+00 0.00000E+00
 0.12000E-05 0.19995E+04 0.27786E-04 0.47263E-05 0.22950E-05 0.19008E+00 0.51980E-05 0.20113E-04 0.74592E-05 0.84598E-07 0.49631E-08 0.10369E-08 0.10980E-03 0.94941E-01 0.44828E-07 0.11547E-11 0.35590E-08 0.15801E-05 0.94180E-07 0.52406E-11 0.77437E-12 0.11628E-07 0.76336E-08 0.10478E-07 0.71480E+00 0.00000E+00
 0.14000E-05 0.19994E+04 0.33056E-04 0.47653E-05 0.23860E-05 0.19008E+00 0.54190E-05 0.25499E-04 0.87748E-05 0.10256E-06 0.63672E-08 0.13000E-08 0.13121E-03 0.94918E-01 0.69754E-07 0.21238E-11 0.47591E-08 0.22465E-05 0.11399E-06 0.11230E-10 0.15167E-11 0.20879E-07 0.11512E-07 0.17482E-07 0.71479E+00 0.00000E+00
 0.16000E-05 0.19993E+04 0.38368E-04 0.48065E-05 0.24765E-05 0.19007E+00 0.56225E-05 0.31103E-04 0.10112E-04 0.12094E-06 0.78792E-08 0.15802E-08 0.15283E-03 0.94895E-01 0.10155E-06 0.35915E-11 0.61073E-08 0.30398E-05 0.13428E-06 0.21535E-10 0.26803E-11 0.34334E-07 0.16279E-07 0.27101E-07 0.71479E+00 0.00000E+00
 0.18000E-05 0.19993E+04 0.43724E-04 0.48500E-05 0.25677E-05 0.19006E+00 0.58222E-05 0.36914E-04 0.11470E-04 0.13970E-06 0.95110E-08 0.18797E-08 0.17465E-03 0.94871E-01 0.14093E-06 0.57138E-11 0.76186E-08 0.39628E-05 0.15504E-06 0.37976E-10 0.43916E-11 0.52868E-07 0.21956E-07 0.39746E-07 0.71478E+00 0.00000E+00
