  T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        HO2        H2O2       C          CH         CH2        CH2(S)     CH3        CH4        CO         CO2        HCO        CH2O       CH2OH      CH3O       CH3OH      C2H        C2H2       C2H3       C2H4       C2H5       C2H6       HCCO       CH2CO      HCCOH      N          NH         NH2        NH3        NNH        NO         NO2        N2O        HNO        CN         HCN        H2CN       HCNN       HCNO       HOCN       HNCO       NCO        N2         AR         C3H7       C3H8       CH2CHO     CH3CHO    
 0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.71483E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.20000E-06 0.19999E+04 0.31192E-05 0.44511E-05 0.97523E-06 0.19011E+00 0.14172E-05 0.54555E-06 0.12041E-05 0.59497E-08 0.59470E-16 0.89687E-12 0.89763E-10 0.33073E-10 0.14327E-04 0.95042E-01 0.28395E-09 0.20969E-10 0.98411E-11 0.38155E-07 0.62090E-11 0.83147E-08 0.30669E-09 0.27733E-20 0.23020E-14 0.27165E-15 0.10849E-10 0.66329E-10 0.32215E-10 0.13093E-19 0.19804E-16 0.37578E-21 0.18437E-12 0.63617E-15 0.24690E-21 0.21314E-27 0.10558E-10 0.26940E-12 0.38363E-18 0.14656E-10 0.13579E-16 0.10769E-19 0.54342E-14 0.25653E-16 0.27061E-15 0.13439E-22 0.36871E-21 0.88563E-22 0.82893E-20 0.71482E+00 0.00000E+00 0.19081E-16 0.35856E-16 0.31218E-16 0.15484E-14
 0.40000E-06 0.19998E+04 0.86938E-05 0.53436E-05 0.18639E-05 0.19010E+00 0.34070E-05 0.30198E-05 0.24113E-05 0.18447E-07 0.19250E-15 0.22201E-11 0.60297E-09 0.16072E-09 0.34193E-04 0.95021E-01 0.30117E-08 0.30073E-09 0.61652E-10 0.19593E-06 0.48026E-10 0.22748E-07 0.17442E-08 0.24414E-18 0.66885E-13 0.67943E-14 0.17406E-09 0.66265E-09 0.35414E-09 0.13500E-17 0.13326E-14 0.51413E-19 0.67138E-12 0.34313E-14 0.83217E-20 0.43778E-25 0.12227E-10 0.14204E-11 0.66471E-17 0.34187E-10 0.15738E-15 0.82989E-19 0.27161E-13 0.34035E-15 0.82974E-15 0.96055E-21 0.95663E-20 0.41022E-20 0.15602E-18 0.71482E+00 0.00000E+00 0.82340E-15 0.16731E-14 0.11532E-14 0.64294E-13
 0.60000E-06 0.19997E+04 0.14777E-04 0.55468E-05 0.22907E-05 0.19010E+00 0.47836E-05 0.72192E-05 0.36256E-05 0.33451E-07 0.34713E-15 0.37627E-11 0.15741E-08 0.36241E-09 0.56891E-04 0.94997E-01 0.10764E-07 0.12747E-08 0.17849E-09 0.50902E-06 0.12577E-09 0.40079E-07 0.47092E-08 0.32425E-17 0.54180E-12 0.50146E-13 0.95369E-09 0.25005E-08 0.14617E-08 0.19245E-16 0.16675E-13 0.89837E-18 0.11276E-11 0.77572E-14 0.52449E-19 0.74258E-24 0.12708E-10 0.33221E-11 0.33195E-16 0.58315E-10 0.56043E-15 0.25533E-18 0.70906E-13 0.11414E-14 0.15764E-14 0.93588E-20 0.56144E-19 0.35055E-19 0.77626E-18 0.71481E+00 0.00000E+00 0.72263E-14 0.15830E-13 0.96316E-14 0.48005E-12
 0.80000E-06 0.19996E+04 0.20996E-04 0.56200E-05 0.24990E-05 0.19009E+00 0.56072E-05 0.12514E-04 0.48496E-05 0.49498E-07 0.51187E-15 0.54164E-11 0.28338E-08 0.60196E-09 0.80982E-04 0.94971E-01 0.25117E-07 0.32893E-08 0.37441E-09 0.99600E-06 0.22163E-09 0.59134E-07 0.94190E-08 0.18846E-16 0.24232E-11 0.20401E-12 0.31757E-08 0.62225E-08 0.39618E-08 0.11949E-15 0.97170E-13 0.64621E-17 0.14497E-11 0.12778E-13 0.17481E-18 0.48492E-23 0.12964E-10 0.57059E-11 0.99864E-16 0.86829E-10 0.12647E-14 0.55108E-18 0.14039E-12 0.22928E-14 0.24348E-14 0.41144E-19 0.18308E-18 0.14568E-18 0.23093E-17 0.71480E+00 0.00000E+00 0.32146E-13 0.75772E-13 0.41291E-13 0.18319E-11
 0.10000E-05 0.19995E+04 0.27280E-04 0.56712E-05 0.26288E-05 0.19008E+00 0.61195E-05 0.18469E-04 0.60844E-05 0.66069E-07 0.68376E-15 0.71266E-11 0.42613E-08 0.86172E-09 0.10578E-03 0.94945E-01 0.47083E-07 0.65477E-08 0.65991E-09 0.16672E-05 0.32528E-09 0.79341E-07 0.16004E-07 0.70063E-16 0.76957E-11 0.58935E-12 0.79558E-08 0.12296E-07 0.84913E-08 0.47486E-15 0.36902E-12 0.28665E-16 0.16637E-11 0.18067E-13 0.42139E-18 0.19417E-22 0.13184E-10 0.83930E-11 0.22894E-15 0.11966E-09 0.22582E-14 0.98560E-18 0.23760E-12 0.36164E-14 0.33541E-14 0.11993E-18 0.43930E-18 0.41224E-18 0.52555E-17 0.71480E+00 0.00000E+00 0.98052E-13 0.24818E-12 0.12276E-12 0.49422E-11
 0.12000E-05 0.19994E+04 0.33620E-04 0.57213E-05 0.27341E-05 0.19008E+00 0.64871E-05 0.24864E-04 0.73299E-05 0.82982E-07 0.86186E-15 0.88706E-11 0.58182E-08 0.11383E-08 0.13098E-03 0.94918E-01 0.77563E-07 0.11182E-07 0.10448E-08 0.25293E-05 0.43437E-09 0.10045E-06 0.24557E-07 0.19855E-15 0.19589E-10 0.13711E-11 0.16609E-07 0.21031E-07 0.15685E-07 0.14339E-14 0.10708E-11 0.94422E-16 0.18136E-11 0.23459E-13 0.83868E-18 0.58077E-22 0.13402E-10 0.11288E-10 0.44406E-15 0.15680E-09 0.35093E-14 0.15719E-17 0.36354E-12 0.50262E-14 0.43132E-14 0.27474E-18 0.87761E-18 0.92759E-18 0.10170E-16 0.71479E+00 0.00000E+00 0.23589E-12 0.63953E-12 0.29101E-12 0.10837E-10
 0.14000E-05 0.19993E+04 0.40018E-04 0.57744E-05 0.28331E-05 0.19007E+00 0.67960E-05 0.31600E-04 0.85858E-05 0.10017E-06 0.10460E-14 0.10641E-10 0.75076E-08 0.14338E-08 0.15646E-03 0.94890E-01 0.11753E-06 0.17311E-07 0.15392E-08 0.35875E-05 0.54976E-09 0.12235E-06 0.35152E-07 0.47029E-15 0.42754E-10 0.27552E-11 0.30580E-07 0.32634E-07 0.26166E-07 0.35980E-14 0.25884E-11 0.25489E-15 0.19304E-11 0.28907E-13 0.14736E-17 0.14341E-21 0.13627E-10 0.14344E-10 0.76996E-15 0.19828E-09 0.49839E-14 0.23239E-17 0.51887E-12 0.65053E-14 0.53077E-14 0.53967E-18 0.15560E-17 0.18005E-17 0.17664E-16 0.71478E+00 0.00000E+00 0.48313E-12 0.13990E-11 0.59272E-12 0.20729E-10
 0.16000E-05 0.19992E+04 0.46477E-04 0.58311E-05 0.29316E-05 0.19006E+00 0.70856E-05 0.38642E-04 0.98513E-05 0.11759E-06 0.12366E-14 0.12435E-10 0.93435E-08 0.17509E-08 0.18217E-03 0.94862E-01 0.16805E-06 0.25064E-07 0.21537E-08 0.48464E-05 0.67294E-09 0.14502E-06 0.47860E-07 0.98164E-15 0.83384E-10 0.49869E-11 0.51405E-07 0.47248E-07 0.40549E-07 0.79014E-14 0.54876E-11 0.59721E-15 0.20316E-11 0.34420E-13 0.23746E-17 0.30952E-21 0.13858E-10 0.17541E-10 0.12326E-14 0.24411E-09 0.66525E-14 0.32567E-17 0.70422E-12 0.80643E-14 0.63390E-14 0.95467E-18 0.25391E-17 0.31579E-17 0.28413E-16 0.71478E+00 0.00000E+00 0.88207E-12 0.27195E-11 0.10838E-11 0.36011E-10
 0.18000E-05 0.19991E+04 0.53002E-04 0.58918E-05 0.30312E-05 0.19006E+00 0.73724E-05 0.45979E-04 0.11126E-04 0.13524E-06 0.14342E-14 0.14253E-10 0.11340E-07 0.20921E-08 0.20810E-03 0.94834E-01 0.23031E-06 0.34581E-07 0.28993E-08 0.63103E-05 0.80518E-09 0.16846E-06 0.62751E-07 0.18656E-14 0.14931E-09 0.83508E-11 0.80679E-07 0.64987E-07 0.59442E-07 0.15694E-13 0.10546E-10 0.12588E-14 0.21261E-11 0.40023E-13 0.35920E-17 0.60480E-21 0.14098E-10 0.20871E-10 0.18592E-14 0.29432E-09 0.84913E-14 0.43871E-17 0.92023E-12 0.97192E-14 0.74100E-14 0.15664E-17 0.38993E-17 0.51482E-17 0.43158E-16 0.71477E+00 0.00000E+00 0.14787E-11 0.48387E-11 0.18293E-11 0.58250E-10
