#  T(SEC)      TMP(K)       H2         H          O2         O          OH             HO2        H2O2       H2O        N          N2             NO        
 0.00000E+00 0.10000E+04 0.24390E+00 0.00000E+00 0.73171E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.24390E-01 0.00000E+00
 0.10000E-06 0.10000E+04 0.24390E+00 0.23268E-09 0.73171E+00 0.36127E-11 0.97682E-09 0.95288E-11 0.20297E-16 0.23325E-09 0.10103E-27 0.24390E-01 0.11127E-27
 0.20000E-06 0.10000E+04 0.24390E+00 0.78597E-09 0.73171E+00 0.24786E-10 0.16183E-08 0.35208E-10 0.12486E-15 0.82082E-09 0.13461E-26 0.24390E-01 0.16229E-26
 0.30000E-06 0.10000E+04 0.24390E+00 0.15226E-08 0.73171E+00 0.73082E-10 0.20550E-08 0.86794E-10 0.42277E-15 0.16448E-08 0.58005E-26 0.24390E-01 0.76308E-26
 0.40000E-06 0.10000E+04 0.24390E+00 0.23609E-08 0.73171E+00 0.15281E-09 0.23670E-08 0.16979E-09 0.10609E-14 0.26332E-08 0.15746E-25 0.24390E-01 0.22526E-25
 0.50000E-06 0.10000E+04 0.24390E+00 0.32527E-08 0.73171E+00 0.26526E-09 0.26034E-08 0.28718E-09 0.22071E-14 0.37423E-08 0.33234E-25 0.24390E-01 0.51526E-25
 0.60000E-06 0.10000E+04 0.24390E+00 0.41707E-08 0.73171E+00 0.41005E-09 0.27946E-08 0.44050E-09 0.40404E-14 0.49458E-08 0.59908E-25 0.24390E-01 0.10034E-24
 0.70000E-06 0.10000E+04 0.24390E+00 0.50996E-08 0.73171E+00 0.58591E-09 0.29590E-08 0.63044E-09 0.67455E-14 0.62280E-08 0.96967E-25 0.24390E-01 0.17493E-24
 0.80000E-06 0.10000E+04 0.24390E+00 0.60317E-08 0.73171E+00 0.79118E-09 0.31080E-08 0.85728E-09 0.10509E-13 0.75796E-08 0.14520E-24 0.24390E-01 0.28131E-24
 0.90000E-06 0.10000E+04 0.24390E+00 0.69636E-08 0.73171E+00 0.10240E-08 0.32488E-08 0.11211E-08 0.15519E-13 0.89956E-08 0.20507E-24 0.24390E-01 0.42546E-24
 0.10000E-05 0.10000E+04 0.24390E+00 0.78945E-08 0.73171E+00 0.12828E-08 0.33857E-08 0.14217E-08 0.21964E-13 0.10473E-07 0.27672E-24 0.24390E-01 0.61324E-24
 0.11000E-05 0.10000E+04 0.24390E+00 0.88249E-08 0.73171E+00 0.15656E-08 0.35213E-08 0.17593E-08 0.30031E-13 0.12012E-07 0.36014E-24 0.24390E-01 0.85031E-24
 0.12000E-05 0.10000E+04 0.24390E+00 0.97563E-08 0.73171E+00 0.18712E-08 0.36574E-08 0.21337E-08 0.39909E-13 0.13610E-07 0.45513E-24 0.24390E-01 0.11421E-23
 0.13000E-05 0.10000E+04 0.24390E+00 0.10690E-07 0.73171E+00 0.21981E-08 0.37949E-08 0.25451E-08 0.51785E-13 0.15270E-07 0.56140E-24 0.24390E-01 0.14939E-23
 0.14000E-05 0.10000E+04 0.24390E+00 0.11629E-07 0.73171E+00 0.25451E-08 0.39346E-08 0.29936E-08 0.65849E-13 0.16991E-07 0.67859E-24 0.24390E-01 0.19108E-23
 0.15000E-05 0.10000E+04 0.24390E+00 0.12574E-07 0.73171E+00 0.29112E-08 0.40770E-08 0.34794E-08 0.82292E-13 0.18776E-07 0.80632E-24 0.24390E-01 0.23974E-23
 0.16000E-05 0.10000E+04 0.24390E+00 0.13527E-07 0.73171E+00 0.32955E-08 0.42222E-08 0.40028E-08 0.10130E-12 0.20624E-07 0.94418E-24 0.24390E-01 0.29585E-23
 0.17000E-05 0.10000E+04 0.24390E+00 0.14490E-07 0.73171E+00 0.36973E-08 0.43706E-08 0.45642E-08 0.12308E-12 0.22538E-07 0.10918E-23 0.24390E-01 0.35985E-23
 0.18000E-05 0.10000E+04 0.24390E+00 0.15464E-07 0.73171E+00 0.41159E-08 0.45223E-08 0.51639E-08 0.14782E-12 0.24518E-07 0.12488E-23 0.24390E-01 0.43215E-23
 0.19000E-05 0.10000E+04 0.24390E+00 0.16452E-07 0.73171E+00 0.45509E-08 0.46774E-08 0.58025E-08 0.17571E-12 0.26567E-07 0.14147E-23 0.24390E-01 0.51317E-23
 0.20000E-05 0.10000E+04 0.24390E+00 0.17455E-07 0.73171E+00 0.50017E-08 0.48361E-08 0.64805E-08 0.20697E-12 0.28685E-07 0.15894E-23 0.24390E-01 0.60330E-23
 0.21000E-05 0.10000E+04 0.24390E+00 0.18473E-07 0.73171E+00 0.54682E-08 0.49984E-08 0.71986E-08 0.24179E-12 0.30876E-07 0.17724E-23 0.24390E-01 0.70293E-23
 0.22000E-05 0.10000E+04 0.24390E+00 0.19508E-07 0.73171E+00 0.59499E-08 0.51644E-08 0.79573E-08 0.28038E-12 0.33139E-07 0.19636E-23 0.24390E-01 0.81243E-23
 0.23000E-05 0.10000E+04 0.24390E+00 0.20562E-07 0.73171E+00 0.64467E-08 0.53343E-08 0.87574E-08 0.32296E-12 0.35477E-07 0.21627E-23 0.24390E-01 0.93216E-23
 0.24000E-05 0.10000E+04 0.24390E+00 0.21635E-07 0.73171E+00 0.69585E-08 0.55082E-08 0.95997E-08 0.36975E-12 0.37892E-07 0.23695E-23 0.24390E-01 0.10625E-22
 0.25000E-05 0.10000E+04 0.24390E+00 0.22729E-07 0.73171E+00 0.74852E-08 0.56860E-08 0.10485E-07 0.42096E-12 0.40385E-07 0.25838E-23 0.24390E-01 0.12038E-22
 0.26000E-05 0.10000E+04 0.24390E+00 0.23844E-07 0.73171E+00 0.80268E-08 0.58680E-08 0.11414E-07 0.47682E-12 0.42958E-07 0.28056E-23 0.24390E-01 0.13563E-22
 0.27000E-05 0.10000E+04 0.24390E+00 0.24981E-07 0.73171E+00 0.85833E-08 0.60542E-08 0.12387E-07 0.53756E-12 0.45613E-07 0.30346E-23 0.24390E-01 0.15205E-22
 0.28000E-05 0.10000E+04 0.24390E+00 0.26142E-07 0.73171E+00 0.91548E-08 0.62447E-08 0.13406E-07 0.60342E-12 0.48352E-07 0.32709E-23 0.24390E-01 0.16967E-22
 0.29000E-05 0.10000E+04 0.24390E+00 0.27327E-07 0.73171E+00 0.97413E-08 0.64397E-08 0.14472E-07 0.67463E-12 0.51177E-07 0.35144E-23 0.24390E-01 0.18853E-22
 0.30000E-05 0.10000E+04 0.24390E+00 0.28538E-07 0.73171E+00 0.10343E-07 0.66391E-08 0.15585E-07 0.75146E-12 0.54089E-07 0.37650E-23 0.24390E-01 0.20865E-22
 0.31000E-05 0.10000E+04 0.24390E+00 0.29774E-07 0.73171E+00 0.10960E-07 0.68432E-08 0.16746E-07 0.83414E-12 0.57092E-07 0.40228E-23 0.24390E-01 0.23007E-22
 0.32000E-05 0.10000E+04 0.24390E+00 0.31038E-07 0.73171E+00 0.11593E-07 0.70520E-08 0.17957E-07 0.92294E-12 0.60187E-07 0.42877E-23 0.24390E-01 0.25282E-22
 0.33000E-05 0.10000E+04 0.24390E+00 0.32329E-07 0.73171E+00 0.12241E-07 0.72656E-08 0.19219E-07 0.10181E-11 0.63375E-07 0.45598E-23 0.24390E-01 0.27695E-22
 0.34000E-05 0.10000E+04 0.24390E+00 0.33648E-07 0.73171E+00 0.12905E-07 0.74843E-08 0.20532E-07 0.11200E-11 0.66660E-07 0.48391E-23 0.24390E-01 0.30249E-22
 0.35000E-05 0.10000E+04 0.24390E+00 0.34998E-07 0.73171E+00 0.13586E-07 0.77079E-08 0.21899E-07 0.12287E-11 0.70043E-07 0.51257E-23 0.24390E-01 0.32947E-22
 0.36000E-05 0.10000E+04 0.24390E+00 0.36377E-07 0.73171E+00 0.14283E-07 0.79368E-08 0.23319E-07 0.13447E-11 0.73527E-07 0.54196E-23 0.24390E-01 0.35792E-22
 0.37000E-05 0.10000E+04 0.24390E+00 0.37787E-07 0.73171E+00 0.14997E-07 0.81710E-08 0.24794E-07 0.14682E-11 0.77115E-07 0.57210E-23 0.24390E-01 0.38789E-22
 0.38000E-05 0.10000E+04 0.24390E+00 0.39229E-07 0.73171E+00 0.15728E-07 0.84106E-08 0.26326E-07 0.15995E-11 0.80807E-07 0.60300E-23 0.24390E-01 0.41942E-22
 0.39000E-05 0.10000E+04 0.24390E+00 0.40704E-07 0.73171E+00 0.16476E-07 0.86557E-08 0.27916E-07 0.17390E-11 0.84608E-07 0.63466E-23 0.24390E-01 0.45253E-22
 0.40000E-05 0.10000E+04 0.24390E+00 0.42213E-07 0.73171E+00 0.17242E-07 0.89066E-08 0.29565E-07 0.18869E-11 0.88519E-07 0.66709E-23 0.24390E-01 0.48728E-22
 0.41000E-05 0.10000E+04 0.24390E+00 0.43756E-07 0.73171E+00 0.18026E-07 0.91632E-08 0.31274E-07 0.20435E-11 0.92544E-07 0.70032E-23 0.24390E-01 0.52369E-22
 0.42000E-05 0.10000E+04 0.24390E+00 0.45334E-07 0.73171E+00 0.18829E-07 0.94258E-08 0.33045E-07 0.22092E-11 0.96683E-07 0.73434E-23 0.24390E-01 0.56180E-22
 0.43000E-05 0.10000E+04 0.24390E+00 0.46948E-07 0.73171E+00 0.19651E-07 0.96945E-08 0.34879E-07 0.23844E-11 0.10094E-06 0.76919E-23 0.24390E-01 0.60167E-22
 0.44000E-05 0.10000E+04 0.24390E+00 0.48600E-07 0.73171E+00 0.20492E-07 0.99695E-08 0.36778E-07 0.25694E-11 0.10532E-06 0.80487E-23 0.24390E-01 0.64333E-22
 0.45000E-05 0.10000E+04 0.24390E+00 0.50289E-07 0.73171E+00 0.21353E-07 0.10251E-07 0.38743E-07 0.27645E-11 0.10982E-06 0.84140E-23 0.24390E-01 0.68682E-22
 0.46000E-05 0.10000E+04 0.24390E+00 0.52017E-07 0.73171E+00 0.22234E-07 0.10539E-07 0.40776E-07 0.29702E-11 0.11445E-06 0.87879E-23 0.24390E-01 0.73218E-22
 0.47000E-05 0.10000E+04 0.24390E+00 0.53785E-07 0.73171E+00 0.23135E-07 0.10833E-07 0.42878E-07 0.31867E-11 0.11921E-06 0.91707E-23 0.24390E-01 0.77947E-22
 0.48000E-05 0.10000E+04 0.24390E+00 0.55594E-07 0.73171E+00 0.24058E-07 0.11134E-07 0.45051E-07 0.34146E-11 0.12411E-06 0.95626E-23 0.24390E-01 0.82872E-22
 0.49000E-05 0.10000E+04 0.24390E+00 0.57445E-07 0.73171E+00 0.25002E-07 0.11443E-07 0.47297E-07 0.36541E-11 0.12913E-06 0.99636E-23 0.24390E-01 0.87998E-22
 0.50000E-05 0.10000E+04 0.24390E+00 0.59338E-07 0.73171E+00 0.25968E-07 0.11758E-07 0.49616E-07 0.39058E-11 0.13430E-06 0.10374E-22 0.24390E-01 0.93330E-22
 0.51000E-05 0.10000E+04 0.24390E+00 0.61275E-07 0.73171E+00 0.26956E-07 0.12081E-07 0.52012E-07 0.41700E-11 0.13961E-06 0.10794E-22 0.24390E-01 0.98872E-22
 0.52000E-05 0.10000E+04 0.24390E+00 0.63257E-07 0.73171E+00 0.27968E-07 0.12411E-07 0.54485E-07 0.44471E-11 0.14506E-06 0.11224E-22 0.24390E-01 0.10463E-21
 0.53000E-05 0.10000E+04 0.24390E+00 0.65284E-07 0.73171E+00 0.29003E-07 0.12749E-07 0.57037E-07 0.47377E-11 0.15067E-06 0.11664E-22 0.24390E-01 0.11061E-21
 0.54000E-05 0.10000E+04 0.24390E+00 0.67359E-07 0.73171E+00 0.30062E-07 0.13095E-07 0.59670E-07 0.50422E-11 0.15642E-06 0.12114E-22 0.24390E-01 0.11681E-21
 0.55000E-05 0.10000E+04 0.24390E+00 0.69481E-07 0.73171E+00 0.31146E-07 0.13449E-07 0.62387E-07 0.53610E-11 0.16234E-06 0.12575E-22 0.24390E-01 0.12325E-21
