  T(SEC)      TMP(K)       H          H2         O          O2         OH         H2O        HO2        H2O2       HCO        CH2O       CH3O       CH3        CH4        CO         CO2        N2        
 0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.71483E+00
 0.20000E-06 0.19884E+04 0.42677E-03 0.49678E-03 0.11311E-03 0.18972E+00 0.18218E-03 0.61238E-04 0.19640E-05 0.14093E-08 0.87790E-07 0.15242E-04 0.43206E-07 0.16961E-02 0.93242E-01 0.14824E-07 0.22110E-12 0.71405E+00
 0.40000E-06 0.19805E+04 0.36463E-03 0.11091E-02 0.16935E-03 0.18931E+00 0.36883E-03 0.29763E-03 0.43258E-05 0.58534E-08 0.82760E-06 0.62355E-04 0.86947E-07 0.34228E-02 0.91394E-01 0.30716E-06 0.18455E-10 0.71350E+00
 0.60000E-06 0.19750E+04 0.29948E-03 0.15889E-02 0.17499E-03 0.18894E+00 0.44891E-03 0.63811E-03 0.68211E-05 0.11355E-07 0.25638E-05 0.13665E-03 0.12464E-06 0.49219E-02 0.89761E-01 0.15515E-05 0.18584E-09 0.71308E+00
 0.80000E-06 0.19707E+04 0.25744E-03 0.19734E-02 0.17098E-03 0.18860E+00 0.47026E-03 0.10125E-02 0.10080E-04 0.17144E-07 0.51763E-05 0.23307E-03 0.15709E-06 0.62099E-02 0.88325E-01 0.44887E-05 0.81763E-09 0.71273E+00
 0.10000E-05 0.19673E+04 0.22921E-03 0.22950E-02 0.16783E-03 0.18826E+00 0.47017E-03 0.13905E-02 0.14452E-04 0.24053E-07 0.84294E-05 0.34777E-03 0.18564E-06 0.73251E-02 0.87047E-01 0.97021E-05 0.23656E-08 0.71243E+00
 0.12000E-05 0.19646E+04 0.20913E-03 0.25725E-02 0.16679E-03 0.18793E+00 0.46542E-03 0.17633E-02 0.19998E-04 0.33187E-07 0.12162E-04 0.47791E-03 0.21145E-06 0.83032E-02 0.85892E-01 0.17614E-04 0.53701E-08 0.71217E+00
 0.14000E-05 0.19623E+04 0.19427E-03 0.28171E-02 0.16740E-03 0.18760E+00 0.46198E-03 0.21307E-02 0.26621E-04 0.45406E-07 0.16309E-04 0.62134E-03 0.23536E-06 0.91724E-02 0.84832E-01 0.28559E-04 0.10459E-07 0.71193E+00
 0.16000E-05 0.19605E+04 0.18297E-03 0.30361E-02 0.16911E-03 0.18727E+00 0.46136E-03 0.24953E-02 0.34181E-04 0.61320E-07 0.20865E-04 0.77641E-03 0.25793E-06 0.99543E-02 0.83848E-01 0.42844E-04 0.18365E-07 0.71171E+00
 0.18000E-05 0.19591E+04 0.17422E-03 0.32347E-02 0.17155E-03 0.18693E+00 0.46352E-03 0.28598E-02 0.42540E-04 0.81389E-07 0.25849E-04 0.94178E-03 0.27954E-06 0.10665E-01 0.82922E-01 0.60779E-04 0.29952E-07 0.71151E+00
 0.20000E-05 0.19580E+04 0.16739E-03 0.34165E-02 0.17446E-03 0.18658E+00 0.46795E-03 0.32265E-02 0.51593E-04 0.10600E-06 0.31288E-04 0.11164E-02 0.30045E-06 0.11315E-01 0.82045E-01 0.82692E-04 0.46231E-07 0.71132E+00
 0.22000E-05 0.19572E+04 0.16204E-03 0.35845E-02 0.17769E-03 0.18623E+00 0.47414E-03 0.35976E-02 0.61261E-04 0.13552E-06 0.37203E-04 0.12993E-02 0.32083E-06 0.11915E-01 0.81207E-01 0.10892E-03 0.68378E-07 0.71115E+00
 0.24000E-05 0.19566E+04 0.15787E-03 0.37406E-02 0.18114E-03 0.18586E+00 0.48168E-03 0.39744E-02 0.71489E-04 0.17029E-06 0.43615E-04 0.14896E-02 0.34079E-06 0.12471E-01 0.80401E-01 0.13983E-03 0.97748E-07 0.71098E+00
 0.26000E-05 0.19563E+04 0.15466E-03 0.38868E-02 0.18473E-03 0.18549E+00 0.49024E-03 0.43583E-02 0.82243E-04 0.21068E-06 0.50539E-04 0.16868E-02 0.36043E-06 0.12988E-01 0.79623E-01 0.17577E-03 0.13589E-06 0.71082E+00
 0.28000E-05 0.19562E+04 0.15227E-03 0.40244E-02 0.18844E-03 0.18511E+00 0.49960E-03 0.47502E-02 0.93500E-04 0.25706E-06 0.57990E-04 0.18902E-02 0.37980E-06 0.13471E-01 0.78867E-01 0.21711E-03 0.18457E-06 0.71067E+00
 0.30000E-05 0.19564E+04 0.15057E-03 0.41548E-02 0.19223E-03 0.18472E+00 0.50959E-03 0.51510E-02 0.10525E-03 0.30979E-06 0.65982E-04 0.20992E-02 0.39895E-06 0.13923E-01 0.78132E-01 0.26424E-03 0.24578E-06 0.71053E+00
 0.32000E-05 0.19567E+04 0.14947E-03 0.42788E-02 0.19608E-03 0.18432E+00 0.52011E-03 0.55614E-02 0.11748E-03 0.36925E-06 0.74528E-04 0.23134E-02 0.41789E-06 0.14346E-01 0.77414E-01 0.31753E-03 0.32176E-06 0.71039E+00
 0.34000E-05 0.19573E+04 0.14891E-03 0.43975E-02 0.19999E-03 0.18391E+00 0.53107E-03 0.59820E-02 0.13020E-03 0.43583E-06 0.83644E-04 0.25321E-02 0.43665E-06 0.14743E-01 0.76711E-01 0.37736E-03 0.41502E-06 0.71025E+00
 0.36000E-05 0.19581E+04 0.14883E-03 0.45117E-02 0.20394E-03 0.18349E+00 0.54243E-03 0.64135E-02 0.14342E-03 0.50989E-06 0.93345E-04 0.27551E-02 0.45523E-06 0.15117E-01 0.76020E-01 0.44412E-03 0.52835E-06 0.71012E+00
 0.38000E-05 0.19590E+04 0.14920E-03 0.46221E-02 0.20795E-03 0.18306E+00 0.55413E-03 0.68564E-02 0.15713E-03 0.59182E-06 0.10365E-03 0.29819E-02 0.47362E-06 0.15468E-01 0.75340E-01 0.51822E-03 0.66488E-06 0.70998E+00
 0.40000E-05 0.19602E+04 0.14999E-03 0.47293E-02 0.21199E-03 0.18261E+00 0.56617E-03 0.73113E-02 0.17134E-03 0.68200E-06 0.11457E-03 0.32121E-02 0.49184E-06 0.15798E-01 0.74669E-01 0.60005E-03 0.82806E-06 0.70985E+00
 0.42000E-05 0.19615E+04 0.15117E-03 0.48340E-02 0.21609E-03 0.18215E+00 0.57852E-03 0.77786E-02 0.18608E-03 0.78080E-06 0.12614E-03 0.34453E-02 0.50986E-06 0.16109E-01 0.74007E-01 0.69002E-03 0.10217E-05 0.70973E+00
 0.44000E-05 0.19630E+04 0.15274E-03 0.49368E-02 0.22025E-03 0.18168E+00 0.59120E-03 0.82588E-02 0.20135E-03 0.88859E-06 0.13838E-03 0.36812E-02 0.52767E-06 0.16401E-01 0.73350E-01 0.78854E-03 0.12501E-05 0.70960E+00
 0.46000E-05 0.19646E+04 0.15467E-03 0.50382E-02 0.22446E-03 0.18119E+00 0.60419E-03 0.87525E-02 0.21717E-03 0.10057E-05 0.15130E-03 0.39193E-02 0.54526E-06 0.16676E-01 0.72700E-01 0.89604E-03 0.15178E-05 0.70947E+00
 0.48000E-05 0.19665E+04 0.15696E-03 0.51387E-02 0.22874E-03 0.18070E+00 0.61751E-03 0.92602E-02 0.23355E-03 0.11325E-05 0.16495E-03 0.41594E-02 0.56261E-06 0.16935E-01 0.72053E-01 0.10129E-02 0.18302E-05 0.70934E+00
 0.50000E-05 0.19685E+04 0.15962E-03 0.52388E-02 0.23311E-03 0.18018E+00 0.63118E-03 0.97823E-02 0.25051E-03 0.12694E-05 0.17934E-03 0.44011E-02 0.57970E-06 0.17178E-01 0.71409E-01 0.11397E-02 0.21927E-05 0.70921E+00
 0.52000E-05 0.19707E+04 0.16264E-03 0.53391E-02 0.23756E-03 0.17965E+00 0.64521E-03 0.10320E-01 0.26807E-03 0.14166E-05 0.19452E-03 0.46440E-02 0.59651E-06 0.17406E-01 0.70768E-01 0.12768E-02 0.26117E-05 0.70908E+00
 0.54000E-05 0.19731E+04 0.16603E-03 0.54400E-02 0.24211E-03 0.17911E+00 0.65963E-03 0.10872E-01 0.28626E-03 0.15744E-05 0.21052E-03 0.48879E-02 0.61301E-06 0.17621E-01 0.70127E-01 0.14246E-02 0.30941E-05 0.70895E+00
 0.56000E-05 0.19757E+04 0.16980E-03 0.55421E-02 0.24678E-03 0.17855E+00 0.67446E-03 0.11441E-01 0.30508E-03 0.17432E-05 0.22738E-03 0.51322E-02 0.62919E-06 0.17823E-01 0.69486E-01 0.15837E-02 0.36474E-05 0.70881E+00
