# T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        H2O2       HO2        CH2        CH3        CH4        CO         HCO        CH2O       CH3O       C2H6       N2        
0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.71483E+00
0.10000E-06 0.19998E+04 0.42071E-05 0.89654E-05 0.11704E-05 0.19011E+00 0.15110E-05 0.27516E-06 0.11655E-09 0.28834E-06 0.00000E+00 0.19584E-04 0.95036E-01 0.30593E-12 0.13726E-11 0.56326E-07 0.32423E-07 0.17624E-09 0.71482E+00
0.20000E-06 0.19997E+04 0.12797E-04 0.12030E-04 0.28530E-05 0.19010E+00 0.44997E-05 0.17730E-05 0.41496E-09 0.66107E-06 0.00000E+00 0.45622E-04 0.95008E-01 0.10116E-10 0.22173E-10 0.30104E-06 0.10459E-06 0.18107E-08 0.71481E+00
0.30000E-06 0.19995E+04 0.22882E-04 0.13082E-04 0.41424E-05 0.19010E+00 0.75939E-05 0.48469E-05 0.87611E-09 0.11551E-05 0.00000E+00 0.75466E-04 0.94976E-01 0.73822E-10 0.10440E-09 0.80638E-06 0.19705E-06 0.72027E-08 0.71480E+00
0.40000E-06 0.19994E+04 0.33475E-04 0.13450E-04 0.50211E-05 0.19009E+00 0.10272E-04 0.93917E-05 0.15106E-08 0.17905E-05 0.00000E+00 0.10768E-03 0.94942E-01 0.28829E-09 0.29528E-09 0.16134E-05 0.30132E-06 0.19128E-07 0.71479E+00
0.50000E-06 0.19992E+04 0.44244E-04 0.13587E-04 0.56263E-05 0.19008E+00 0.12435E-04 0.15160E-04 0.23341E-08 0.25789E-05 0.00000E+00 0.14142E-03 0.94905E-01 0.79979E-09 0.63346E-09 0.27470E-05 0.41308E-06 0.40509E-07 0.71478E+00
0.60000E-06 0.19991E+04 0.55075E-04 0.13647E-04 0.60745E-05 0.19007E+00 0.14151E-04 0.21903E-04 0.33601E-08 0.35272E-05 0.00000E+00 0.17615E-03 0.94868E-01 0.17918E-08 0.11462E-08 0.42234E-05 0.52988E-06 0.74215E-07 0.71477E+00
0.70000E-06 0.19989E+04 0.65932E-04 0.13683E-04 0.64390E-05 0.19006E+00 0.15528E-04 0.29421E-04 0.45986E-08 0.46391E-05 0.00000E+00 0.21154E-03 0.94829E-01 0.34738E-08 0.18527E-08 0.60534E-05 0.65028E-06 0.12296E-06 0.71476E+00
0.80000E-06 0.19988E+04 0.76803E-04 0.13712E-04 0.67612E-05 0.19005E+00 0.16669E-04 0.37570E-04 0.60560E-08 0.59168E-05 0.00000E+00 0.24738E-03 0.94789E-01 0.60741E-08 0.27682E-08 0.82450E-05 0.77344E-06 0.18927E-06 0.71475E+00
0.90000E-06 0.19987E+04 0.87685E-04 0.13742E-04 0.70626E-05 0.19004E+00 0.17654E-04 0.46251E-04 0.77362E-08 0.73609E-05 0.00000E+00 0.28353E-03 0.94749E-01 0.98377E-08 0.39072E-08 0.10804E-04 0.89887E-06 0.27545E-06 0.71474E+00
