  T(SEC)      TMP(K)       H          H2         O          O2         OH         H2O        HO2        H2O2       HCO        CH2O       CH3O       CH3        CH4        CO         CO2        N2        
 0.00000E+00 0.20000E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.19011E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.95057E-01 0.00000E+00 0.00000E+00 0.71483E+00
 0.20000E-06 0.20000E+04 0.13434E-05 0.21679E-05 0.65748E-06 0.19011E+00 0.47346E-06 0.17648E-06 0.69054E-08 0.12187E-14 0.43208E-15 0.14566E-09 0.75902E-08 0.65047E-05 0.95050E-01 0.35495E-15 0.91901E-23 0.71483E+00
 0.40000E-06 0.19999E+04 0.14147E-05 0.53114E-05 0.16255E-05 0.19011E+00 0.83748E-06 0.75500E-06 0.16668E-07 0.71260E-14 0.89073E-14 0.15656E-08 0.33721E-07 0.14365E-04 0.95042E-01 0.16113E-13 0.16755E-20 0.71482E+00
 0.60000E-06 0.19999E+04 0.14192E-05 0.85066E-05 0.26273E-05 0.19011E+00 0.10013E-05 0.15494E-05 0.26287E-07 0.13475E-13 0.43065E-13 0.59829E-08 0.79527E-07 0.22467E-04 0.95033E-01 0.12506E-12 0.25497E-19 0.71482E+00
 0.80000E-06 0.19998E+04 0.14207E-05 0.11706E-04 0.36474E-05 0.19011E+00 0.10721E-05 0.24384E-05 0.35619E-07 0.17999E-13 0.12167E-12 0.15194E-07 0.14495E-06 0.30642E-04 0.95025E-01 0.49332E-12 0.15269E-18 0.71482E+00
 0.10000E-05 0.19998E+04 0.14227E-05 0.14908E-04 0.46843E-05 0.19011E+00 0.11031E-05 0.33684E-05 0.44670E-07 0.21119E-13 0.26259E-12 0.31025E-07 0.22967E-06 0.38832E-04 0.95016E-01 0.13733E-11 0.57035E-18 0.71481E+00
 0.12000E-05 0.19997E+04 0.14254E-05 0.18115E-04 0.57368E-05 0.19010E+00 0.11175E-05 0.43165E-05 0.53455E-07 0.23593E-13 0.48375E-12 0.55317E-07 0.33330E-06 0.47015E-04 0.95007E-01 0.31017E-11 0.16121E-17 0.71481E+00
 0.14000E-05 0.19997E+04 0.14287E-05 0.21327E-04 0.68037E-05 0.19010E+00 0.11252E-05 0.52736E-05 0.61989E-07 0.25903E-13 0.80363E-12 0.89925E-07 0.45539E-06 0.55182E-04 0.94999E-01 0.61007E-11 0.37995E-17 0.71481E+00
 0.16000E-05 0.19996E+04 0.14327E-05 0.24546E-04 0.78839E-05 0.19010E+00 0.11303E-05 0.62358E-05 0.70285E-07 0.28285E-13 0.12415E-11 0.13671E-06 0.59549E-06 0.63328E-04 0.94990E-01 0.10882E-10 0.78872E-17 0.71481E+00
 0.18000E-05 0.19996E+04 0.14373E-05 0.27773E-04 0.89763E-05 0.19010E+00 0.11347E-05 0.72019E-05 0.78358E-07 0.30842E-13 0.18173E-11 0.19755E-06 0.75317E-06 0.71452E-04 0.94981E-01 0.18049E-10 0.14912E-16 0.71480E+00
