-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
-----------------------|-----------|-----|----------------------------|
                       |           |     |                            |
2s2.2p6                | 1S        |   0 |                  0.0000    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3s  | 2[3/2]*   |   2 |             134041.8400    |
                       |           |   1 |             134459.2871    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).3s  | 2[1/2]*   |   0 |             134818.6405    |
                       |           |   1 |             135888.7173    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3p  | 2[1/2]    |   1 |             148257.7898    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3p  | 2[5/2]    |   3 |             149657.0392    |
                       |           |   2 |             149824.2215    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3p  | 2[3/2]    |   1 |             150121.5922    |
                       |           |   2 |             150315.8612    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).3p  | 2[3/2]    |   1 |             150772.1118    |
                       |           |   2 |             150858.5079    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3p  | 2[1/2]    |   0 |             150917.4307    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).3p  | 2[1/2]    |   1 |             151038.4524    |
                       |           |   0 |             152970.7328    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).4s  | 2[3/2]*   |   2 |             158601.1152    |
                       |           |   1 |             158795.9924    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).4s  | 2[1/2]*   |   0 |             159379.9935    |
                       |           |   1 |             159534.6196    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3d  | 2[1/2]*   |   0 |             161509.6305    |
                       |           |   1 |             161524.1739    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3d  | 2[7/2]*   |   4 |             161590.3412    |
                       |           |   3 |             161592.1200    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3d  | 2[3/2]*   |   2 |             161607.2609    |
                       |           |   1 |             161636.6175    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).3d  | 2[5/2]*   |   2 |             161699.6613    |
                       |           |   3 |             161701.4486    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).3d  | 2[5/2]*   |   2 |             162408.6535    |
                       |           |   3 |             162410.1736    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).3d  | 2[3/2]*   |   2 |             162419.9818    |
                       |           |   1 |             162435.6780    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).4p  | 2[1/2]    |   1 |             162517.8755    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).4p  | 2[5/2]    |   3 |             162830.7073    |
                       |           |   2 |             162899.1169    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).4p  | 2[3/2]    |   1 |             163012.6247    |
                       |           |   2 |             163038.3544    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).4p  | 2[1/2]    |   0 |             163401.3061    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).4p  | 2[3/2]    |   1 |             163657.2726    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).4p  | 2[1/2]    |   1 |             163707.7261    |
                       |           |     |                            |
