----------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations                 |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                          |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                          |              |                             |         |           |      |    |
----------------------------------------------------------------------------------------------------------------------------------
     1 |          2s2.2p4 - 2s2.2p4               |   3P  - 3P   |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -     158.265  |  5 - 3  | 8.91e-05  | A    | M1 |
       |                                          |              |      0.000   -     158.265  |  5 - 3  | 1.66e-11  | C+   | E2 |
       |                                          |              |      0.000   -     226.977  |  5 - 1  | 1.34e-10  | C+   | E2 |
       |                                          |              |    158.265   -     226.977  |  3 - 1  | 1.75e-05  | A    | M1 |
       |                                          |              |                             |         |           |      |    |
     2 |                                          |   3P  - 1D   |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -   15867.862  |  5 - 5  | 5.63e-03  | B+   | M1 |
       |                                          |              |      0.000   -   15867.862  |  5 - 5  | 2.11e-05  | C+   | E2 |
       |                                          |              |    158.265   -   15867.862  |  3 - 5  | 1.82e-03  | B+   | M1 |
       |                                          |              |    158.265   -   15867.862  |  3 - 5  | 3.39e-06  | C+   | E2 |
       |                                          |              |    226.977   -   15867.862  |  1 - 5  | 8.60e-07  | B+   | E2 |
       |                                          |              |                             |         |           |      |    |
     3 |                                          |   3P  - 1S   |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |    158.265   -   33792.583  |  3 - 1  | 7.54e-02  | B+   | M1 |
       |                                          |              |      0.000   -   33792.583  |  5 - 1  | 2.42e-04  | C+   | E2 |
       |                                          |              |                             |         |           |      |    |
     4 |          2s2.2p4 - 2s2.2p3.(4S*).3s      |   3P  - 5S*  |     59.349   -   73768.2    |  9 - 5  | 5.56e+03  |      |    |
       |                                          |              |                             |         |           |      |    |
