# Spectral intensities against wavelength averaged over spatial strips 139 to 141
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
1.259760e+02 	 0.000000e+00
1.262600e+02 	 0.000000e+00
1.265440e+02 	 0.000000e+00
1.268280e+02 	 0.000000e+00
1.271120e+02 	 0.000000e+00
1.273960e+02 	 0.000000e+00
1.276800e+02 	 0.000000e+00
1.279640e+02 	 0.000000e+00
1.282470e+02 	 0.000000e+00
1.285310e+02 	 0.000000e+00
1.288150e+02 	 0.000000e+00
1.290990e+02 	 0.000000e+00
1.293830e+02 	 0.000000e+00
1.296670e+02 	 0.000000e+00
1.299510e+02 	 0.000000e+00
1.302340e+02 	 0.000000e+00
1.305180e+02 	 0.000000e+00
1.308020e+02 	 0.000000e+00
1.310860e+02 	 0.000000e+00
1.313700e+02 	 0.000000e+00
1.316530e+02 	 0.000000e+00
1.319370e+02 	 0.000000e+00
1.322210e+02 	 0.000000e+00
1.325050e+02 	 0.000000e+00
1.327880e+02 	 0.000000e+00
1.330720e+02 	 0.000000e+00
1.333560e+02 	 0.000000e+00
1.336390e+02 	 0.000000e+00
1.339230e+02 	 0.000000e+00
1.342070e+02 	 0.000000e+00
1.344900e+02 	 0.000000e+00
1.347740e+02 	 0.000000e+00
1.350580e+02 	 0.000000e+00
1.353410e+02 	 0.000000e+00
1.356250e+02 	 0.000000e+00
1.359080e+02 	 0.000000e+00
1.361920e+02 	 0.000000e+00
1.364760e+02 	 0.000000e+00
1.367590e+02 	 0.000000e+00
1.370430e+02 	 0.000000e+00
1.373260e+02 	 0.000000e+00
1.376100e+02 	 0.000000e+00
1.378930e+02 	 0.000000e+00
1.381770e+02 	 0.000000e+00
1.384600e+02 	 0.000000e+00
1.387440e+02 	 0.000000e+00
1.390270e+02 	 0.000000e+00
1.393110e+02 	 0.000000e+00
1.395940e+02 	 0.000000e+00
1.398780e+02 	 0.000000e+00
1.401610e+02 	 0.000000e+00
1.404450e+02 	 0.000000e+00
1.407280e+02 	 0.000000e+00
1.410110e+02 	 0.000000e+00
1.412950e+02 	 0.000000e+00
1.415780e+02 	 0.000000e+00
1.418620e+02 	 0.000000e+00
1.421450e+02 	 0.000000e+00
1.424280e+02 	 0.000000e+00
1.427120e+02 	 0.000000e+00
1.429950e+02 	 0.000000e+00
1.432780e+02 	 0.000000e+00
1.435620e+02 	 0.000000e+00
1.438450e+02 	 0.000000e+00
1.441280e+02 	 0.000000e+00
1.444120e+02 	 0.000000e+00
1.446950e+02 	 0.000000e+00
1.449780e+02 	 0.000000e+00
1.452610e+02 	 0.000000e+00
1.455450e+02 	 0.000000e+00
1.458280e+02 	 0.000000e+00
1.461110e+02 	 0.000000e+00
1.463940e+02 	 0.000000e+00
1.466770e+02 	 0.000000e+00
1.469610e+02 	 0.000000e+00
1.472440e+02 	 0.000000e+00
1.475270e+02 	 0.000000e+00
1.478100e+02 	 0.000000e+00
1.480930e+02 	 0.000000e+00
1.483760e+02 	 0.000000e+00
1.486590e+02 	 0.000000e+00
1.489430e+02 	 0.000000e+00
1.492260e+02 	 0.000000e+00
1.495090e+02 	 0.000000e+00
1.497920e+02 	 0.000000e+00
1.500750e+02 	 0.000000e+00
1.503580e+02 	 0.000000e+00
1.506410e+02 	 0.000000e+00
1.509240e+02 	 0.000000e+00
1.512070e+02 	 0.000000e+00
1.514900e+02 	 0.000000e+00
1.517730e+02 	 0.000000e+00
1.520560e+02 	 0.000000e+00
1.523390e+02 	 0.000000e+00
1.526220e+02 	 0.000000e+00
1.529050e+02 	 0.000000e+00
1.531880e+02 	 0.000000e+00
1.534710e+02 	 0.000000e+00
1.537540e+02 	 0.000000e+00
1.540370e+02 	 0.000000e+00
1.543190e+02 	 0.000000e+00
1.546020e+02 	 0.000000e+00
1.548850e+02 	 0.000000e+00
1.551680e+02 	 0.000000e+00
1.554510e+02 	 0.000000e+00
1.557340e+02 	 0.000000e+00
1.560170e+02 	 0.000000e+00
1.562990e+02 	 0.000000e+00
1.565820e+02 	 0.000000e+00
1.568650e+02 	 0.000000e+00
1.571480e+02 	 0.000000e+00
1.574310e+02 	 0.000000e+00
1.577130e+02 	 0.000000e+00
1.579960e+02 	 0.000000e+00
1.582790e+02 	 0.000000e+00
1.585620e+02 	 0.000000e+00
1.588440e+02 	 0.000000e+00
1.591270e+02 	 0.000000e+00
1.594100e+02 	 0.000000e+00
1.596930e+02 	 0.000000e+00
1.599750e+02 	 0.000000e+00
1.602580e+02 	 0.000000e+00
1.605410e+02 	 0.000000e+00
1.608230e+02 	 0.000000e+00
1.611060e+02 	 0.000000e+00
1.613880e+02 	 0.000000e+00
1.616710e+02 	 0.000000e+00
1.619540e+02 	 0.000000e+00
1.622360e+02 	 0.000000e+00
1.625190e+02 	 0.000000e+00
1.628010e+02 	 0.000000e+00
1.630840e+02 	 0.000000e+00
1.633670e+02 	 0.000000e+00
1.636490e+02 	 0.000000e+00
1.639320e+02 	 0.000000e+00
1.642140e+02 	 0.000000e+00
1.644970e+02 	 0.000000e+00
