# Intensities integrated over 242.90 nm to 252.39 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 5.768396e-02
4.031740e-02 	 5.492309e-02
8.063480e-02 	 4.848395e-02
1.209520e-01 	 3.927654e-02
1.612700e-01 	 5.353018e-02
2.015870e-01 	 5.362101e-02
2.419050e-01 	 5.509287e-02
2.822220e-01 	 4.645798e-02
3.225390e-01 	 4.574810e-02
3.628570e-01 	 4.225658e-02
4.031740e-01 	 3.981829e-02
4.434920e-01 	 4.162376e-02
4.838090e-01 	 4.633898e-02
5.241260e-01 	 4.658480e-02
5.644440e-01 	 5.245945e-02
6.047610e-01 	 4.325480e-02
6.450790e-01 	 4.199115e-02
6.853960e-01 	 4.694890e-02
7.257140e-01 	 3.887283e-02
7.660310e-01 	 4.891480e-02
8.063480e-01 	 6.661958e-02
8.466660e-01 	 5.419086e-02
8.869830e-01 	 4.800757e-02
9.273010e-01 	 4.135534e-02
9.676180e-01 	 4.828999e-02
1.007940e+00 	 5.999777e-02
1.048250e+00 	 5.131217e-02
1.088570e+00 	 4.079133e-02
1.128890e+00 	 6.371579e-02
1.169210e+00 	 6.961506e-02
1.209520e+00 	 5.912996e-02
1.249840e+00 	 5.527087e-02
1.290160e+00 	 4.926935e-02
1.330470e+00 	 5.640469e-02
1.370790e+00 	 6.133602e-02
1.411110e+00 	 5.701491e-02
1.451430e+00 	 5.742105e-02
1.491740e+00 	 4.383194e-02
1.532060e+00 	 4.231740e-02
1.572380e+00 	 6.184619e-02
1.612700e+00 	 4.998009e-02
1.653010e+00 	 5.255091e-02
1.693330e+00 	 4.485182e-02
1.733650e+00 	 4.544962e-02
1.773970e+00 	 6.435358e-02
1.814280e+00 	 4.958526e-02
1.854600e+00 	 5.982511e-02
1.894920e+00 	 7.090828e-02
1.935240e+00 	 5.339841e-02
1.975550e+00 	 4.644106e-02
2.015870e+00 	 4.739763e-02
2.056190e+00 	 6.072482e-02
2.096510e+00 	 6.981203e-02
2.136820e+00 	 7.390728e-02
2.177140e+00 	 5.459624e-02
2.217460e+00 	 4.133244e-02
2.257780e+00 	 4.624025e-02
2.298090e+00 	 4.078001e-02
