# Intensities integrated over 425.18 nm to 479.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 3.053626e-01
4.031740e-02 	 3.220833e-01
8.063480e-02 	 3.274987e-01
1.209520e-01 	 3.072444e-01
1.612700e-01 	 3.249945e-01
2.015870e-01 	 3.109243e-01
2.419050e-01 	 3.388329e-01
2.822220e-01 	 3.280084e-01
3.225390e-01 	 3.259334e-01
3.628570e-01 	 3.106276e-01
4.031740e-01 	 3.242374e-01
4.434920e-01 	 3.546348e-01
4.838090e-01 	 3.363833e-01
5.241260e-01 	 3.276366e-01
5.644440e-01 	 3.229747e-01
6.047610e-01 	 3.031248e-01
6.450790e-01 	 3.451228e-01
6.853960e-01 	 3.375448e-01
7.257140e-01 	 3.343810e-01
7.660310e-01 	 4.137639e-01
8.063480e-01 	 3.690780e-01
8.466660e-01 	 4.032722e-01
8.869830e-01 	 3.920120e-01
9.273010e-01 	 3.997713e-01
9.676180e-01 	 3.617645e-01
1.007940e+00 	 3.578757e-01
1.048250e+00 	 4.046344e-01
1.088570e+00 	 4.094291e-01
1.128890e+00 	 3.679892e-01
1.169210e+00 	 3.860474e-01
1.209520e+00 	 4.006102e-01
1.249840e+00 	 3.865048e-01
1.290160e+00 	 4.283985e-01
1.330470e+00 	 4.256677e-01
1.370790e+00 	 4.240918e-01
1.411110e+00 	 4.013736e-01
1.451430e+00 	 4.511131e-01
1.491740e+00 	 4.588602e-01
1.532060e+00 	 4.514247e-01
1.572380e+00 	 4.540404e-01
1.612700e+00 	 4.996297e-01
1.653010e+00 	 4.854047e-01
1.693330e+00 	 4.716029e-01
1.733650e+00 	 4.424433e-01
1.773970e+00 	 4.405245e-01
1.814280e+00 	 4.589248e-01
1.854600e+00 	 4.608126e-01
1.894920e+00 	 4.736861e-01
1.935240e+00 	 5.114102e-01
1.975550e+00 	 4.651627e-01
2.015870e+00 	 5.001949e-01
2.056190e+00 	 5.278811e-01
2.096510e+00 	 4.571570e-01
2.136820e+00 	 4.821088e-01
2.177140e+00 	 5.265380e-01
2.217460e+00 	 4.496252e-01
2.257780e+00 	 4.693426e-01
2.298090e+00 	 4.519609e-01
2.338410e+00 	 4.799921e-01
2.378730e+00 	 4.989961e-01
2.419050e+00 	 4.669155e-01
2.459360e+00 	 5.372820e-01
2.499680e+00 	 5.115293e-01
2.540000e+00 	 5.146797e-01
2.580310e+00 	 5.195333e-01
2.620630e+00 	 4.949701e-01
2.660950e+00 	 4.651114e-01
