# Intensities integrated over 485.06 nm to 569.75 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 2.635580e-01
2.224500e-02 	 2.643993e-01
4.449010e-02 	 2.600501e-01
6.673510e-02 	 2.681868e-01
8.898020e-02 	 2.732525e-01
1.112250e-01 	 2.727756e-01
1.334700e-01 	 2.768907e-01
1.557150e-01 	 2.755672e-01
1.779600e-01 	 2.695145e-01
2.002050e-01 	 2.793898e-01
2.224500e-01 	 2.737180e-01
2.446950e-01 	 2.962322e-01
2.669400e-01 	 3.058604e-01
2.891860e-01 	 3.021667e-01
3.114310e-01 	 2.929859e-01
3.336760e-01 	 2.751221e-01
3.559210e-01 	 2.684842e-01
3.781660e-01 	 2.638517e-01
4.004110e-01 	 2.716842e-01
4.226560e-01 	 2.759386e-01
4.449010e-01 	 2.761286e-01
4.671460e-01 	 2.629414e-01
4.893910e-01 	 2.695342e-01
5.116360e-01 	 2.761504e-01
5.338810e-01 	 2.754583e-01
5.561260e-01 	 2.843985e-01
5.783710e-01 	 2.797431e-01
6.006160e-01 	 2.787603e-01
6.228610e-01 	 2.764759e-01
6.451060e-01 	 2.773878e-01
6.673510e-01 	 2.736043e-01
6.895960e-01 	 2.678353e-01
7.118410e-01 	 2.761748e-01
7.340860e-01 	 2.651434e-01
7.563310e-01 	 2.780903e-01
7.785760e-01 	 2.856341e-01
8.008210e-01 	 2.948403e-01
8.230660e-01 	 2.907372e-01
8.453120e-01 	 2.922989e-01
8.675570e-01 	 2.946371e-01
8.898020e-01 	 2.966496e-01
9.120470e-01 	 2.924093e-01
9.342920e-01 	 2.875993e-01
9.565370e-01 	 2.828988e-01
9.787820e-01 	 2.819304e-01
1.001030e+00 	 2.950726e-01
1.023270e+00 	 2.838487e-01
1.045520e+00 	 2.940838e-01
1.067760e+00 	 2.906067e-01
1.090010e+00 	 2.914618e-01
1.112250e+00 	 2.876723e-01
1.134500e+00 	 2.946902e-01
1.156740e+00 	 2.880082e-01
1.178990e+00 	 2.890610e-01
1.201230e+00 	 3.040922e-01
1.223480e+00 	 2.941576e-01
1.245720e+00 	 3.025008e-01
1.267970e+00 	 3.050988e-01
1.290210e+00 	 3.183494e-01
1.312460e+00 	 2.970380e-01
1.334700e+00 	 3.020493e-01
1.356950e+00 	 2.927086e-01
1.379190e+00 	 3.050049e-01
1.401440e+00 	 3.003129e-01
1.423680e+00 	 3.073891e-01
1.445930e+00 	 2.969946e-01
1.468170e+00 	 2.992280e-01
1.490420e+00 	 3.049707e-01
1.512660e+00 	 3.111630e-01
1.534910e+00 	 3.108092e-01
1.557150e+00 	 3.056819e-01
1.579400e+00 	 3.060229e-01
1.601640e+00 	 3.102443e-01
1.623890e+00 	 3.167319e-01
1.646130e+00 	 3.241915e-01
1.668380e+00 	 3.246319e-01
1.690620e+00 	 3.194241e-01
1.712870e+00 	 3.158279e-01
1.735110e+00 	 3.300464e-01
1.757360e+00 	 3.197074e-01
1.779600e+00 	 3.187277e-01
1.801850e+00 	 3.283036e-01
1.824090e+00 	 3.210940e-01
1.846340e+00 	 3.301999e-01
1.868580e+00 	 3.288940e-01
1.890830e+00 	 3.291805e-01
1.913070e+00 	 3.274296e-01
1.935320e+00 	 3.440352e-01
1.957560e+00 	 3.418170e-01
1.979810e+00 	 3.529588e-01
2.002050e+00 	 3.475658e-01
2.024300e+00 	 3.473011e-01
