# Intensities integrated over 371.23 nm to 390.92 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 2.952377e-01
4.031740e-02 	 3.200685e-01
8.063480e-02 	 2.979028e-01
1.209520e-01 	 2.611382e-01
1.612700e-01 	 2.782690e-01
2.015870e-01 	 2.883408e-01
2.419050e-01 	 2.922314e-01
2.822220e-01 	 3.243906e-01
3.225390e-01 	 3.070331e-01
3.628570e-01 	 3.196579e-01
4.031740e-01 	 3.504883e-01
4.434920e-01 	 3.089030e-01
4.838090e-01 	 3.412000e-01
5.241260e-01 	 3.388138e-01
5.644440e-01 	 3.158056e-01
6.047610e-01 	 3.593769e-01
6.450790e-01 	 3.348591e-01
6.853960e-01 	 3.427482e-01
7.257140e-01 	 3.393197e-01
7.660310e-01 	 3.196344e-01
8.063480e-01 	 3.516272e-01
8.466660e-01 	 3.435694e-01
8.869830e-01 	 3.553151e-01
9.273010e-01 	 3.732176e-01
9.676180e-01 	 3.560039e-01
1.007940e+00 	 3.322881e-01
1.048250e+00 	 3.827835e-01
1.088570e+00 	 3.677394e-01
1.128890e+00 	 3.788074e-01
1.169210e+00 	 3.755171e-01
1.209520e+00 	 4.188970e-01
1.249840e+00 	 4.116071e-01
1.290160e+00 	 3.931553e-01
1.330470e+00 	 4.319074e-01
1.370790e+00 	 3.973814e-01
1.411110e+00 	 4.104790e-01
1.451430e+00 	 4.316735e-01
1.491740e+00 	 4.453684e-01
1.532060e+00 	 4.689361e-01
1.572380e+00 	 4.877188e-01
1.612700e+00 	 4.526781e-01
1.653010e+00 	 4.186222e-01
1.693330e+00 	 4.164783e-01
1.733650e+00 	 4.556375e-01
1.773970e+00 	 4.394765e-01
1.814280e+00 	 4.754273e-01
1.854600e+00 	 4.633743e-01
1.894920e+00 	 4.700947e-01
1.935240e+00 	 4.503009e-01
1.975550e+00 	 4.280807e-01
2.015870e+00 	 4.722230e-01
2.056190e+00 	 4.565530e-01
2.096510e+00 	 4.721940e-01
2.136820e+00 	 5.088606e-01
2.177140e+00 	 5.070292e-01
2.217460e+00 	 4.804876e-01
2.257780e+00 	 4.748787e-01
2.298090e+00 	 5.096808e-01
2.338410e+00 	 4.833165e-01
2.378730e+00 	 5.115689e-01
2.419050e+00 	 5.309794e-01
2.459360e+00 	 5.057413e-01
2.499680e+00 	 5.147556e-01
2.540000e+00 	 5.946989e-01
2.580310e+00 	 5.863749e-01
2.620630e+00 	 5.597824e-01
2.660950e+00 	 5.800424e-01
2.701270e+00 	 5.827251e-01
2.741580e+00 	 5.539332e-01
2.781900e+00 	 5.707003e-01
2.822220e+00 	 6.060728e-01
2.862540e+00 	 6.226067e-01
2.902850e+00 	 5.369904e-01
2.943170e+00 	 5.666280e-01
2.983490e+00 	 6.043142e-01
3.023810e+00 	 5.930778e-01
3.064120e+00 	 5.950846e-01
3.104440e+00 	 6.127084e-01
3.144760e+00 	 5.945623e-01
3.185080e+00 	 5.557613e-01
3.225390e+00 	 5.577441e-01
3.265710e+00 	 5.735729e-01
3.306030e+00 	 5.387139e-01
3.346350e+00 	 5.836678e-01
3.386660e+00 	 5.346405e-01
3.426980e+00 	 5.276577e-01
3.467300e+00 	 5.477392e-01
3.507620e+00 	 4.625641e-01
3.547930e+00 	 4.290447e-01
3.588250e+00 	 4.338750e-01
3.628570e+00 	 4.293378e-01
3.668890e+00 	 4.718441e-01
3.709200e+00 	 4.687505e-01
3.749520e+00 	 4.481172e-01
3.789840e+00 	 4.578627e-01
3.830150e+00 	 4.616468e-01
3.870470e+00 	 4.894656e-01
3.910790e+00 	 5.039949e-01
3.951110e+00 	 5.250093e-01
3.991420e+00 	 4.846479e-01
4.031740e+00 	 5.221433e-01
4.072060e+00 	 5.761523e-01
4.112380e+00 	 5.983464e-01
4.152690e+00 	 5.549629e-01
4.193010e+00 	 5.183102e-01
4.233330e+00 	 5.907910e-01
4.273650e+00 	 5.674200e-01
4.313960e+00 	 5.614927e-01
4.354280e+00 	 5.978383e-01
4.394600e+00 	 6.456861e-01
4.434920e+00 	 5.838961e-01
4.475230e+00 	 6.122474e-01
4.515550e+00 	 6.089452e-01
4.555870e+00 	 6.479510e-01
4.596190e+00 	 6.391670e-01
4.636500e+00 	 6.388918e-01
