# Intensities integrated over 341.18 nm to 390.92 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 6.044054e-01
4.031740e-02 	 6.146795e-01
8.063480e-02 	 6.087182e-01
1.209520e-01 	 5.559331e-01
1.612700e-01 	 5.908649e-01
2.015870e-01 	 6.346597e-01
2.419050e-01 	 6.227583e-01
2.822220e-01 	 6.696235e-01
3.225390e-01 	 6.401589e-01
3.628570e-01 	 6.634579e-01
4.031740e-01 	 7.217782e-01
4.434920e-01 	 6.954450e-01
4.838090e-01 	 6.769960e-01
5.241260e-01 	 6.547511e-01
5.644440e-01 	 6.581319e-01
6.047610e-01 	 6.741767e-01
6.450790e-01 	 6.732939e-01
6.853960e-01 	 6.853437e-01
7.257140e-01 	 6.809023e-01
7.660310e-01 	 6.735820e-01
8.063480e-01 	 7.059788e-01
8.466660e-01 	 7.199032e-01
8.869830e-01 	 7.381757e-01
9.273010e-01 	 7.130344e-01
9.676180e-01 	 7.424294e-01
1.007940e+00 	 6.954755e-01
1.048250e+00 	 7.352103e-01
1.088570e+00 	 7.474494e-01
1.128890e+00 	 7.315398e-01
1.169210e+00 	 7.335835e-01
1.209520e+00 	 8.306194e-01
1.249840e+00 	 8.069764e-01
1.290160e+00 	 7.766987e-01
1.330470e+00 	 8.001119e-01
1.370790e+00 	 7.768114e-01
1.411110e+00 	 8.125326e-01
1.451430e+00 	 8.070344e-01
1.491740e+00 	 8.319293e-01
1.532060e+00 	 9.199406e-01
1.572380e+00 	 9.120136e-01
1.612700e+00 	 8.991791e-01
1.653010e+00 	 8.342610e-01
1.693330e+00 	 8.424705e-01
1.733650e+00 	 8.557182e-01
1.773970e+00 	 8.403914e-01
1.814280e+00 	 8.943105e-01
1.854600e+00 	 8.888045e-01
1.894920e+00 	 8.977302e-01
1.935240e+00 	 8.832186e-01
1.975550e+00 	 9.184527e-01
2.015870e+00 	 9.254560e-01
2.056190e+00 	 8.637515e-01
2.096510e+00 	 8.717538e-01
2.136820e+00 	 9.354924e-01
2.177140e+00 	 9.233709e-01
2.217460e+00 	 8.793040e-01
2.257780e+00 	 9.231729e-01
2.298090e+00 	 9.080330e-01
2.338410e+00 	 9.245514e-01
2.378730e+00 	 9.570191e-01
2.419050e+00 	 9.288037e-01
2.459360e+00 	 9.595425e-01
2.499680e+00 	 9.316628e-01
2.540000e+00 	 1.006206e+00
2.580310e+00 	 1.033323e+00
2.620630e+00 	 1.032334e+00
2.660950e+00 	 1.073411e+00
2.701270e+00 	 1.050028e+00
2.741580e+00 	 1.036856e+00
2.781900e+00 	 1.036881e+00
2.822220e+00 	 1.062369e+00
2.862540e+00 	 1.075923e+00
2.902850e+00 	 1.005903e+00
2.943170e+00 	 1.082520e+00
2.983490e+00 	 1.061619e+00
3.023810e+00 	 1.056956e+00
3.064120e+00 	 1.069467e+00
3.104440e+00 	 1.063076e+00
3.144760e+00 	 1.042008e+00
3.185080e+00 	 1.000142e+00
3.225390e+00 	 1.016768e+00
3.265710e+00 	 1.042521e+00
3.306030e+00 	 9.651158e-01
3.346350e+00 	 9.391718e-01
3.386660e+00 	 8.828701e-01
3.426980e+00 	 8.362206e-01
3.467300e+00 	 8.630975e-01
3.507620e+00 	 7.436387e-01
3.547930e+00 	 6.605948e-01
3.588250e+00 	 6.466237e-01
3.628570e+00 	 6.531883e-01
3.668890e+00 	 6.764610e-01
3.709200e+00 	 6.555783e-01
3.749520e+00 	 6.164447e-01
3.789840e+00 	 6.207057e-01
3.830150e+00 	 6.161628e-01
3.870470e+00 	 6.565916e-01
3.910790e+00 	 6.673413e-01
3.951110e+00 	 6.932014e-01
3.991420e+00 	 6.651290e-01
4.031740e+00 	 6.795215e-01
4.072060e+00 	 7.450179e-01
4.112380e+00 	 7.568913e-01
4.152690e+00 	 7.342400e-01
4.193010e+00 	 6.909348e-01
4.233330e+00 	 7.907051e-01
4.273650e+00 	 7.571703e-01
4.313960e+00 	 7.439715e-01
4.354280e+00 	 8.007349e-01
4.394600e+00 	 8.402684e-01
4.434920e+00 	 7.426488e-01
4.475230e+00 	 7.946631e-01
4.515550e+00 	 8.029203e-01
4.555870e+00 	 8.419979e-01
4.596190e+00 	 8.135689e-01
4.636500e+00 	 8.325813e-01
4.676820e+00 	 7.902254e-01
4.717140e+00 	 8.301380e-01
4.757460e+00 	 8.930648e-01
4.797770e+00 	 8.386351e-01
4.838090e+00 	 8.525024e-01
4.878410e+00 	 8.930207e-01
4.918730e+00 	 8.690624e-01
4.959040e+00 	 8.940400e-01
4.999360e+00 	 9.161135e-01
5.039680e+00 	 8.528418e-01
5.079990e+00 	 9.071488e-01
5.120310e+00 	 9.098658e-01
5.160630e+00 	 8.952043e-01
5.200950e+00 	 1.011993e+00
5.241260e+00 	 9.692514e-01
5.281580e+00 	 9.659012e-01
5.321900e+00 	 1.020900e+00
5.362220e+00 	 1.010169e+00
5.402530e+00 	 1.071478e+00
5.442850e+00 	 1.103455e+00
5.483170e+00 	 1.108879e+00
5.523490e+00 	 1.173600e+00
5.563800e+00 	 1.188598e+00
5.604120e+00 	 1.223201e+00
5.644440e+00 	 1.203978e+00
5.684760e+00 	 1.206253e+00
5.725070e+00 	 1.230602e+00
5.765390e+00 	 1.224090e+00
5.805710e+00 	 1.344046e+00
5.846030e+00 	 1.442245e+00
5.886340e+00 	 1.468960e+00
5.926660e+00 	 1.475797e+00
5.966980e+00 	 1.525292e+00
6.007300e+00 	 1.558210e+00
6.047610e+00 	 1.681032e+00
