# Intensities integrated over 757.15 nm to 797.07 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 3.741173e-02
2.224500e-02 	 3.730807e-02
4.449010e-02 	 4.067708e-02
6.673510e-02 	 4.280312e-02
8.898020e-02 	 4.205564e-02
1.112250e-01 	 3.970454e-02
1.334700e-01 	 4.146266e-02
1.557150e-01 	 4.265478e-02
1.779600e-01 	 3.841397e-02
2.002050e-01 	 4.112891e-02
2.224500e-01 	 4.158175e-02
2.446950e-01 	 4.126089e-02
2.669400e-01 	 4.536788e-02
2.891860e-01 	 4.277603e-02
3.114310e-01 	 4.344845e-02
3.336760e-01 	 4.252988e-02
3.559210e-01 	 4.085143e-02
3.781660e-01 	 3.935095e-02
4.004110e-01 	 4.141370e-02
4.226560e-01 	 4.281214e-02
4.449010e-01 	 4.210276e-02
4.671460e-01 	 4.053649e-02
4.893910e-01 	 4.630077e-02
5.116360e-01 	 4.550615e-02
5.338810e-01 	 4.621011e-02
5.561260e-01 	 4.063387e-02
5.783710e-01 	 3.945780e-02
6.006160e-01 	 3.921287e-02
6.228610e-01 	 4.040947e-02
6.451060e-01 	 3.594609e-02
6.673510e-01 	 3.804024e-02
6.895960e-01 	 3.728063e-02
7.118410e-01 	 3.413150e-02
7.340860e-01 	 3.620322e-02
7.563310e-01 	 3.386243e-02
7.785760e-01 	 3.881204e-02
8.008210e-01 	 3.970732e-02
8.230660e-01 	 3.871666e-02
8.453120e-01 	 3.563334e-02
8.675570e-01 	 3.570483e-02
8.898020e-01 	 3.689785e-02
9.120470e-01 	 3.734936e-02
9.342920e-01 	 3.835953e-02
9.565370e-01 	 4.251185e-02
9.787820e-01 	 3.714673e-02
1.001030e+00 	 3.404124e-02
1.023270e+00 	 3.416069e-02
1.045520e+00 	 3.582717e-02
1.067760e+00 	 3.743834e-02
1.090010e+00 	 3.663674e-02
1.112250e+00 	 3.696094e-02
1.134500e+00 	 3.405081e-02
1.156740e+00 	 3.301646e-02
1.178990e+00 	 3.123665e-02
1.201230e+00 	 3.384067e-02
1.223480e+00 	 3.392985e-02
1.245720e+00 	 3.422781e-02
1.267970e+00 	 3.556810e-02
1.290210e+00 	 3.389842e-02
1.312460e+00 	 3.569133e-02
1.334700e+00 	 3.540974e-02
1.356950e+00 	 3.548351e-02
1.379190e+00 	 3.220023e-02
1.401440e+00 	 3.015549e-02
1.423680e+00 	 3.042929e-02
1.445930e+00 	 3.411906e-02
1.468170e+00 	 3.362768e-02
1.490420e+00 	 3.377984e-02
1.512660e+00 	 2.986370e-02
1.534910e+00 	 3.088905e-02
1.557150e+00 	 3.318702e-02
1.579400e+00 	 3.199407e-02
1.601640e+00 	 3.517364e-02
1.623890e+00 	 3.437541e-02
1.646130e+00 	 3.277183e-02
1.668380e+00 	 3.077193e-02
1.690620e+00 	 3.253579e-02
1.712870e+00 	 3.212962e-02
1.735110e+00 	 2.866310e-02
1.757360e+00 	 3.119457e-02
1.779600e+00 	 3.673775e-02
1.801850e+00 	 3.770971e-02
1.824090e+00 	 3.329119e-02
1.846340e+00 	 3.051398e-02
1.868580e+00 	 2.920735e-02
1.890830e+00 	 2.845950e-02
1.913070e+00 	 2.829878e-02
1.935320e+00 	 2.836195e-02
1.957560e+00 	 2.876867e-02
1.979810e+00 	 2.758742e-02
2.002050e+00 	 2.970428e-02
2.024300e+00 	 3.006533e-02
2.046540e+00 	 2.983589e-02
2.068790e+00 	 2.923095e-02
2.091030e+00 	 3.147611e-02
2.113280e+00 	 3.193729e-02
2.135520e+00 	 3.387936e-02
2.157770e+00 	 2.973576e-02
2.180010e+00 	 3.196993e-02
2.202260e+00 	 3.239695e-02
2.224500e+00 	 3.354363e-02
2.246750e+00 	 2.922102e-02
2.268990e+00 	 2.725314e-02
2.291240e+00 	 2.615445e-02
2.313480e+00 	 2.850053e-02
2.335730e+00 	 3.020006e-02
2.357970e+00 	 2.963625e-02
2.380220e+00 	 3.088318e-02
2.402460e+00 	 2.838272e-02
2.424710e+00 	 2.744343e-02
2.446950e+00 	 2.795412e-02
2.469200e+00 	 2.897927e-02
2.491440e+00 	 3.007292e-02
2.513690e+00 	 3.141840e-02
2.535930e+00 	 2.924177e-02
2.558180e+00 	 2.954628e-02
2.580420e+00 	 2.993413e-02
2.602670e+00 	 2.516980e-02
2.624910e+00 	 2.781645e-02
2.647160e+00 	 2.918801e-02
2.669400e+00 	 2.857693e-02
2.691650e+00 	 2.544548e-02
2.713890e+00 	 2.675142e-02
2.736140e+00 	 2.657338e-02
2.758380e+00 	 2.899613e-02
2.780630e+00 	 2.808429e-02
2.802880e+00 	 2.817540e-02
2.825120e+00 	 2.784491e-02
2.847370e+00 	 2.922933e-02
2.869610e+00 	 2.917337e-02
2.891860e+00 	 3.042477e-02
2.914100e+00 	 3.022438e-02
2.936350e+00 	 2.894641e-02
2.958590e+00 	 3.383120e-02
2.980840e+00 	 3.219837e-02
3.003080e+00 	 3.311550e-02
3.025330e+00 	 3.153987e-02
3.047570e+00 	 3.138310e-02
3.069820e+00 	 3.026070e-02
3.092060e+00 	 2.998564e-02
3.114310e+00 	 3.204191e-02
3.136550e+00 	 3.313244e-02
3.158800e+00 	 3.127902e-02
3.181040e+00 	 3.120812e-02
3.203290e+00 	 3.244692e-02
3.225530e+00 	 3.527194e-02
3.247780e+00 	 3.192902e-02
3.270020e+00 	 3.123189e-02
3.292270e+00 	 2.853391e-02
3.314510e+00 	 2.889377e-02
3.336760e+00 	 3.075528e-02
3.359000e+00 	 3.061662e-02
3.381250e+00 	 2.858036e-02
3.403490e+00 	 2.953658e-02
3.425740e+00 	 3.242321e-02
3.447980e+00 	 3.310078e-02
3.470230e+00 	 3.137141e-02
3.492470e+00 	 3.082461e-02
3.514720e+00 	 3.052104e-02
3.536960e+00 	 2.993788e-02
3.559210e+00 	 3.012706e-02
3.581450e+00 	 2.888724e-02
3.603700e+00 	 2.701684e-02
3.625940e+00 	 3.040762e-02
3.648190e+00 	 3.117498e-02
3.670430e+00 	 2.818897e-02
3.692680e+00 	 3.033530e-02
3.714920e+00 	 3.022335e-02
