# Intensities integrated over 400.06 nm to 479.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 5.359898e-01
4.031740e-02 	 5.703743e-01
8.063480e-02 	 5.759219e-01
1.209520e-01 	 5.153261e-01
1.612700e-01 	 5.481594e-01
2.015870e-01 	 5.578846e-01
2.419050e-01 	 5.854774e-01
2.822220e-01 	 5.824475e-01
3.225390e-01 	 5.660080e-01
3.628570e-01 	 5.688094e-01
4.031740e-01 	 5.728417e-01
4.434920e-01 	 5.872230e-01
4.838090e-01 	 5.646752e-01
5.241260e-01 	 5.755498e-01
5.644440e-01 	 6.025983e-01
6.047610e-01 	 5.688505e-01
6.450790e-01 	 6.230922e-01
6.853960e-01 	 6.012579e-01
7.257140e-01 	 5.981538e-01
7.660310e-01 	 6.996573e-01
8.063480e-01 	 6.560338e-01
8.466660e-01 	 6.746829e-01
8.869830e-01 	 6.553964e-01
9.273010e-01 	 6.754551e-01
9.676180e-01 	 6.442040e-01
1.007940e+00 	 6.512455e-01
1.048250e+00 	 6.797484e-01
1.088570e+00 	 7.018344e-01
1.128890e+00 	 6.469066e-01
1.169210e+00 	 6.811398e-01
1.209520e+00 	 6.827354e-01
1.249840e+00 	 6.372509e-01
1.290160e+00 	 7.059138e-01
1.330470e+00 	 7.171257e-01
1.370790e+00 	 7.298403e-01
1.411110e+00 	 7.124556e-01
1.451430e+00 	 7.585540e-01
1.491740e+00 	 7.644555e-01
1.532060e+00 	 7.492779e-01
1.572380e+00 	 7.761078e-01
1.612700e+00 	 8.654818e-01
1.653010e+00 	 8.310720e-01
1.693330e+00 	 7.992796e-01
1.733650e+00 	 7.877015e-01
1.773970e+00 	 7.619721e-01
1.814280e+00 	 7.799741e-01
1.854600e+00 	 7.760507e-01
1.894920e+00 	 8.073788e-01
1.935240e+00 	 8.345064e-01
1.975550e+00 	 7.856217e-01
2.015870e+00 	 8.265790e-01
2.056190e+00 	 8.432237e-01
2.096510e+00 	 8.152244e-01
2.136820e+00 	 8.073211e-01
2.177140e+00 	 8.628095e-01
2.217460e+00 	 8.201419e-01
2.257780e+00 	 8.131559e-01
2.298090e+00 	 7.871524e-01
2.338410e+00 	 7.957488e-01
2.378730e+00 	 8.362322e-01
2.419050e+00 	 8.261058e-01
2.459360e+00 	 8.365652e-01
2.499680e+00 	 8.496639e-01
2.540000e+00 	 8.545677e-01
2.580310e+00 	 8.178021e-01
2.620630e+00 	 8.212043e-01
2.660950e+00 	 8.333471e-01
2.701270e+00 	 7.928648e-01
2.741580e+00 	 8.715562e-01
2.781900e+00 	 8.281177e-01
2.822220e+00 	 8.175154e-01
2.862540e+00 	 8.657356e-01
2.902850e+00 	 9.388639e-01
2.943170e+00 	 9.214117e-01
2.983490e+00 	 9.065506e-01
3.023810e+00 	 9.476461e-01
3.064120e+00 	 9.670853e-01
3.104440e+00 	 8.858562e-01
3.144760e+00 	 9.014228e-01
3.185080e+00 	 8.901182e-01
3.225390e+00 	 8.656788e-01
3.265710e+00 	 9.051373e-01
3.306030e+00 	 8.311369e-01
3.346350e+00 	 7.706196e-01
3.386660e+00 	 6.485887e-01
3.426980e+00 	 5.940311e-01
3.467300e+00 	 5.909756e-01
3.507620e+00 	 5.386286e-01
3.547930e+00 	 4.724134e-01
3.588250e+00 	 4.426352e-01
3.628570e+00 	 4.309508e-01
3.668890e+00 	 4.201626e-01
3.709200e+00 	 3.908522e-01
3.749520e+00 	 4.332066e-01
3.789840e+00 	 3.957747e-01
3.830150e+00 	 3.553420e-01
3.870470e+00 	 3.912109e-01
3.910790e+00 	 4.376077e-01
3.951110e+00 	 4.045448e-01
3.991420e+00 	 3.759175e-01
4.031740e+00 	 4.085386e-01
4.072060e+00 	 4.239424e-01
4.112380e+00 	 4.321309e-01
4.152690e+00 	 3.978935e-01
4.193010e+00 	 3.988954e-01
4.233330e+00 	 4.495362e-01
4.273650e+00 	 4.292300e-01
4.313960e+00 	 4.270609e-01
4.354280e+00 	 4.033396e-01
4.394600e+00 	 4.321291e-01
4.434920e+00 	 4.603907e-01
4.475230e+00 	 4.591411e-01
4.515550e+00 	 4.680926e-01
4.555870e+00 	 4.859208e-01
4.596190e+00 	 4.460971e-01
4.636500e+00 	 4.540680e-01
4.676820e+00 	 4.788765e-01
4.717140e+00 	 4.701535e-01
4.757460e+00 	 4.572295e-01
4.797770e+00 	 4.488924e-01
4.838090e+00 	 4.908331e-01
4.878410e+00 	 5.382006e-01
4.918730e+00 	 5.188288e-01
4.959040e+00 	 5.604662e-01
4.999360e+00 	 4.973979e-01
