# Intensities integrated over 190.44 nm to 239.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
0.000000e+00 	 7.642938e-01
4.031740e-02 	 6.054670e-01
8.063480e-02 	 5.020834e-01
1.209520e-01 	 5.146575e-01
1.612700e-01 	 3.728671e-01
2.015870e-01 	 3.845153e-01
2.419050e-01 	 4.696927e-01
2.822220e-01 	 5.246683e-01
3.225390e-01 	 5.175587e-01
3.628570e-01 	 6.052658e-01
4.031740e-01 	 4.873697e-01
4.434920e-01 	 4.895051e-01
4.838090e-01 	 6.386785e-01
5.241260e-01 	 6.694716e-01
5.644440e-01 	 5.073543e-01
6.047610e-01 	 5.212961e-01
6.450790e-01 	 4.797339e-01
6.853960e-01 	 5.769705e-01
7.257140e-01 	 5.490140e-01
7.660310e-01 	 5.694547e-01
8.063480e-01 	 6.203412e-01
8.466660e-01 	 5.384010e-01
8.869830e-01 	 6.076991e-01
9.273010e-01 	 7.333083e-01
9.676180e-01 	 6.757119e-01
1.007940e+00 	 6.940478e-01
1.048250e+00 	 7.107586e-01
1.088570e+00 	 6.326149e-01
1.128890e+00 	 5.595006e-01
1.169210e+00 	 5.917668e-01
1.209520e+00 	 5.767869e-01
1.249840e+00 	 6.164573e-01
1.290160e+00 	 5.922904e-01
1.330470e+00 	 6.202512e-01
1.370790e+00 	 6.267699e-01
1.411110e+00 	 5.918225e-01
1.451430e+00 	 5.652096e-01
1.491740e+00 	 5.662199e-01
1.532060e+00 	 6.276036e-01
1.572380e+00 	 6.086123e-01
1.612700e+00 	 6.811157e-01
1.653010e+00 	 6.585242e-01
1.693330e+00 	 7.355241e-01
1.733650e+00 	 6.954335e-01
1.773970e+00 	 8.043651e-01
1.814280e+00 	 7.678108e-01
1.854600e+00 	 7.350769e-01
1.894920e+00 	 9.197276e-01
1.935240e+00 	 7.559145e-01
1.975550e+00 	 7.171589e-01
2.015870e+00 	 7.271913e-01
2.056190e+00 	 6.836608e-01
2.096510e+00 	 8.860084e-01
2.136820e+00 	 6.441283e-01
2.177140e+00 	 7.283673e-01
2.217460e+00 	 6.841488e-01
2.257780e+00 	 8.321836e-01
2.298090e+00 	 7.562852e-01
2.338410e+00 	 7.381838e-01
2.378730e+00 	 7.068011e-01
2.419050e+00 	 7.462316e-01
2.459360e+00 	 7.748576e-01
2.499680e+00 	 7.648776e-01
2.540000e+00 	 8.108061e-01
2.580310e+00 	 7.720078e-01
2.620630e+00 	 7.633290e-01
2.660950e+00 	 7.632441e-01
2.701270e+00 	 8.253125e-01
2.741580e+00 	 7.164931e-01
2.781900e+00 	 7.434274e-01
2.822220e+00 	 1.004740e+00
2.862540e+00 	 1.026662e+00
2.902850e+00 	 9.872362e-01
2.943170e+00 	 6.885912e-01
2.983490e+00 	 6.837101e-01
3.023810e+00 	 6.686817e-01
3.064120e+00 	 7.735998e-01
3.104440e+00 	 1.056256e+00
3.144760e+00 	 1.136972e+00
3.185080e+00 	 1.103395e+00
3.225390e+00 	 8.818127e-01
3.265710e+00 	 9.519324e-01
3.306030e+00 	 9.589412e-01
3.346350e+00 	 1.042237e+00
3.386660e+00 	 1.086245e+00
3.426980e+00 	 9.419006e-01
3.467300e+00 	 9.956300e-01
3.507620e+00 	 9.950775e-01
3.547930e+00 	 1.145543e+00
3.588250e+00 	 1.174101e+00
3.628570e+00 	 1.195378e+00
3.668890e+00 	 1.267854e+00
3.709200e+00 	 1.197418e+00
3.749520e+00 	 1.219686e+00
3.789840e+00 	 1.241519e+00
3.830150e+00 	 1.259539e+00
3.870470e+00 	 1.182910e+00
3.910790e+00 	 1.219993e+00
3.951110e+00 	 1.283264e+00
3.991420e+00 	 1.236091e+00
4.031740e+00 	 1.152949e+00
4.072060e+00 	 1.402144e+00
4.112380e+00 	 1.376574e+00
4.152690e+00 	 1.482337e+00
4.193010e+00 	 1.674392e+00
4.233330e+00 	 1.489552e+00
4.273650e+00 	 1.432487e+00
4.313960e+00 	 1.378961e+00
4.354280e+00 	 1.447522e+00
4.394600e+00 	 1.697733e+00
4.434920e+00 	 1.683084e+00
4.475230e+00 	 1.839080e+00
4.515550e+00 	 1.699671e+00
4.555870e+00 	 1.757564e+00
4.596190e+00 	 1.833325e+00
4.636500e+00 	 1.901732e+00
4.676820e+00 	 1.865251e+00
4.717140e+00 	 1.909449e+00
4.757460e+00 	 2.182251e+00
4.797770e+00 	 2.189852e+00
4.838090e+00 	 2.460045e+00
4.878410e+00 	 2.461226e+00
4.918730e+00 	 2.553321e+00
4.959040e+00 	 2.887240e+00
4.999360e+00 	 3.312093e+00
5.039680e+00 	 3.546711e+00
5.079990e+00 	 3.592979e+00
5.120310e+00 	 4.058573e+00
5.160630e+00 	 4.435923e+00
5.200950e+00 	 4.618728e+00
5.241260e+00 	 4.907808e+00
5.281580e+00 	 5.398084e+00
5.321900e+00 	 6.296900e+00
5.362220e+00 	 6.877316e+00
5.402530e+00 	 7.770949e+00
5.442850e+00 	 8.400471e+00
5.483170e+00 	 8.980830e+00
5.523490e+00 	 9.138445e+00
5.563800e+00 	 9.350899e+00
5.604120e+00 	 1.021205e+01
5.644440e+00 	 9.718406e+00
5.684760e+00 	 1.024417e+01
5.725070e+00 	 1.028241e+01
5.765390e+00 	 1.036607e+01
5.805710e+00 	 9.689241e+00
