# Spectral intensities against wavelength averaged over spatial strips 353 to 355
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
4.761290e+02 	 4.058581e+01
4.765760e+02 	 4.387088e+01
4.770220e+02 	 4.240784e+01
4.774690e+02 	 4.122928e+01
4.779150e+02 	 3.986107e+01
4.783610e+02 	 3.910923e+01
4.788080e+02 	 3.420872e+01
4.792540e+02 	 4.147989e+01
4.797000e+02 	 3.618653e+01
4.801470e+02 	 3.644731e+01
4.805930e+02 	 4.391152e+01
4.810390e+02 	 4.023360e+01
4.814860e+02 	 4.059259e+01
4.819320e+02 	 3.328755e+01
4.823780e+02 	 3.524165e+01
4.828250e+02 	 3.635587e+01
4.832710e+02 	 3.715512e+01
4.837170e+02 	 3.656245e+01
4.841630e+02 	 3.376507e+01
4.846100e+02 	 3.544147e+01
4.850560e+02 	 3.770037e+01
4.855020e+02 	 3.825579e+01
4.859490e+02 	 4.047744e+01
4.863950e+02 	 3.694853e+01
4.868410e+02 	 4.176099e+01
4.872870e+02 	 4.387088e+01
4.877340e+02 	 4.110059e+01
4.881800e+02 	 4.040971e+01
4.886260e+02 	 4.167293e+01
4.890720e+02 	 4.209627e+01
4.895190e+02 	 4.027424e+01
4.899650e+02 	 3.772408e+01
4.904110e+02 	 4.183549e+01
4.908570e+02 	 4.432131e+01
4.913030e+02 	 4.628557e+01
4.917500e+02 	 4.227576e+01
4.921960e+02 	 4.363043e+01
4.926420e+02 	 4.394200e+01
4.930880e+02 	 4.692904e+01
4.935340e+02 	 4.387427e+01
4.939810e+02 	 5.027507e+01
4.944270e+02 	 5.126736e+01
4.948730e+02 	 4.745397e+01
4.953190e+02 	 4.560824e+01
4.957650e+02 	 5.106077e+01
4.962110e+02 	 5.356352e+01
4.966580e+02 	 5.258477e+01
4.971040e+02 	 5.708904e+01
4.975500e+02 	 5.567003e+01
4.979960e+02 	 5.403427e+01
4.984420e+02 	 5.646928e+01
4.988880e+02 	 6.036395e+01
4.993340e+02 	 5.703485e+01
4.997810e+02 	 5.687907e+01
5.002270e+02 	 6.048587e+01
5.006730e+02 	 5.954099e+01
5.011190e+02 	 6.535928e+01
5.015650e+02 	 6.780445e+01
5.020110e+02 	 7.185829e+01
5.024570e+02 	 7.010400e+01
5.029030e+02 	 7.304701e+01
5.033490e+02 	 7.260336e+01
5.037950e+02 	 7.558024e+01
5.042410e+02 	 8.398256e+01
5.046870e+02 	 7.942072e+01
5.051330e+02 	 8.053155e+01
5.055790e+02 	 8.555736e+01
5.060260e+02 	 8.620421e+01
5.064720e+02 	 8.546931e+01
5.069180e+02 	 8.859181e+01
5.073640e+02 	 9.151451e+01
5.078100e+02 	 8.914384e+01
5.082560e+02 	 9.389533e+01
5.087020e+02 	 9.835896e+01
5.091480e+02 	 9.803384e+01
5.095940e+02 	 9.385131e+01
5.100400e+02 	 9.902275e+01
5.104860e+02 	 9.539563e+01
5.109320e+02 	 1.010412e+02
5.113780e+02 	 1.010954e+02
5.118240e+02 	 9.698397e+01
5.122700e+02 	 9.859603e+01
5.127150e+02 	 1.024467e+02
5.131610e+02 	 9.974749e+01
5.136070e+02 	 9.269984e+01
5.140530e+02 	 8.384032e+01
5.144990e+02 	 8.547608e+01
5.149450e+02 	 8.179139e+01
5.153910e+02 	 9.122325e+01
5.158370e+02 	 8.350843e+01
5.162830e+02 	 7.988808e+01
5.167290e+02 	 7.318248e+01
5.171750e+02 	 5.786459e+01
5.176210e+02 	 4.136475e+01
5.180670e+02 	 3.012779e+01
5.185120e+02 	 2.446867e+01
5.189580e+02 	 2.423837e+01
5.194040e+02 	 2.520696e+01
5.198500e+02 	 2.538307e+01
5.202960e+02 	 2.432304e+01
5.207420e+02 	 2.348992e+01
5.211880e+02 	 2.293451e+01
5.216340e+02 	 2.339848e+01
5.220790e+02 	 2.175595e+01
5.225250e+02 	 2.225717e+01
5.229710e+02 	 2.279904e+01
5.234170e+02 	 2.294805e+01
5.238630e+02 	 2.265341e+01
5.243090e+02 	 2.514261e+01
5.247540e+02 	 2.387261e+01
5.252000e+02 	 2.558288e+01
5.256460e+02 	 2.581995e+01
5.260920e+02 	 2.684272e+01
5.265380e+02 	 2.664968e+01
5.269830e+02 	 2.928451e+01
5.274290e+02 	 2.849880e+01
5.278750e+02 	 2.900680e+01
5.283210e+02 	 2.901019e+01
5.287670e+02 	 2.973155e+01
5.292120e+02 	 3.108621e+01
5.296580e+02 	 3.021584e+01
5.301040e+02 	 2.876635e+01
5.305500e+02 	 2.939627e+01
5.309950e+02 	 3.061547e+01
5.314410e+02 	 3.327739e+01
5.318870e+02 	 3.491653e+01
5.323330e+02 	 3.267117e+01
5.327780e+02 	 3.196336e+01
5.332240e+02 	 3.439499e+01
5.336700e+02 	 3.566160e+01
5.341150e+02 	 3.710771e+01
5.345610e+02 	 3.674872e+01
5.350070e+02 	 3.508925e+01
5.354530e+02 	 3.399875e+01
5.358980e+02 	 3.840480e+01
5.363440e+02 	 3.756491e+01
5.367900e+02 	 3.629491e+01
5.372350e+02 	 3.980011e+01
5.376810e+02 	 3.800179e+01
5.381270e+02 	 3.931920e+01
5.385720e+02 	 4.189307e+01
5.390180e+02 	 4.346787e+01
5.394640e+02 	 4.241800e+01
5.399090e+02 	 4.184565e+01
5.403550e+02 	 4.159843e+01
5.408000e+02 	 4.421293e+01
5.412460e+02 	 4.485301e+01
5.416920e+02 	 4.400635e+01
5.421370e+02 	 4.735237e+01
5.425830e+02 	 4.609592e+01
5.430290e+02 	 4.848691e+01
5.434740e+02 	 4.607899e+01
5.439200e+02 	 4.776216e+01
5.443650e+02 	 5.194469e+01
5.448110e+02 	 5.058325e+01
5.452560e+02 	 5.024797e+01
5.457020e+02 	 4.715933e+01
5.461480e+02 	 4.609253e+01
5.465930e+02 	 4.565565e+01
5.470390e+02 	 4.554728e+01
5.474840e+02 	 4.815501e+01
5.479300e+02 	 5.039021e+01
5.483750e+02 	 4.658699e+01
5.488210e+02 	 4.859867e+01
5.492660e+02 	 4.736931e+01
5.497120e+02 	 5.212757e+01
5.501580e+02 	 5.076952e+01
5.506030e+02 	 4.957403e+01
5.510490e+02 	 4.680712e+01
5.514940e+02 	 4.742011e+01
5.519400e+02 	 4.424341e+01
5.523850e+02 	 4.658021e+01
5.528310e+02 	 4.376251e+01
5.532760e+02 	 4.725755e+01
5.537220e+02 	 4.960451e+01
5.541670e+02 	 4.791456e+01
5.546120e+02 	 4.632283e+01
5.550580e+02 	 4.213691e+01
5.555030e+02 	 4.150699e+01
5.559490e+02 	 4.204547e+01
5.563940e+02 	 4.130717e+01
5.568400e+02 	 4.070435e+01
5.572850e+02 	 4.009813e+01
5.577310e+02 	 4.154763e+01
5.581760e+02 	 4.255008e+01
5.586210e+02 	 3.912277e+01
5.590670e+02 	 3.686387e+01
5.595120e+02 	 3.354155e+01
5.599580e+02 	 2.926419e+01
5.604030e+02 	 2.669032e+01
5.608480e+02 	 2.633133e+01
5.612940e+02 	 2.691723e+01
5.617390e+02 	 2.554563e+01
5.621850e+02 	 2.944707e+01
5.626300e+02 	 2.941320e+01
5.630750e+02 	 2.565400e+01
5.635210e+02 	 2.404872e+01
5.639660e+02 	 2.229104e+01
5.644110e+02 	 1.919901e+01
5.648570e+02 	 1.603587e+01
5.653020e+02 	 1.593088e+01
5.657480e+02 	 1.415627e+01
5.661930e+02 	 1.535176e+01
5.666380e+02 	 1.673352e+01
5.670830e+02 	 1.684189e+01
5.675290e+02 	 1.453557e+01
5.679740e+02 	 1.517904e+01
5.684190e+02 	 1.413933e+01
5.688650e+02 	 1.384808e+01
5.693100e+02 	 1.500632e+01
5.697550e+02 	 1.477264e+01
5.702010e+02 	 1.464395e+01
5.706460e+02 	 1.465749e+01
5.710910e+02 	 1.380405e+01
5.715360e+02 	 1.510453e+01
