x	y
0.0471	0.0000
0.1176	0.0023
0.1647	0.0052
0.2118	0.0041
0.2588	0.0029
0.3059	0.0041
0.3765	0.0052
0.4353	0.0041
0.4941	0.0023
0.5647	0.0046
0.6235	0.0058
0.7059	0.0081
0.7882	0.0099
0.8471	0.0116
0.9059	0.0128
0.9647	0.0128
1.0118	0.0151
1.0824	0.0157
1.1412	0.0133
1.2118	0.0133
1.2941	0.0151
1.3647	0.0145
1.4000	0.0174
1.4588	0.0191
1.4824	0.0238
1.5294	0.0284
1.5765	0.0354
1.6118	0.0510
1.6471	0.0800
1.6824	0.1014
1.7294	0.1159
1.7529	0.1287
1.8000	0.1351
1.8353	0.1409
1.8824	0.1467
1.9176	0.1449
1.9765	0.1438
2.0353	0.1455
2.0824	0.1438
2.1176	0.1426
2.1647	0.1409
2.2118	0.1409
2.2471	0.1391
2.3176	0.1391
2.4000	0.1362
2.4588	0.1374
2.5176	0.1380
2.5647	0.1403
2.6118	0.1386
2.6706	0.1357
2.7529	0.1345
2.8000	0.1316
2.8353	0.1287
2.8588	0.1270
2.9176	0.1258
2.9529	0.1241
2.9882	0.1217
3.0353	0.1212
3.0824	0.1223
3.1412	0.1212
3.2000	0.1206
3.2588	0.1223
3.2824	0.1235
3.3294	0.1235
3.3765	0.1235
3.4471	0.1223
3.4941	0.1223
3.5412	0.1217
3.5882	0.1206
3.6706	0.1206
3.7412	0.1194
3.8235	0.1188
3.8941	0.1177
4.0000	0.1154
