------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
     1 |               3s2.3p6 - 3s2.3p5.(2P*<3/2>).4s  |      1S  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |      0.0000   -   93750.5978  |  1 - 3  | 1.19e+08  | C+   |    |
       |                                                |                    |                               |         |           |      |    |
     2 |               3s2.3p6 - 3s2.3p5.(2P*<1/2>).4s  |      1S  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |      0.0000   -   95399.8276  |  1 - 3  | 5.1e+08   | C+   |    |
       |                                                |                    |                               |         |           |      |    |
     3 |               3s2.3p6 - 3s2.3p5.(2P*<3/2>).3d  |      1S  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |      0.0000   -  114147.732   |  1 - 3  | 2.70e+08  | C+   |    |
       |                                                |                    |                               |         |           |      |    |
     4 |               3s2.3p6 - 3s2.3p5.(2P*<3/2>).5s  |      1S  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |      0.0000   -  113643.260   |  1 - 3  | 7.7e+07   | C    |    |
       |                                                |                    |                               |         |           |      |    |
     5 |               3s2.3p6 - 3s2.3p5.(2P*<1/2>).3d  |      1S  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |      0.0000   -  115366.866   |  1 - 3  | 3.13e+08  | C+   |    |
       |                                                |                    |                               |         |           |      |    |
     6 |               3s2.3p6 - 3s2.3p5.(2P*<1/2>).5s  |      1S  - 2[1/2]* |                               |         |           |      |    |
