---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |               Configurations                |       Terms      |     Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                             |                  |   (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                             |                  |                           |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
     1 |              2s2.2p2 - 2s2.2p2              |     3P  - 3P     |                           |         |           |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -      43.40   |  3 - 5  | 2.65e-07  | A    | M1 |
       |                                             |                  |     0.00   -      16.40   |  1 - 3  | 7.93e-08  | A    | M1 |
       |                                             |                  |                           |         |           |      |    |
     2 |                                             |     3P  - 1D     |                           |         |           |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   10192.63   |  5 - 5  | 1.07e-06  | B    | E2 |
       |                                             |                  |    43.40   -   10192.63   |  5 - 5  | 2.17e-04  | C+   | M1 |
       |                                             |                  |    16.40   -   10192.63   |  3 - 5  | 7.28e-05  | C+   | M1 |
       |                                             |                  |                           |         |           |      |    |
     3 |                                             |     3P  - 1S     |                           |         |           |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   21648.01   |  3 - 1  | 2.32e-03  | C+   | M1 |
       |                                             |                  |                           |         |           |      |    |
     4 |              2s2.2p2 - 2s.2p3               |     3P  - 5S*    |    33.28   -   33735.2    |  9 - 5  | 3.0e+01   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   33735.20   |  3 - 5  | 8.6e+00   | D    |    |
       |                                             |                  |    43.40   -   33735.20   |  5 - 5  | 2.1e+01   | D    |    |
       |                                             |                  |                           |         |           |      |    |
     5 |              2s2.2p2 - 2s2.2p.3s            |     3P  - 3P*    |    29.58   -   60373      |  9 - 9  | 3.48e+08  |      |    |
       |                                             |                  |                           |         |           |      |    |
