-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
     1 |         2s2.2p - 2s2.2p         |   2P* - 2P*  |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.00   -      63.42  |  2 - 4  | 2.29e-06  | A    | M1 |
       |                                 |              |                           |         |           |      |    |
     2 |         2s2.2p - 2s.2p2         |   2P* - 4P   |     42.28   -   43035.8   |  6 - 12 | 4.67e+01  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     63.42   -   43003.3   |  4 - 2  | 6.78e+01  | A    |    |
       |                                 |              |      0.00   -   43003.3   |  2 - 2  | 5.99e+01  | A    |    |
       |                                 |              |     63.42   -   43025.3   |  4 - 4  | 8.49e+00  | A    |    |
       |                                 |              |      0.00   -   43025.3   |  2 - 4  | 1.40e+00  | A    |    |
       |                                 |              |     63.42   -   43053.6   |  4 - 6  | 4.43e+01  | A    |    |
       |                                 |              |                           |         |           |      |    |
     3 |                                 |   2P* - 2D   |     42.28   -   74931.11  |  6 - 10 | 2.88e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     63.42   -   74932.62  |  4 - 4  | 4.76e+07  | A    |    |
       |                                 |              |     63.42   -   74930.10  |  4 - 6  | 2.88e+08  | A    |    |
       |                                 |              |      0.00   -   74932.62  |  2 - 4  | 2.41e+08  | A    |    |
       |                                 |              |                           |         |           |      |    |
     4 |                                 |   2P* - 2S   |     42.28   -   96493.74  |  6 - 2  | 2.20e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     63.42   -   96493.74  |  4 - 2  | 1.46e+09  | A    |    |
       |                                 |              |      0.00   -   96493.74  |  2 - 2  | 7.38e+08  | A    |    |
