--------------------------------------------------------------------
Configuration           | Term      |   J |               Level    |
------------------------|-----------|-----|------------------------|
                        |           |     |                        |
2s2.2p2                 | 3P        |   0 |                0.0     |
                        |           |   1 |               48.7     |
                        |           |   2 |              130.8     |
                        |           |     |                        |
2s2.2p2                 | 1D        |   2 |            15316.2     |
                        |           |     |                        |
2s2.2p2                 | 1S        |   0 |            32688.8     |
                        |           |     |                        |
2s.2p3                  | 5S*       |   2 |            46784.6     |
                        |           |     |                        |
2s.2p3                  | 3D*       |   3 |            92237.2     |
                        |           |   2 |            92250.3     |
                        |           |   1 |            92251.8     |
                        |           |     |                        |
2s.2p3                  | 3P*       |   2 |           109217.6     |
                        |           |   1 |           109216.6     |
                        |           |   0 |           109223.5     |
                        |           |     |                        |
2s.2p3                  | 1D*       |   2 |           144187.94    |
                        |           |     |                        |
2s2.2p.3s               | 3P*       |   0 |           148908.59    |
                        |           |   1 |           148940.17    |
                        |           |   2 |           149076.52    |
                        |           |     |                        |
2s2.2p.3s               | 1P*       |   1 |           149187.80    |
                        |           |     |                        |
2s.2p3                  | 3S*       |   1 |           155126.73    |
                        |           |     |                        |
2s2.2p.3p               | 1P        |   1 |           164610.76    |
                        |           |     |                        |
2s2.2p.3p               | 3D        |   1 |           166521.69    |
                        |           |   2 |           166582.45    |
                        |           |   3 |           166678.64    |
                        |           |     |                        |
2s.2p3                  | 1P*       |   1 |           166765.66    |
                        |           |     |                        |
2s2.2p.3p               | 3S        |   1 |           168892.21    |
                        |           |     |                        |
2s2.2p.3p               | 3P        |   0 |           170572.61    |
                        |           |   1 |           170607.89    |
                        |           |   2 |           170666.23    |
                        |           |     |                        |
2s2.2p.3p               | 1D        |   2 |           174212.03    |
                        |           |     |                        |
2s2.2p.3p               | 1S        |   0 |           178273.38    |
                        |           |     |                        |
2s2.2p.3d               | 3F*       |   2 |           186511.58    |
                        |           |   3 |           186570.98    |
                        |           |   4 |           186652.49    |
                        |           |     |                        |
2s2.2p.3d               | 1D*       |   2 |           187091.37    |
                        |           |     |                        |
2s2.2p.3d               | 3D*       |   1 |           187437.56    |
                        |           |   2 |           187461.56    |
                        |           |   3 |           187491.90    |
                        |           |     |                        |
2s2.2p.3d               | 3P*       |   2 |           188857.37    |
                        |           |   1 |           188909.17    |
                        |           |   0 |           188937.24    |
                        |           |     |                        |
2s2.2p.3d               | 1F*       |   3 |           189335.16    |
                        |           |     |                        |
2s2.2p.3d               | 1P*       |   1 |           190120.24    |
                        |           |     |                        |
2s2.2p.4s               | 3P*       |   0 |           196540.23    |
                        |           |   1 |           196592.07    |
                        |           |   2 |           196711.54    |
                        |           |     |                        |
2s2.2p.4s               | 1P*       |   1 |           197858.69    |
                        |           |     |                        |
2s2.2p.4p               | 1P        |   1 |           202170.63    |
                        |           |     |                        |
2s2.2p.4p               | 3D        |   1 |           202714.12    |
                        |           |   2 |           202765.26    |
                        |           |   3 |           202861.36    |
                        |           |     |                        |
2s2.2p.4p               | 3P        |   0 |           203162.48    |
                        |           |   1 |           203189.03    |
                        |           |   2 |           203258.98    |
                        |           |     |                        |
2s2.2p.4p               | 3S        |   1 |           203537.66    |
                        |           |     |                        |
