------------------------------------------------------------------
Configuration          | Term   |   J |                 Level    |
-----------------------|--------|-----|--------------------------|
                       |        |     |                          |
2s2.2p4                | 3P     |   2 |                 0.000    |
                       |        |   1 |               158.265    |
                       |        |   0 |               226.977    |
                       |        |     |                          |
2s2.2p4                | 1D     |   2 |             15867.862    |
                       |        |     |                          |
2s2.2p4                | 1S     |   0 |             33792.583    |
                       |        |     |                          |
2s2.2p3.(4S*).3s       | 5S*    |   2 |             73768.200    |
                       |        |     |                          |
2s2.2p3.(4S*).3s       | 3S*    |   1 |             76794.978    |
                       |        |     |                          |
2s2.2p3.(4S*).3p       | 5P     |   1 |             86625.757    |
                       |        |   2 |             86627.778    |
                       |        |   3 |             86631.454    |
                       |        |     |                          |
2s2.2p3.(4S*).3p       | 3P     |   2 |             88631.146    |
                       |        |   1 |             88630.587    |
                       |        |   0 |             88631.303    |
                       |        |     |                          |
2s2.2p3.(4S*).4s       | 5S*    |   2 |             95476.728    |
                       |        |     |                          |
2s2.2p3.(4S*).4s       | 3S*    |   1 |             96225.049    |
                       |        |     |                          |
2s2.2p3.(4S*).3d       | 5D*    |   4 |             97420.630    |
                       |        |   3 |             97420.716    |
                       |        |   2 |             97420.839    |
                       |        |   1 |             97420.942    |
                       |        |   0 |             97420.991    |
                       |        |     |                          |
2s2.2p3.(4S*).3d       | 3D*    |   1 |             97488.378    |
                       |        |   2 |             97488.448    |
                       |        |   3 |             97488.538    |
                       |        |     |                          |
2s2.2p3.(4S*).4p       | 5P     |   1 |             99092.968    |
                       |        |   2 |             99093.641    |
                       |        |   3 |             99094.837    |
                       |        |     |                          |
2s2.2p3.(4S*).4p       | 3P     |   1 |             99680.968    |
                       |        |   2 |             99681.049    |
                       |        |   0 |             99681.309    |
                       |        |     |                          |
2s2.2p3.(2D*).3s       | 3D*    |   3 |            101135.407    |
                       |        |   2 |            101147.526    |
                       |        |   1 |            101155.422    |
                       |        |     |                          |
2s2.2p3.(4S*).5s       | 5S*    |   2 |            102116.698    |
                       |        |     |                          |
2s2.2p3.(4S*).5s       | 3S*    |   1 |            102411.995    |
                       |        |     |                          |
2s2.2p3.(2D*).3s       | 1D*    |   2 |            102662.026    |
                       |        |     |                          |
2s2.2p3.(4S*).4d       | 5D*    |   4 |            102865.506    |
                       |        |   3 |            102865.547    |
                       |        |   2 |            102865.606    |
                       |        |   1 |            102865.655    |
                       |        |   0 |            102865.679    |
                       |        |     |                          |
2s2.2p3.(4S*).4d       | 3D*    |   3 |            102908.374    |
                       |        |   2 |            102908.443    |
                       |        |   1 |            102908.489    |
                       |        |     |                          |
2s2.2p3.(4S*).4f       | 5F     |   3 |            102968.249    |
                       |        |   2 |            102968.249    |
                       |        |   1 |            102968.249    |
                       |        |   5 |            102968.249    |
                       |        |   4 |            102968.249    |
                       |        |     |                          |
2s2.2p3.(4S*).4f       | 3F     |   3 |            102968.343    |
                       |        |   2 |            102968.343    |
                       |        |   4 |            102968.343    |
                       |        |     |                          |
2s2.2p3.(4S*).5p       | 5P     |   1 |            103625.754    |
                       |        |   2 |            103626.111    |
                       |        |   3 |            103626.611    |
                       |        |     |                          |
