-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
-----------------------|-----------|-----|----------------------------|
                       |           |     |                            |
3s2.3p6                | 1S        |   0 |                  0.0000    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).4s  | 2[3/2]*   |   2 |              93143.7600    |
                       |           |   1 |              93750.5978    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).4s  | 2[1/2]*   |   0 |              94553.6652    |
                       |           |   1 |              95399.8276    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).4p  | 2[1/2]    |   1 |             104102.0990    |
                       |           |   0 |             107054.2720    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).4p  | 2[5/2]    |   3 |             105462.7596    |
                       |           |   2 |             105617.2700    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).4p  | 2[3/2]    |   1 |             106087.2598    |
                       |           |   2 |             106237.5518    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).4p  | 2[3/2]    |   1 |             107131.7086    |
                       |           |   2 |             107289.7001    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).4p  | 2[1/2]    |   1 |             107496.4166    |
                       |           |   0 |             108722.6194    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).3d  | 2[1/2]*   |   0 |             111667.766     |
                       |           |   1 |             111818.028     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).3d  | 2[3/2]*   |   2 |             112138.924     |
                       |           |   1 |             114147.732     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).3d  | 2[7/2]*   |   4 |             112750.153     |
                       |           |   3 |             113020.355     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).3d  | 2[5/2]*   |   2 |             113425.964     |
                       |           |   3 |             113716.555     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5s  | 2[3/2]*   |   2 |             113468.473     |
                       |           |   1 |             113643.260     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).3d  | 2[5/2]*   |   2 |             114640.992     |
                       |           |   3 |             114821.939     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).3d  | 2[3/2]*   |   2 |             114805.135     |
                       |           |   1 |             115366.866     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5s  | 2[1/2]*   |   0 |             114861.635     |
                       |           |   1 |             114975.019     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5p  | 2[1/2]    |   1 |             116659.9934    |
                       |           |   0 |             117562.9553    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5p  | 2[5/2]    |   3 |             116942.7542    |
                       |           |   2 |             116999.3259    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).5p  | 2[3/2]    |   1 |             117151.3264    |
                       |           |   2 |             117183.5901    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5p  | 2[3/2]    |   1 |             118407.4303    |
                       |           |   2 |             118469.0508    |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5p  | 2[1/2]    |   1 |             118459.5975    |
                       |           |   0 |             118870.9170    |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).4d  | 2[1/2]*   |   0 |             118512.197     |
