-------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                         |                |                               |         |           |      |    |
-------------------------------------------------------------------------------------------------------------------------------------
     1 |            3s2.3p5 - 3s2.3p5            |    2P* - 2P*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -    1431.5831  |  4 - 2  | 5.3e-02   | A    | M1 |
       |                                         |                |                               |         |           |      |    |
     2 |            3s2.3p5 - 3s.3p6             |    2P* - 2S    |    477.1944   -  108721.537   |  6 - 2  | 2.1e+08   |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  108721.537   |  2 - 2  | 6.7e+07   | C    |    |
       |                                         |                |      0.0000   -  108721.537   |  4 - 2  | 1.4e+08   | C    |    |
       |                                         |                |                               |         |           |      |    |
     3 |            3s2.3p5 - 3s2.3p4.(3P).3d    |    2P* - 4D    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  132630.7277  |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  132481.2068  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
     4 |            3s2.3p5 - 3s2.3p4.(3P).4s    |    2P* - 4P    |    477.1944   -  134749.8237  |  6 - 12 | 1.4e+07   |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  135085.9958  |  2 - 4  | 5.9e+06   | E    |    |
       |                                         |                |   1431.5831   -  135601.7336  |  2 - 2  | 7.3e+06   | E    |    |
       |                                         |                |      0.0000   -  134241.7389  |  4 - 6  |           |      |    |
       |                                         |                |      0.0000   -  135085.9958  |  4 - 4  | 3.1e+07   | E    |    |
       |                                         |                |      0.0000   -  135601.7336  |  4 - 2  | 3.8e+06   | E    |    |
       |                                         |                |                               |         |           |      |    |
