---------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                   |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                   |              |                             |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------
     1 |         2s2.2p3 - 2s2.2p3         |   4S* - 2D*  |                             |         |           |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -   19224.464  |  4 - 6  | 9.71e-07  | B    | M1 |
       |                                   |              |      0.000   -   19224.464  |  4 - 6  | 6.59e-06  | B    | E2 |
       |                                   |              |      0.000   -   19233.177  |  4 - 4  | 1.60e-05  | B    | M1 |
       |                                   |              |      0.000   -   19233.177  |  4 - 4  | 4.34e-06  | B    | E2 |
       |                                   |              |                             |         |           |      |    |
     2 |                                   |   4S* - 2P*  |                             |         |           |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -   28839.306  |  4 - 4  | 6.5e-03   | D    | M1 |
       |                                   |              |      0.000   -   28838.920  |  4 - 2  | 2.6e-03   | D    | M1 |
       |                                   |              |                             |         |           |      |    |
     3 |         2s2.2p3 - 2s2.2p2.(3P).3s |   4S* - 4P   |      0       -   83335.598  |  4 - 12 | 4.04e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -   83284.070  |  4 - 2  | 4.00e+08  | A    |    |
       |                                   |              |      0.000   -   83317.830  |  4 - 4  | 4.03e+08  | A    |    |
       |                                   |              |      0.000   -   83364.620  |  4 - 6  | 4.07e+08  | A    |    |
       |                                   |              |                             |         |           |      |    |
     4 |                                   |   4S* - 2P   |      0       -   86192.79   |  4 - 6  | 4.20e+04  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |      0.000   -   86220.510  |  4 - 4  | 4.94e+04  | A    |    |
       |                                   |              |      0.000   -   86137.350  |  4 - 2  | 2.72e+04  | A    |    |
