-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
     1 |        2s2.2p2 - 2s2.2p2        |   3P  - 3P   |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.0    -      48.7   |  1 - 3  | 2.08e-06  | A    | M1 |
       |                                 |              |      0.0    -     130.8   |  1 - 5  | 1.12e-12  | D    | E2 |
       |                                 |              |     48.7    -     130.8   |  3 - 5  | 7.46e-06  | A    | M1 |
       |                                 |              |                           |         |           |      |    |
     2 |                                 |   3P  - 1D   |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.0    -   15316.2   |  1 - 5  | 5.25e-07  | D    | E2 |
       |                                 |              |     48.7    -   15316.2   |  3 - 5  | 9.84e-04  | D    | M1 |
       |                                 |              |     48.7    -   15316.2   |  3 - 5  | 9.22e-07  | D    | E2 |
       |                                 |              |    130.8    -   15316.2   |  5 - 5  | 2.91e-03  | D    | M1 |
       |                                 |              |    130.8    -   15316.2   |  5 - 5  | 8.65e-06  | D    | E2 |
       |                                 |              |                           |         |           |      |    |
     3 |                                 |   3P  - 1S   |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |     48.7    -   32688.8   |  3 - 1  | 3.18e-02  | C    | M1 |
       |                                 |              |    130.8    -   32688.8   |  5 - 1  | 1.55e-04  | D    | E2 |
       |                                 |              |                           |         |           |      |    |
     4 |        2s2.2p2 - 2s.2p3         |   3P  - 5S*  |    100      -   46784.6   |  9 - 5  | 1.78e+02  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -   46784.6   |  5 - 5  | 1.27e+02  | B    |    |
