---------------------------------------------------------------
Configuration      | Term   |    J |                 Level    |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
2s2.2p3            | 4S*    |  3/2 |                 0.00     |
                   |        |      |                          |
2s2.2p3            | 2D*    |  5/2 |             26810.55     |
                   |        |  3/2 |             26830.57     |
                   |        |      |                          |
2s2.2p3            | 2P*    |  3/2 |             40468.01     |
                   |        |  1/2 |             40470.00     |
                   |        |      |                          |
2s.2p4             | 4P     |  5/2 |            119837.21     |
                   |        |  3/2 |            120000.43     |
                   |        |  1/2 |            120082.86     |
                   |        |      |                          |
2s.2p4             | 2D     |  5/2 |            165988.46     |
                   |        |  3/2 |            165996.50     |
                   |        |      |                          |
2s2.2p2.(3P).3s    | 4P     |  1/2 |            185235.281    |
                   |        |  3/2 |            185340.577    |
                   |        |  5/2 |            185499.124    |
                   |        |      |                          |
2s2.2p2.(3P).3s    | 2P     |  1/2 |            188888.543    |
                   |        |  3/2 |            189068.514    |
                   |        |      |                          |
2s.2p4             | 2S     |  1/2 |            195710.47     |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 2S*    |  1/2 |            203942.288    |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 4D*    |  1/2 |            206730.762    |
                   |        |  3/2 |            206786.286    |
                   |        |  5/2 |            206877.865    |
                   |        |      |                          |
2s2.2p2.(1D).3s    | 2D     |  5/2 |            206971.68     |
                   |        |  3/2 |            206972.72     |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 4D*    |  7/2 |            207002.482    |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 4P*    |  1/2 |            208346.104    |
                   |        |  3/2 |            208392.258    |
                   |        |  5/2 |            208484.202    |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 2D*    |  3/2 |            211522.117    |
                   |        |  5/2 |            211712.732    |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 4S*    |  3/2 |            212161.881    |
                   |        |      |                          |
2s.2p4             | 2P     |  3/2 |            212593.82     |
                   |        |  1/2 |            212762.25     |
                   |        |      |                          |
2s2.2p2.(3P).3p    | 2P*    |  1/2 |            214169.920    |
                   |        |  3/2 |            214229.671    |
                   |        |      |                          |
2s2.2p2.(1D).3p    | 2F*    |  5/2 |            228723.84     |
                   |        |  7/2 |            228747.45     |
                   |        |      |                          |
2s2.2p2.(1D).3p    | 2D*    |  5/2 |            229947.07     |
                   |        |  3/2 |            229968.44     |
                   |        |      |                          |
2s2.2p2.(1S).3s    | 2S     |  1/2 |            230609.45     |
                   |        |      |                          |
2s2.2p2.(3P).3d    | 4F     |  3/2 |            231296.126    |
                   |        |  5/2 |            231350.087    |
                   |        |  7/2 |            231427.970    |
                   |        |  9/2 |            231530.246    |
                   |        |      |                          |
2s2.2p2.(3P).3d    | 4P     |  5/2 |            232462.724    |
                   |        |      |                          |
2s2.2p2.(1D).3p    | 2P*    |  1/2 |            232480.44     |
                   |        |  3/2 |            232527.09     |
                   |        |      |                          |
2s2.2p2.(3P).3d    | 4P     |  3/2 |            232535.949    |
                   |        |  1/2 |            232602.492    |
                   |        |      |                          |
2s2.2p2.(3P).3d    | 4D     |  1/2 |            232711.642    |
