---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |         Ei           Ek         | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |       (cm-1)       (cm-1)       |         |    s^-1   |      |    |
       |                                         |                |                                 |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
     1 |            2s2.2p3 - 2s2.2p3            |    4S* - 2D*   |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |      0.00      -   26830.57     |  4 - 4  | 1.59e-04  | C    | M1 |
       |                                         |                |      0.00      -   26810.55     |  4 - 6  | 2.86e-05  | C    | E2 |
       |                                         |                |      0.00      -   26810.55     |  4 - 6  | 1.98e-06  | C    | M1 |
       |                                         |                |      0.00      -   26830.57     |  4 - 4  | 1.86e-05  | C    | E2 |
       |                                         |                |                                 |         |           |      |    |
     2 |                                         |    4S* - 2P*   |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |      0.00      -   40470.00     |  4 - 2  | 2.12e-02  | C+   | M1 |
       |                                         |                |      0.00      -   40468.01     |  4 - 4  | 5.22e-02  | C+   | M1 |
       |                                         |                |      0.00      -   40468.01     |  4 - 4  | 2.43e-07  | C+   | E2 |
       |                                         |                |      0.00      -   40470.00     |  4 - 2  | 3.72e-07  | D    | E2 |
       |                                         |                |                                 |         |           |      |    |
     3 |            2s2.2p3 - 2s.2p4             |    4S* - 4P    |      0         -  119932.56     |  4 - 12 | 8.63e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |      0.00      -  120082.86     |  4 - 2  | 8.67e+08  | B+   |    |
       |                                         |                |      0.00      -  120000.43     |  4 - 4  | 8.65e+08  | B+   |    |
       |                                         |                |      0.00      -  119837.21     |  4 - 6  | 8.61e+08  | B+   |    |
       |                                         |                |                                 |         |           |      |    |
